           km_, km_unionIdx, km_targetUnionIdx,   km_speed, km_turn_no, km_lockup_angle, km_lockup_center_x, km_lockup_center_y,    km_time,     km_pri, 
       sSlabel,     eSLONG,     eSLONG,    eSSHORT,    eSSHORT,    eSSHORT,     eSLONG,     eSLONG,     eSLONG,     eSCHAR, 
 0 :    DATA_00,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 :    DATA_01,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 :    DATA_02,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 :    DATA_03,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 :    DATA_04,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 :    DATA_05,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 :    DATA_06,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 :    DATA_07,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 :    DATA_08,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
 9 :    DATA_09,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
10 :       Data,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
11 :       Data,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
12 :       Data,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
13 :       Data,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
14 :       Data,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 
15 :       Data,         -1,          0,          0,          0,          0,          0,          0,          0,          0, 

