           km_, km_bunit_id, km_baction_id,    km_turn, km_turn_temp, km_sp_flag, km_sp_baction_id, km_influence_unit, km_influence_union, 
       sSlabel,    eSSHORT,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,    eSSHORT,    eSSHORT, 
 0 :    LIST_00,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,         -1, 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
          ,           ,           ,           ,           ,           ,           ,         -1,           , 
