           km_,   km_lives, km_sort_no,    km_seed, 
       sSlabel,     eSCHAR,     eSCHAR,     eSLONG, 
 0 :   DATA_001,          0,          0,          0, 
 1 :   DATA_002,          0,          0,          0, 
 2 :   DATA_003,          0,          0,          0, 
 3 :   DATA_004,          0,          0,          0, 
 4 :   DATA_005,          0,          0,          0, 
 5 :   DATA_006,          0,          0,          0, 
 6 :   DATA_007,          0,          0,          0, 
 7 :   DATA_008,          0,          0,          0, 
 8 :   DATA_009,          0,          0,          0, 
 9 :   DATA_010,          0,          0,          0, 
10 :   DATA_011,          0,          0,          0, 
11 :   DATA_012,          0,          0,          0, 
12 :   DATA_013,          0,          0,          0, 
13 :   DATA_014,          0,          0,          0, 
14 :   DATA_015,          0,          0,          0, 
15 :   DATA_016,          0,          0,          0, 
16 :   DATA_017,          0,          0,          0, 
17 :   DATA_018,          0,          0,          0, 
18 :   DATA_019,          0,          0,          0, 
19 :   DATA_020,          0,          0,          0, 
20 :   DATA_021,          0,          0,          0, 
21 :   DATA_022,          0,          0,          0, 
22 :   DATA_023,          0,          0,          0, 
23 :   DATA_024,          0,          0,          0, 
24 :   DATA_025,          0,          0,          0, 
25 :   DATA_026,          0,          0,          0, 
26 :   DATA_027,          0,          0,          0, 
27 :   DATA_028,          0,          0,          0, 
28 :   DATA_029,          0,          0,          0, 
29 :   DATA_030,          0,          0,          0, 
30 :   DATA_031,          0,          0,          0, 
31 :   DATA_032,          0,          0,          0, 
32 :   DATA_033,          0,          0,          0, 
33 :   DATA_034,          0,          0,          0, 
34 :   DATA_035,          0,          0,          0, 
35 :   DATA_036,          0,          0,          0, 
36 :   DATA_037,          0,          0,          0, 
37 :   DATA_038,          0,          0,          0, 
38 :   DATA_039,          0,          0,          0, 
39 :   DATA_040,          0,          0,          0, 
40 :   DATA_041,          0,          0,          0, 
41 :   DATA_042,          0,          0,          0, 
42 :   DATA_043,          0,          0,          0, 
43 :   DATA_044,          0,          0,          0, 
44 :   DATA_045,          0,          0,          0, 
45 :   DATA_046,          0,          0,          0, 
46 :   DATA_047,          0,          0,          0, 
47 :   DATA_048,          0,          0,          0, 
48 :   DATA_049,          0,          0,          0, 
49 :   DATA_050,          0,          0,          0, 
50 :   DATA_051,          0,          0,          0, 
51 :   DATA_052,          0,          0,          0, 
52 :   DATA_053,          0,          0,          0, 
53 :   DATA_054,          0,          0,          0, 
54 :   DATA_055,          0,          0,          0, 
55 :   DATA_056,          0,          0,          0, 
56 :   DATA_057,          0,          0,          0, 
57 :   DATA_058,          0,          0,          0, 
58 :   DATA_059,          0,          0,          0, 
59 :   DATA_060,          0,          0,          0, 
60 :   DATA_061,          0,          0,          0, 
61 :   DATA_062,          0,          0,          0, 
62 :   DATA_063,          0,          0,          0, 
63 :   DATA_064,          0,          0,          0, 
64 :   DATA_065,          0,          0,          0, 
65 :   DATA_066,          0,          0,          0, 
66 :   DATA_067,          0,          0,          0, 
67 :   DATA_068,          0,          0,          0, 
68 :   DATA_069,          0,          0,          0, 
69 :   DATA_070,          0,          0,          0, 
70 :   DATA_071,          0,          0,          0, 
71 :   DATA_072,          0,          0,          0, 
72 :   DATA_073,          0,          0,          0, 
73 :   DATA_074,          0,          0,          0, 
74 :   DATA_075,          0,          0,          0, 
75 :   DATA_076,          0,          0,          0, 
76 :   DATA_077,          0,          0,          0, 
77 :   DATA_078,          0,          0,          0, 
78 :   DATA_079,          0,          0,          0, 
79 :   DATA_080,          0,          0,          0, 
80 :   DATA_081,          0,          0,          0, 
81 :   DATA_082,          0,          0,          0, 
82 :   DATA_083,          0,          0,          0, 
83 :   DATA_084,          0,          0,          0, 
84 :   DATA_085,          0,          0,          0, 
85 :   DATA_086,          0,          0,          0, 
86 :   DATA_087,          0,          0,          0, 
87 :   DATA_088,          0,          0,          0, 
88 :   DATA_089,          0,          0,          0, 
89 :   DATA_090,          0,          0,          0, 
90 :   DATA_091,          0,          0,          0, 
91 :   DATA_092,          0,          0,          0, 
92 :   DATA_093,          0,          0,          0, 
93 :   DATA_094,          0,          0,          0, 
94 :   DATA_095,          0,          0,          0, 
95 :   DATA_096,          0,          0,          0, 
96 :   DATA_097,          0,          0,          0, 
97 :   DATA_098,          0,          0,          0, 
98 :   DATA_099,          0,          0,          0, 

