           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       4840,          0,          0, 
 1 : rush_sykes_s,       4841,          0,          0, 
 2 : rush_sykes_s,       4842,          0,          0, 
 3 : rush_sykes_s,       4843,          0,          0, 
 4 : rush_sykes_s,       4844,          0,          0, 
 5 : rush_sykes_s,       4845,          0,          0, 
 6 : irina_sykes_s,       4846,          0,          0, 
 7 : irina_sykes_s,       4847,          0,          0, 
 8 : irina_sykes_s,       4848,          0,          0, 
 9 : irina_sykes_s,       4849,          0,          0, 
10 : irina_sykes_s,       4850,          0,          0, 
11 : david_nassau_s,       4851,          0,          0, 
12 : david_nassau_s,       4852,          0,          0, 
13 : david_nassau_s,       4853,          0,          0, 
14 : david_nassau_s,       4854,          0,          0, 
15 : david_nassau_s,       4855,          0,          0, 
16 : emma_honeywell_s,       4856,          0,          0, 
17 : emma_honeywell_s,       4857,          0,          0, 
18 : emma_honeywell_s,       4858,          0,          0, 
19 : emma_honeywell_s,       4859,          0,          0, 
20 : emma_honeywell_s,       4860,          0,          0, 
21 : emma_honeywell_2,       4861,          0,          0, 
22 : emma_honeywell_2,       4862,          0,          0, 
23 : emma_honeywell_2,       4863,          0,          0, 
24 : emma_honeywell_2,       4864,          0,          0, 
25 : emma_honeywell_2,       4865,          0,          0, 
26 :       emmy,       4866,          0,          0, 
27 :       emmy,       4867,          0,          0, 
28 :       emmy,       4868,          0,          0, 
29 :       emmy,       4869,          0,          0, 
30 :       emmy,       4870,          0,          0, 
31 :    plocter,       4871,          0,          0, 
32 :    plocter,       4872,          0,          0, 
33 :    plocter,       4873,          0,          0, 
34 :    plocter,       4874,          0,          0, 
35 :    plocter,       4875,          0,          0, 
36 :      pagus,       4876,          0,          0, 
37 :      pagus,       4877,          0,          0, 
38 :      pagus,       4878,          0,          0, 
39 :      pagus,       4879,          0,          0, 
40 :      pagus,       4880,          0,          0, 
41 :     torgal,       4881,          0,          0, 
42 :     torgal,       4882,          0,          0, 
43 :     torgal,       4883,          0,          0, 
44 :     torgal,       4884,          0,          0, 
45 :     torgal,       4885,          0,          0, 
46 : duke_of_ghor,       4886,          0,          0, 
47 : duke_of_ghor,       4887,          0,          0, 
48 : duke_of_ghor,       4888,          0,          0, 
49 : duke_of_ghor,       4889,          0,          0, 
50 : duke_of_ghor,       4890,          0,          0, 
51 :     haruko,       4891,          0,          0, 
52 :     haruko,       4892,          0,          0, 
53 :     haruko,       4893,          0,          0, 
54 :     haruko,       4894,          0,          0, 
55 :     haruko,       4895,          0,          0, 
56 :      jager,       4896,          0,          0, 
57 :      jager,       4897,          0,          0, 
58 :      jager,       4898,          0,          0, 
59 :      jager,       4899,          0,          0, 
60 :      jager,       4900,          0,          0, 
61 : btl_pc_gabriel,       4901,          0,          0, 
62 : btl_pc_gabriel,       4902,          0,          0, 
63 : btl_pc_gabriel,       4903,          0,          0, 
64 : btl_pc_gabriel,       4904,          0,          0, 
65 : btl_pc_gabriel,       4905,          0,          0, 
66 : btl_pc_jorgen,       4906,          0,          0, 
67 : btl_pc_jorgen,       4907,          0,          0, 
68 : btl_pc_jorgen,       4908,          0,          0, 
69 : btl_pc_jorgen,       4909,          0,          0, 
70 : btl_pc_jorgen,       4910,          0,          0, 
71 : btl_pc_roberto,       4911,          0,          0, 
72 : btl_pc_roberto,       4912,          0,          0, 
73 : btl_pc_roberto,       4913,          0,          0, 
74 : btl_pc_roberto,       4914,          0,          0, 
75 : btl_pc_roberto,       4915,          0,          0, 
76 : btl_pc_loki,       4916,          0,          0, 
77 : btl_pc_loki,       4917,          0,          0, 
78 : btl_pc_loki,       4918,          0,          0, 
79 : btl_pc_loki,       4919,          0,          0, 
80 : btl_pc_loki,       4920,          0,          0, 
81 : btl_pc_paris,       4921,          0,          0, 
82 : btl_pc_paris,       4922,          0,          0, 
83 : btl_pc_paris,       4923,          0,          0, 
84 : btl_pc_paris,       4924,          0,          0, 
85 : btl_pc_paris,       4925,          0,          0, 
86 : btl_pc_rhagoh,       4926,          0,          0, 
87 : btl_pc_rhagoh,       4927,          0,          0, 
88 : btl_pc_rhagoh,       4928,          0,          0, 
89 : btl_pc_rhagoh,       4929,          0,          0, 
90 : btl_pc_rhagoh,       4930,          0,          0, 
91 : btl_pc_glenys,       4931,          0,          0, 
92 : btl_pc_glenys,       4932,          0,          0, 
93 : btl_pc_glenys,       4933,          0,          0, 
94 : btl_pc_glenys,       4934,          0,          0, 
95 : btl_pc_glenys,       4935,          0,          0, 
96 : btl_pc_violet,       4936,          0,          0, 
97 : btl_pc_violet,       4937,          0,          0, 
98 : btl_pc_violet,       4938,          0,          0, 
99 : btl_pc_violet,       4939,          0,          0, 
100 : btl_pc_violet,       4940,          0,          0, 
101 : btl_pc_nora,       4941,          0,          0, 
102 : btl_pc_nora,       4942,          0,          0, 
103 : btl_pc_nora,       4943,          0,          0, 
104 : btl_pc_nora,       4944,          0,          0, 
105 : btl_pc_nora,       4945,          0,          0, 
106 : btl_pc_khrynia,       4946,          0,          0, 
107 : btl_pc_khrynia,       4947,          0,          0, 
108 : btl_pc_khrynia,       4948,          0,          0, 
109 : btl_pc_khrynia,       4949,          0,          0, 
110 : btl_pc_khrynia,       4950,          0,          0, 
111 : btl_pc_kate,       4951,          0,          0, 
112 : btl_pc_kate,       4952,          0,          0, 
113 : btl_pc_kate,       4953,          0,          0, 
114 : btl_pc_kate,       4954,          0,          0, 
115 : btl_pc_kate,       4955,          0,          0, 
116 : btl_pc_sheryl,       4956,          0,          0, 
117 : btl_pc_sheryl,       4957,          0,          0, 
118 : btl_pc_sheryl,       4958,          0,          0, 
119 : btl_pc_sheryl,       4959,          0,          0, 
120 : btl_pc_sheryl,       4960,          0,          0, 
121 : btl_pc_baulson,       4961,          0,          0, 
122 : btl_pc_baulson,       4962,          0,          0, 
123 : btl_pc_baulson,       4963,          0,          0, 
124 : btl_pc_baulson,       4964,          0,          0, 
125 : btl_pc_baulson,       4965,          0,          0, 
126 : btl_pc_gaou,       4966,          0,          0, 
127 : btl_pc_gaou,       4967,          0,          0, 
128 : btl_pc_gaou,       4968,          0,          0, 
