           km_,   km_lives, km_sort_no,    km_seed, 
       sSlabel,     eSCHAR,     eSCHAR,     eSLONG, 
 0 : BATTLE_PC_001,          0,          0,          0, 
 1 : BATTLE_PC_002,          0,          0,          0, 
 2 : BATTLE_PC_003,          0,          0,          0, 
 3 : BATTLE_PC_004,          0,          0,          0, 
 4 : BATTLE_PC_005,          0,          0,          0, 
 5 : BATTLE_PC_006,          0,          0,          0, 
 6 : BATTLE_PC_007,          0,          0,          0, 
 7 : BATTLE_GUEST,          0,          0,          0, 
 8 : BATTLE_MONS_001,          0,          0,          0, 
 9 : BATTLE_MONS_002,          0,          0,          0, 
10 : BATTLE_MONS_003,          0,          0,          0, 
11 : BATTLE_MONS_004,          0,          0,          0, 
12 : BATTLE_MONS_005,          0,          0,          0, 
13 : BATTLE_MONS_006,          0,          0,          0, 
14 : BATTLE_MONS_007,          0,          0,          0, 
15 : BATTLE_MONS_008,          0,          0,          0, 

