           km_,   km_lives, km_sort_no,    km_seed, 
       sSlabel,     eSCHAR,     eSCHAR,     eSLONG, 
 0 :     PC_001,          0,          0,          0, 
 1 :     PC_002,          0,          0,          0, 
 2 :     PC_003,          0,          0,          0, 
 3 :     PC_004,          0,          0,          0, 
 4 :     PC_005,          0,          0,          0, 
 5 :     PC_006,          0,          0,          0, 
 6 :     PC_007,          0,          0,          0, 
 7 :     PC_008,          0,          0,          0, 
 8 :     PC_009,          0,          0,          0, 
 9 :     PC_010,          0,          0,          0, 
10 :     PC_011,          0,          0,          0, 
11 :     PC_012,          0,          0,          0, 
12 :     PC_013,          0,          0,          0, 
13 :     PC_014,          0,          0,          0, 
14 :     PC_015,          0,          0,          0, 
15 :     PC_016,          0,          0,          0, 
16 :     PC_017,          0,          0,          0, 
17 :     PC_018,          0,          0,          0, 
18 :     PC_019,          0,          0,          0, 
19 :     PC_020,          0,          0,          0, 
20 :     PC_021,          0,          0,          0, 
21 :     PC_022,          0,          0,          0, 
22 :     PC_023,          0,          0,          0, 
23 :     PC_024,          0,          0,          0, 
24 :     PC_025,          0,          0,          0, 
25 :     PC_026,          0,          0,          0, 
26 :     PC_027,          0,          0,          0, 
27 :     PC_028,          0,          0,          0, 
28 :     PC_029,          0,          0,          0, 
29 :     PC_030,          0,          0,          0, 
30 :     PC_031,          0,          0,          0, 
31 :     PC_032,          0,          0,          0, 
32 :     PC_033,          0,          0,          0, 
33 :     PC_034,          0,          0,          0, 
34 :     PC_035,          0,          0,          0, 
35 :     PC_036,          0,          0,          0, 
36 :     PC_037,          0,          0,          0, 
37 :     PC_038,          0,          0,          0, 
38 :     PC_039,          0,          0,          0, 
39 :   MONS_000,          0,          0,          0, 
40 :   MONS_001,          0,          0,          0, 
41 :   MONS_002,          0,          0,          0, 
42 :   MONS_003,          0,          0,          0, 
43 :   MONS_004,          0,          0,          0, 
44 :   MONS_005,          0,          0,          0, 
45 :   MONS_006,          0,          0,          0, 
46 :   MONS_007,          0,          0,          0, 
47 :   MONS_008,          0,          0,          0, 
48 :   MONS_009,          0,          0,          0, 
49 :   MONS_010,          0,          0,          0, 
50 :   MONS_011,          0,          0,          0, 
51 :   MONS_012,          0,          0,          0, 
52 :   MONS_013,          0,          0,          0, 
53 :   MONS_014,          0,          0,          0, 
54 :   MONS_015,          0,          0,          0, 
55 :   MONS_016,          0,          0,          0, 
56 :   MONS_017,          0,          0,          0, 
57 :   MONS_018,          0,          0,          0, 
58 :   MONS_019,          0,          0,          0, 
59 :   MONS_020,          0,          0,          0, 
60 :   MONS_021,          0,          0,          0, 
61 :   MONS_022,          0,          0,          0, 
62 :   MONS_023,          0,          0,          0, 
63 :   MONS_024,          0,          0,          0, 
64 :   MONS_025,          0,          0,          0, 
65 :   MONS_026,          0,          0,          0, 
66 :   MONS_027,          0,          0,          0, 
67 :   MONS_028,          0,          0,          0, 
68 :   MONS_029,          0,          0,          0, 
69 :   MONS_030,          0,          0,          0, 
70 :   MONS_031,          0,          0,          0, 
71 :   MONS_032,          0,          0,          0, 
72 :   MONS_033,          0,          0,          0, 
73 :   MONS_034,          0,          0,          0, 
74 :   MONS_035,          0,          0,          0, 
75 :   MONS_036,          0,          0,          0, 
76 :   MONS_037,          0,          0,          0, 
77 :   MONS_038,          0,          0,          0, 
78 :   MONS_039,          0,          0,          0, 

