           km_,      km_id,      km_lv,     km_num,   km_bonus, km_break_mons_work, km_is_rush_get, km_is_break, km_is_steal, km_is_surely, km_is_bonus_target, km_yoyaku_unit, km_yoyaku_message, km_yoyaku_name, km_aim_eq_slot, km_aim_eq_cast, km_rob_message, km_rob_name, 
       sSlabel,     eSLONG,     eSCHAR,     eSCHAR,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,     eSLONG,    eSSHORT,     eSCHAR,    eSSHORT,     eSLONG, 
 0 :    SLOT_00,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 1 :    SLOT_01,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 2 :    SLOT_02,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 3 :    SLOT_03,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 4 :    SLOT_04,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 5 :    SLOT_05,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 6 :    SLOT_06,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 7 :    SLOT_07,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 8 :    SLOT_08,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 9 :    SLOT_09,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
10 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
11 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
12 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
13 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
14 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
15 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
16 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
17 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
18 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
19 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
20 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
21 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
22 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
23 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
24 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
25 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
26 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
27 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
28 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
29 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
30 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
31 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
32 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
33 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
34 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
35 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
36 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
37 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
38 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
39 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
40 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
41 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
42 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
43 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
44 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
45 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
46 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
47 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
48 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
49 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
50 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
51 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
52 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
53 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
54 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
55 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
56 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
57 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
58 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
59 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
60 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
61 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
62 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
63 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
64 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
65 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
66 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
67 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
68 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
69 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
70 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
71 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
72 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
73 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
74 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
75 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
76 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
77 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
78 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
79 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
80 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
81 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
82 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
83 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
84 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
85 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
86 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
87 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
88 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
89 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
90 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
91 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
92 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
93 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
94 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
95 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
96 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
97 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
98 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
99 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
100 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
101 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
102 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
103 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
104 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
105 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
106 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
107 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
108 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
109 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
110 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
111 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
112 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
113 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
114 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
115 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
116 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
117 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
118 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
119 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
120 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
121 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
122 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
123 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
124 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
