           km_,  km_btlcmd, km_unionIdx0, km_unionIdx1, km_unionIdx0_move, km_unionIdx1_move, km_effect_trax, km_camera_trax, km_start_trax, km_padding, 
       sSlabel,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG, 
 0 :       None,         -1,         -1,          0,          0,   85458955,      29025,       1451,        726,          0, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,      65537, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,        931, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,          0, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,         -1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,         20, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,  322968836, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,  419437333, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,    5253200, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,   16842752, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,      65793, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,   16843009, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,    9044265, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,          2, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,    9044341, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,          1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,    9044237, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,          1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,         -1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,       8704, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,       2600, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,        256, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,          0, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,          0, 

