           km_,  km_btlcmd, km_btlcmd_src, km_list_ctrl, km_unionIdx00, km_unionIdx00_trax_id, km_unionIdx00_trax_offset, km_unionIdx01, km_unionIdx01_trax_id, km_unionIdx01_trax_offset, km_lockup_angle, km_lockup_center_x, km_lockup_center_y, km_lockup_trax_id, km_lockup_camera_trax_id, km_lockup_disp_offset, km_lockup_msg, km_lockup_type, km_unioIdx00_move_enable, km_unioIdx01_move_enable, km_camera_bind_caster, km_camera_bind_target, km_padding, 
       sSlabel,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG, 
 0 :       None,         -1,         -1,          0,          0,   85458955,      29025,       1451,        726,          0,      65537,        931,          0,         -1,         20,  322968836,  419437333,    5253200,   16842752,      65793,   16843009,    9044265,          2, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,    9044341, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,    9044237, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,       8704, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,       2600, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,        256, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0, 

