           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,        888,          0,          0, 
 1 :    main001,        889,          0,          0, 
 2 :    main004,        890,          0,          0, 
 3 :    main003,        891,          0,          0, 
 4 :    main002,        892,          0,          0, 
 5 :    main005,        893,          0,          0, 
 6 :    main006,        894,          0,          0, 
 7 :     sub001,        895,          0,          0, 
 8 :     sub015,        896,          0,          0, 
 9 :     sub016,        897,          0,          0, 
10 :     sub017,        898,          0,          0, 
11 :     sub018,        899,          0,          0, 
12 :     sub019,        900,          0,          0, 
13 :     sub020,        901,          0,          0, 
14 :     sub021,        902,          0,          0, 
15 :     sub008,        903,          0,          0, 
16 :     sub009,        904,          0,          0, 
17 :     sub010,        905,          0,          0, 
18 :     sub011,        906,          0,          0, 
19 :     sub012,        907,          0,          0, 
20 :     sub013,        908,          0,          0, 
21 :     sub014,        909,          0,          0, 
22 :     sub002,        910,          0,          0, 
23 :     sub003,        911,          0,          0, 
24 :     sub004,        912,          0,          0, 
25 :     sub005,        913,          0,          0, 
26 :     sub006,        914,          0,          0, 
27 :     sub007,        915,          0,          0, 
28 :     sub022,        916,          0,          0, 
29 :     sub023,        917,          0,          0, 
30 :     sub024,        918,          0,          0, 
31 :     sub025,        919,          0,          0, 
32 :     sub026,        920,          0,          0, 
33 :     sub027,        921,          0,          0, 
34 :      eq001,        922,          0,          0, 
35 :      eq002,        923,          0,          0, 
36 :      eq003,        924,          0,          0, 
37 :      eq004,        925,          0,          0, 
38 :      eq005,        926,          0,          0, 
39 :      eq006,        927,          0,          0, 

