           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       5106,          0,          0, 
 1 : rush_sykes_s_A_mes,       5107,          0,          0, 
 2 : rush_sykes_s_A_choice_1_select,       5108,          0,          0, 
 3 : rush_sykes_s_A_choice_1_res,       5109,          0,          0, 
 4 : rush_sykes_s_A_choice_2_select,       5110,          0,          0, 
 5 : rush_sykes_s_A_choice_2_res,       5111,          0,          0, 
 6 : rush_sykes_s_B_mes,       5112,          0,          0, 
 7 : rush_sykes_s_B_choice_1_select,       5113,          0,          0, 
 8 : rush_sykes_s_B_choice_1_res,       5114,          0,          0, 
 9 : rush_sykes_s_B_choice_2_select,       5115,          0,          0, 
10 : rush_sykes_s_B_choice_2_res,       5116,          0,          0, 
11 : rush_sykes_s_C_mes,       5117,          0,          0, 
12 : rush_sykes_s_C_choice_1_select,       5118,          0,          0, 
13 : rush_sykes_s_C_choice_1_res,       5119,          0,          0, 
14 : rush_sykes_s_C_choice_2_select,       5120,          0,          0, 
15 : rush_sykes_s_C_choice_2_res,       5121,          0,          0, 
16 : rush_sykes_s_D1_mes,       5122,          0,          0, 
17 : rush_sykes_s_D1_choice_1_select,       5123,          0,          0, 
18 : rush_sykes_s_D1_choice_1_res,       5124,          0,          0, 
19 : rush_sykes_s_D1_choice_2_select,       5125,          0,          0, 
20 : rush_sykes_s_D1_choice_2_res,       5126,          0,          0, 
21 : rush_sykes_s_D1_choice_3_select,       5127,          0,          0, 
22 : rush_sykes_s_D1_choice_3_res,       5128,          0,          0, 
23 : rush_sykes_s_D2_mes,       5129,          0,          0, 
24 : rush_sykes_s_D2_choice_1_select,       5130,          0,          0, 
25 : rush_sykes_s_D2_choice_1_res,       5131,          0,          0, 
26 : rush_sykes_s_D2_choice_2_select,       5132,          0,          0, 
27 : rush_sykes_s_D2_choice_2_res,       5133,          0,          0, 
28 : rush_sykes_s_D2_choice_3_select,       5134,          0,          0, 
29 : rush_sykes_s_D2_choice_3_res,       5135,          0,          0, 
30 : rush_sykes_s_D3_mes,       5136,          0,          0, 
