           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       7386,          0,          0, 
 1 : general00_top_buy,       7387,          0,          0, 
 2 : general00_top_sell,       7388,          0,          0, 
 3 : general00_top_sell_cannot,       7389,          0,          0, 
 4 : general00_top_buy_trade,       7390,          0,          0, 
 5 : general00_buy_list,       7391,          0,          0, 
 6 : general00_buy_single,       7392,          0,          0, 
 7 : general00_buy_multi,       7393,          0,          0, 
 8 : general00_buy_equip,       7394,          0,          0, 
 9 : general00_buy_end,       7395,          0,          0, 
10 : general00_buy_confirm,       7396,          0,          0, 
11 : general00_buy_money_short,       7397,          0,          0, 
12 : general00_buy_weapon_over,       7398,          0,          0, 
13 : general00_buy_shield_over,       7399,          0,          0, 
14 : general00_buy_acce_over,       7400,          0,          0, 
15 : general00_buy_stac_over,       7401,          0,          0, 
16 : general00_buy_trade,       7402,          0,          0, 
17 : general00_buy_soldout,       7403,          0,          0, 
18 : general00_sel_list,       7404,          0,          0, 
19 : general00_sel_single,       7405,          0,          0, 
20 : general00_sel_multi,       7406,          0,          0, 
21 : general00_sel_end,       7407,          0,          0, 
22 : general00_sel_trade,       7408,          0,          0, 
23 : general00_sel_cantsell,       7409,          0,          0, 
24 : general00_sel_matomeuri,       7410,          0,          0, 
25 : general00_sel_matome_confirm,       7411,          0,          0, 
26 : general01_top_buy,       7412,          0,          0, 
27 : general01_top_sell,       7413,          0,          0, 
28 : general01_top_sell_cannot,       7414,          0,          0, 
29 : general01_top_buy_trade,       7415,          0,          0, 
30 : general01_buy_list,       7416,          0,          0, 
31 : general01_buy_single,       7417,          0,          0, 
32 : general01_buy_multi,       7418,          0,          0, 
33 : general01_buy_equip,       7419,          0,          0, 
34 : general01_buy_end,       7420,          0,          0, 
35 : general01_buy_confirm,       7421,          0,          0, 
36 : general01_buy_money_short,       7422,          0,          0, 
37 : general01_buy_weapon_over,       7423,          0,          0, 
38 : general01_buy_shield_over,       7424,          0,          0, 
39 : general01_buy_acce_over,       7425,          0,          0, 
40 : general01_buy_stac_over,       7426,          0,          0, 
41 : general01_buy_trade,       7427,          0,          0, 
42 : general01_buy_soldout,       7428,          0,          0, 
43 : general01_sel_list,       7429,          0,          0, 
44 : general01_sel_single,       7430,          0,          0, 
45 : general01_sel_multi,       7431,          0,          0, 
46 : general01_sel_end,       7432,          0,          0, 
47 : general01_sel_trade,       7433,          0,          0, 
48 : general01_sel_cantsell,       7434,          0,          0, 
49 : general01_sel_matomeuri,       7435,          0,          0, 
50 : general01_sel_matome_confirm,       7436,          0,          0, 
51 : general02_top_buy,       7437,          0,          0, 
52 : general02_top_sell,       7438,          0,          0, 
53 : general02_top_sell_cannot,       7439,          0,          0, 
54 : general02_top_buy_trade,       7440,          0,          0, 
55 : general02_buy_list,       7441,          0,          0, 
56 : general02_buy_single,       7442,          0,          0, 
57 : general02_buy_multi,       7443,          0,          0, 
58 : general02_buy_equip,       7444,          0,          0, 
59 : general02_buy_end,       7445,          0,          0, 
60 : general02_buy_confirm,       7446,          0,          0, 
61 : general02_buy_money_short,       7447,          0,          0, 
62 : general02_buy_weapon_over,       7448,          0,          0, 
63 : general02_buy_shield_over,       7449,          0,          0, 
64 : general02_buy_acce_over,       7450,          0,          0, 
65 : general02_buy_stac_over,       7451,          0,          0, 
66 : general02_buy_trade,       7452,          0,          0, 
67 : general02_buy_soldout,       7453,          0,          0, 
68 : general02_sel_list,       7454,          0,          0, 
69 : general02_sel_single,       7455,          0,          0, 
70 : general02_sel_multi,       7456,          0,          0, 
71 : general02_sel_end,       7457,          0,          0, 
72 : general02_sel_trade,       7458,          0,          0, 
73 : general02_sel_cantsell,       7459,          0,          0, 
74 : general02_sel_matomeuri,       7460,          0,          0, 
75 : general02_sel_matome_confirm,       7461,          0,          0, 
76 : general03_top_buy,       7462,          0,          0, 
77 : general03_top_sell,       7463,          0,          0, 
78 : general03_top_sell_cannot,       7464,          0,          0, 
79 : general03_top_buy_trade,       7465,          0,          0, 
80 : general03_buy_list,       7466,          0,          0, 
81 : general03_buy_single,       7467,          0,          0, 
82 : general03_buy_multi,       7468,          0,          0, 
83 : general03_buy_equip,       7469,          0,          0, 
84 : general03_buy_end,       7470,          0,          0, 
85 : general03_buy_confirm,       7471,          0,          0, 
86 : general03_buy_money_short,       7472,          0,          0, 
87 : general03_buy_weapon_over,       7473,          0,          0, 
