           km_, km_eq_data, km_eq_work,      km_lv, km_rush_eq, km_impro_flag, km_sort_id, km_default_sort_id, 
       sSlabel,     eSLONG,     eSLONG,     eSCHAR,     eUCHAR,     eUCHAR,     eSLONG,     eSLONG, 
 0 :    SLOT_00,         -1,         -1,          0,          0,          0,         -1,         -1, 
 1 :    SLOT_01,         -1,         -1,          0,          0,          0,         -1,         -1, 
 2 :    SLOT_02,         -1,         -1,          0,          0,          0,         -1,         -1, 
 3 :    SLOT_03,         -1,         -1,          0,          0,          0,         -1,         -1, 
 4 :    SLOT_04,         -1,         -1,          0,          0,          0,         -1,         -1, 
 5 :    SLOT_05,         -1,         -1,          0,          0,          0,         -1,         -1, 
 6 :    SLOT_06,         -1,         -1,          0,          0,          0,         -1,         -1, 
 7 :    SLOT_07,         -1,         -1,          0,          0,          0,         -1,         -1, 
 8 :    SLOT_08,         -1,         -1,          0,          0,          0,         -1,         -1, 
 9 :    SLOT_09,         -1,         -1,          0,          0,          0,         -1,         -1, 
10 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
11 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
12 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
13 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
14 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
15 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
16 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
17 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
18 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
19 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
20 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
21 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
22 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
23 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
24 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
25 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
26 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
27 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
28 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
29 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
30 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
31 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
32 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
33 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
34 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
35 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
36 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
37 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
38 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
39 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
40 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
41 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
42 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
43 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
44 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
