           km_,      km_id, km_eq_work,      km_lv,   km_price, km_need_item_01, km_need_num_01, km_need_item_02, km_need_num_02, km_need_item_03, km_need_num_03, km_need_item_04, km_need_num_04, km_sort_id, 
       sSlabel,     eSLONG,     eSLONG,     eSCHAR,     eULONG,     eSLONG,     eUCHAR,     eSLONG,     eUCHAR,     eSLONG,     eUCHAR,     eSLONG,     eUCHAR,     eSLONG, 
 0 :    SLOT_00,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 1 :    SLOT_01,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 2 :    SLOT_02,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 3 :    SLOT_03,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 4 :    SLOT_04,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 5 :    SLOT_05,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 6 :    SLOT_06,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 7 :    SLOT_07,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 8 :    SLOT_08,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
 9 :    SLOT_09,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
10 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
11 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
12 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
13 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
14 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
15 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
16 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
17 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
18 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
19 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
20 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
