           km_, km_entry_monster_union_id, km_map_symbol_id, km_is_drag_symbol, km_status_status_ikari, km_status_status_nemuri, km_status_status_konran, km_status_status_reserve4, km_status_status_reserve5, km_status_status_reserve6, km_status_status_reserve7, km_status_status_reserve8, km_status_status_reserve9, km_status_status_reserve10, km_status_status_reserve11, km_status_status_reserve12, km_status_status_reserve13, km_status_status_reserve14, km_status_status_reserve15, km_status_status_reserve16,  km_diff_x,  km_diff_y, km_diff_rad,  km_glance,  km_notice, km_distance, km_turn_on_angle,    km_turn, 
       sSlabel,    eUSHORT,    eUSHORT,     eSCHAR,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,    eSSHORT,    eSSHORT,     eSLONG,     eUCHAR,     eUCHAR,    eUSHORT,     eSLONG,     eUCHAR, 
 0 : SYMBOL_001,       7375,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -39,        475,      32768,          1,          1,        476,          0,          0, 
 1 : SYMBOL_002,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
 2 : SYMBOL_003,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
 3 : SYMBOL_004,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
 4 : SYMBOL_005,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
 5 : SYMBOL_006,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
 6 : SYMBOL_007,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
 7 : SYMBOL_008,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
 8 : SYMBOL_009,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      65535,          0,          0, 
