           km_, km_map_symbol_id, 
       sSlabel,     eUCHAR, 
 0 : SYMBOL_ID0,        255, 
 1 : SYMBOL_ID1,        255, 
 2 : SYMBOL_ID2,        255, 
 3 : SYMBOL_ID3,        255, 
 4 : SYMBOL_ID4,        255, 
 5 : SYMBOL_ID5,        255, 
 6 : SYMBOL_ID6,        255, 
 7 : SYMBOL_ID7,        255, 
 8 : SYMBOL_ID8,        255, 
 9 : SYMBOL_ID9,        255, 
10 : SYMBOL_ID10,        255, 
11 : SYMBOL_ID11,        255, 
12 : SYMBOL_ID12,        255, 
13 : SYMBOL_ID13,        255, 
14 : SYMBOL_ID14,        255, 
15 : SYMBOL_ID15,        255, 
16 : SYMBOL_ID16,        255, 
17 : SYMBOL_ID17,        255, 
18 : SYMBOL_ID18,        255, 
19 : SYMBOL_ID19,        255, 
20 : SYMBOL_ID20,        255, 
21 : SYMBOL_ID21,        255, 
22 : SYMBOL_ID22,        255, 
23 : SYMBOL_ID23,        255, 
24 : SYMBOL_ID24,        255, 
25 : SYMBOL_ID25,        255, 
26 : SYMBOL_ID26,        255, 
27 : SYMBOL_ID27,        255, 
28 : SYMBOL_ID28,        255, 
29 : SYMBOL_ID29,        255, 
30 : SYMBOL_ID30,        255, 
31 : SYMBOL_ID31,        255, 
32 : SYMBOL_ID32,        255, 
33 : SYMBOL_ID33,        255, 
34 : SYMBOL_ID34,        255, 
35 : SYMBOL_ID35,        255, 
36 : SYMBOL_ID36,        255, 
37 : SYMBOL_ID37,        255, 
38 : SYMBOL_ID38,        255, 
39 : SYMBOL_ID39,        255, 
40 : SYMBOL_ID40,        255, 
41 : SYMBOL_ID41,        255, 
42 : SYMBOL_ID42,        255, 
43 : SYMBOL_ID43,        255, 
44 : SYMBOL_ID44,        255, 
45 : SYMBOL_ID45,        255, 
46 : SYMBOL_ID46,        255, 
47 : SYMBOL_ID47,        255, 
48 : SYMBOL_ID48,        255, 
49 : SYMBOL_ID49,        255, 
50 : SYMBOL_ID50,        255, 
51 : SYMBOL_ID51,        255, 
52 : SYMBOL_ID52,        255, 
53 : SYMBOL_ID53,        255, 
54 : SYMBOL_ID54,        255, 
55 : SYMBOL_ID55,        255, 
56 : SYMBOL_ID56,        255, 
57 : SYMBOL_ID57,        255, 
58 : SYMBOL_ID58,        255, 
59 : SYMBOL_ID59,        255, 
60 : SYMBOL_ID60,        255, 
61 : SYMBOL_ID61,        255, 
62 : SYMBOL_ID62,        255, 
63 : SYMBOL_ID63,        255, 

