           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       7589,          0,          0, 
 1 : equip_two_handed,       7590,          0,          0, 
 2 : equip_discard,       7591,          0,          0, 
 3 : eq_overflow_wep_normal,       7592,          0,          0, 
 4 : eq_overflow_acc_normal,       7593,          0,          0, 
 5 : uboard_union_dismiss,       7594,          0,          0, 
 6 : conf_default,       7595,          0,          0, 
 7 :  conf_back,       7596,          0,          0, 
 8 : save_confirm,       7597,          0,          0, 
 9 : ptm_title_jump,       7598,          0,          0, 
10 : guilds_employ,       7599,          0,          0, 
11 : guilds_dismiss,       7600,          0,          0, 
12 : guilds_move_dismiss,       7601,          0,          0, 
13 : guilds_dismiss_leader,       7602,          0,          0, 
14 : guild2_employ,       7603,          0,          0, 
15 : guild2_dismiss,       7604,          0,          0, 
16 : btl_lockup_unlock,       7605,          0,          0, 
17 : rew_magic_chance,       7606,          0,          0, 
18 : rew_mon_barasi,       7607,          0,          0, 
19 : rew_item_goudatsu,       7608,          0,          0, 
20 : quest_break_guest_not,       7609,          0,          0, 
21 : quest_break_guest_in,       7610,          0,          0, 
22 : quest_break_guest_not_city,       7611,          0,          0, 
23 : quest_break_guest_in_city,       7612,          0,          0, 
24 : qe0020_end_remnant_get,       7613,          0,          0, 
25 : qe0190_end_remnant_get,       7614,          0,          0, 
26 : qe0350_end_remnant_get,       7615,          0,          0, 
27 : newgame_not_signin,       7616,          0,          0, 
28 : newgame_not_storage,       7617,          0,          0, 
29 : newgame_nospace_nodata,       7618,          0,          0, 
30 : newgame_nospace,       7619,          0,          0, 
31 : load_not_signin,       7620,          0,          0, 
32 : load_not_storage,       7621,          0,          0, 
33 : load_no_data,       7622,          0,          0, 
34 : save_no_strage,       7623,          0,          0, 
35 : save_no_space,       7624,          0,          0, 
36 : load_err_corrupted,       7625,          0,          0, 
37 : save_err_corrupted,       7626,          0,          0, 
38 : save_overwrite,       7627,          0,          0, 
39 : add_dlc_failed,       7628,          0,          0, 
40 :    quit_00,       7629,          0,          0, 
41 :    quit_01,       7630,          0,          0, 
42 : sys_setting_key_dup00,       7631,          0,          0, 
43 : sys_setting_btn_dup00,       7632,          0,          0, 
44 : sys_setting_resochange,       7633,          0,          0, 
45 : sys_setting_key_as_reset,       7634,          0,          0, 
46 : sys_setting_gam_as_reset,       7635,          0,          0, 
47 : sys_setting_mou_as_reset,       7636,          0,          0, 
48 : sys_setting_mou_as_reverse,       7637,          0,          0, 
49 : sys_setting_analog_assign_u,       7638,          0,          0, 
50 : sys_setting_analog_assign_d,       7639,          0,          0, 
51 : sys_setting_analog_assign_l,       7640,          0,          0, 
52 : sys_setting_analog_assign_r,       7641,          0,          0, 
53 : sys_setting_analog_assign_c,       7642,          0,          0, 
54 : sys_setting_analog_assign_dup_00,       7643,          0,          0, 
55 : sys_setting_analog_assign_dup_01,       7644,          0,          0, 
56 : savedata_carryover_end,       7645,          0,          0, 
57 : conf_auto_save_confirm,       7646,          0,          0, 
58 : save_confirm,       7647,          0,          0, 
59 : sys_setting_gam_as_type01,       7648,          0,          0, 
60 : sys_setting_gam_as_type02,       7649,          0,          0, 
61 : sys_setting_gam_as_type03,       7650,          0,          0, 
62 : sys_setting_gam_as_type04,       7651,          0,          0, 
63 : battle_mode_setting,       7652,          0,          0, 
64 : sys_setting_reboot,       7653,          0,          0, 
65 :      test1,       7654,          0,          0, 
66 :      test2,       7655,          0,          0, 
67 :      test3,       7656,          0,          0, 
68 :      test4,       7657,          0,          0, 
69 :      test5,       7658,          0,          0, 

