           km_, km_stat_entry, km_encount_data_id, km_entry_monster_union_id, km_map_symbol_id, km_union_type, km_appear_angle, km_left_turn, km_wait_no, km_is_friend_call, 
       sSlabel,    eSSHORT,    eSSHORT,     eSLONG,     eSLONG,    eSSHORT,    eUSHORT,    eSSHORT,    eSSHORT,     eSCHAR, 
 0 :    SYM_000,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 1 :    SYM_001,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 2 :    SYM_002,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 3 :    SYM_003,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 4 :    SYM_004,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 5 :    SYM_005,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 6 :    SYM_006,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 7 :    SYM_007,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 8 :    SYM_008,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
 9 :    SYM_009,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
10 :    SYM_010,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
11 :    SYM_011,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
12 :    SYM_012,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
13 :    SYM_013,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
14 :    SYM_014,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
15 :    SYM_015,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
16 :    SYM_016,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
17 :    SYM_017,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
18 :    SYM_018,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
19 :    SYM_019,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
20 :    SYM_020,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
21 :    SYM_021,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
22 :    SYM_022,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
23 :    SYM_023,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
24 :    SYM_024,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
25 :    SYM_025,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
26 :    SYM_026,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
27 :    SYM_027,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
28 :    SYM_028,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
29 :    SYM_029,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
30 :    SYM_030,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
31 :    SYM_031,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
32 :    SYM_032,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
33 :    SYM_033,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
34 :    SYM_034,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
35 :    SYM_035,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
36 :    SYM_036,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
37 :    SYM_037,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
38 :    SYM_038,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
39 :    SYM_039,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
40 :    SYM_040,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
41 :    SYM_041,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
42 :    SYM_042,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
