           km_, km_flag_is_rare, km_flag_is_count_add, km_flag_is_money_add, km_flag_reserve_0, km_flag_reserve_1, km_flag_reserve_2, km_flag_reserve_3, km_flag_reserve_4, km_flag_reserve_5, km_flag_reserve_6, km_flag_reserve_7, km_flag_reserve_8, km_flag_reserve_9, km_flag_reserve_10, km_flag_reserve_11, km_flag_reserve_12, km_flag_reserve_13, km_flag_reserve_14, km_flag_reserve_15, km_flag_reserve_16, km_flag_reserve_17, km_flag_reserve_18, km_flag_reserve_19, km_flag_reserve_20, km_flag_reserve_21, km_flag_reserve_22, km_flag_reserve_23, km_flag_reserve_24, km_flag_reserve_25, km_flag_reserve_26, km_flag_reserve_27, km_flag_reserve_28, 
       sSlabel,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit,     e32bit, 
 0 :    DATA_00,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 :    DATA_01,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 :    DATA_02,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 :    DATA_03,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 :    DATA_04,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 :    DATA_05,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 :    DATA_06,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 :    DATA_07,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 :    DATA_08,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
