           km_, km_ad_label,   km_title,    km_help,  km_number,    km_rank,   km_extra, km_progress,     km_new, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : adventure_001,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 1 : adventure_002,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 2 : adventure_003,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 3 : adventure_004,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 4 : adventure_005,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 5 : adventure_006,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 6 : adventure_007,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 7 : adventure_008,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 8 : adventure_009,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
 9 : adventure_010,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
10 : adventure_011,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
11 : adventure_012,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
12 : adventure_013,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
13 : adventure_014,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
14 : adventure_015,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
15 : adventure_016,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
16 : adventure_017,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
17 : adventure_018,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
18 : adventure_019,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
19 : adventure_020,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
20 : adventure_021,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
21 : adventure_022,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
22 : adventure_023,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
23 : adventure_024,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
24 : adventure_025,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
25 : adventure_026,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
26 : adventure_027,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
27 : adventure_028,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
28 : adventure_029,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
29 : adventure_030,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
30 : adventure_031,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
31 : adventure_032,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
32 : adventure_033,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
