           km_, km_unit_id,     km_pay, km_sort_id, 
       sSlabel,    eSSHORT,     eULONG,     eSLONG, 
 0 :  CHARA_000,         -1,          0,         -1, 
 1 :  CHARA_001,         -1,          0,         -1, 
 2 :  CHARA_002,         -1,          0,         -1, 
 3 :  CHARA_003,         -1,          0,         -1, 
 4 :  CHARA_004,         -1,          0,         -1, 
 5 :  CHARA_005,         -1,          0,         -1, 
 6 :  CHARA_006,         -1,          0,         -1, 
 7 :  CHARA_007,         -1,          0,         -1, 
 8 :  CHARA_008,         -1,          0,         -1, 
 9 :  CHARA_009,         -1,          0,         -1, 
10 :  CHARA_010,         -1,          0,         -1, 
11 :  CHARA_011,         -1,          0,         -1, 
12 :  CHARA_012,         -1,          0,         -1, 
13 :  CHARA_013,         -1,          0,         -1, 
14 :  CHARA_014,         -1,          0,         -1, 
15 :  CHARA_015,         -1,          0,         -1, 
16 :  CHARA_016,         -1,          0,         -1, 
17 :  CHARA_017,         -1,          0,         -1, 
18 :  CHARA_018,         -1,          0,         -1, 
19 :  CHARA_019,         -1,          0,         -1, 
20 :  CHARA_020,         -1,          0,         -1, 
21 :  CHARA_021,         -1,          0,         -1, 
22 :  CHARA_022,         -1,          0,         -1, 
23 :  CHARA_023,         -1,          0,         -1, 
24 :  CHARA_024,         -1,          0,         -1, 
25 :  CHARA_025,         -1,          0,         -1, 
26 :  CHARA_026,         -1,          0,         -1, 
27 :  CHARA_027,         -1,          0,         -1, 
28 :  CHARA_028,         -1,          0,         -1, 
29 :  CHARA_029,         -1,          0,         -1, 
30 :  CHARA_030,         -1,          0,         -1, 
31 :  CHARA_031,         -1,          0,         -1, 
32 :  CHARA_032,         -1,          0,         -1, 
33 :  CHARA_033,         -1,          0,         -1, 
34 :  CHARA_034,         -1,          0,         -1, 
35 :  CHARA_035,         -1,          0,         -1, 
36 :  CHARA_036,         -1,          0,         -1, 
37 :  CHARA_037,         -1,          0,         -1, 
38 :  CHARA_038,         -1,          0,         -1, 
39 :  CHARA_039,         -1,          0,         -1, 
40 :  CHARA_040,         -1,          0,         -1, 
41 :  CHARA_041,         -1,          0,         -1, 
42 :  CHARA_042,         -1,          0,         -1, 
43 :  CHARA_043,         -1,          0,         -1, 
44 :  CHARA_044,         -1,          0,         -1, 
45 :  CHARA_045,         -1,          0,         -1, 
46 :  CHARA_046,         -1,          0,         -1, 
47 :  CHARA_047,         -1,          0,         -1, 
48 :  CHARA_048,         -1,          0,         -1, 
49 :  CHARA_049,         -1,          0,         -1, 
50 :  CHARA_050,         -1,          0,         -1, 
51 :  CHARA_051,         -1,          0,         -1, 
52 :  CHARA_052,         -1,          0,         -1, 
53 :  CHARA_053,         -1,          0,         -1, 
54 :  CHARA_054,         -1,          0,         -1, 
55 :  CHARA_055,         -1,          0,         -1, 
56 :  CHARA_056,         -1,          0,         -1, 
57 :  CHARA_057,         -1,          0,         -1, 
58 :  CHARA_058,         -1,          0,         -1, 
59 :  CHARA_059,         -1,          0,         -1, 
60 :  CHARA_060,         -1,          0,         -1, 
61 :  CHARA_061,         -1,          0,         -1, 
62 :  CHARA_062,         -1,          0,         -1, 
63 :  CHARA_063,         -1,          0,         -1, 
64 :  CHARA_064,         -1,          0,         -1, 
65 :  CHARA_065,         -1,          0,         -1, 
66 :  CHARA_066,         -1,          0,         -1, 
67 :  CHARA_067,         -1,          0,         -1, 
68 :  CHARA_068,         -1,          0,         -1, 
69 :  CHARA_069,         -1,          0,         -1, 
70 :  CHARA_070,         -1,          0,         -1, 
71 :  CHARA_071,         -1,          0,         -1, 
72 :  CHARA_072,         -1,          0,         -1, 
73 :  CHARA_073,         -1,          0,         -1, 
74 :  CHARA_074,         -1,          0,         -1, 
75 :  CHARA_075,         -1,          0,         -1, 
76 :  CHARA_076,         -1,          0,         -1, 
77 :  CHARA_077,         -1,          0,         -1, 
78 :  CHARA_078,         -1,          0,         -1, 
79 :  CHARA_079,         -1,          0,         -1, 
80 :  CHARA_080,         -1,          0,         -1, 
81 :  CHARA_081,         -1,          0,         -1, 
82 :  CHARA_082,         -1,          0,         -1, 
83 :  CHARA_083,         -1,          0,         -1, 
84 :  CHARA_084,         -1,          0,         -1, 
85 :  CHARA_085,         -1,          0,         -1, 
86 :  CHARA_086,         -1,          0,         -1, 
87 :  CHARA_087,         -1,          0,         -1, 
88 :  CHARA_088,         -1,          0,         -1, 
89 :  CHARA_089,         -1,          0,         -1, 
90 :  CHARA_090,         -1,          0,         -1, 
91 :  CHARA_091,         -1,          0,         -1, 
92 :  CHARA_092,         -1,          0,         -1, 
93 :  CHARA_093,         -1,          0,         -1, 
94 :  CHARA_094,         -1,          0,         -1, 
95 :  CHARA_095,         -1,          0,         -1, 
96 :  CHARA_096,         -1,          0,         -1, 
97 :  CHARA_097,         -1,          0,         -1, 
98 :  CHARA_098,         -1,          0,         -1, 
99 :  CHARA_099,         -1,          0,         -1, 
100 :      Chara,         -1,          0,         -1, 
101 :      Chara,         -1,          0,         -1, 
102 :      Chara,         -1,          0,         -1, 
103 :      Chara,         -1,          0,         -1, 
104 :      Chara,         -1,          0,         -1, 
105 :      Chara,         -1,          0,         -1, 
106 :      Chara,         -1,          0,         -1, 
107 :      Chara,         -1,          0,         -1, 
108 :      Chara,         -1,          0,         -1, 
109 :      Chara,         -1,          0,         -1, 
110 :      Chara,         -1,          0,         -1, 
111 :      Chara,         -1,          0,         -1, 
112 :      Chara,         -1,          0,         -1, 
113 :      Chara,         -1,          0,         -1, 
114 :      Chara,         -1,          0,         -1, 
115 :      Chara,         -1,          0,         -1, 
116 :      Chara,         -1,          0,         -1, 
117 :      Chara,         -1,          0,         -1, 
118 :      Chara,         -1,          0,         -1, 
119 :      Chara,         -1,          0,         -1, 
120 :      Chara,         -1,          0,         -1, 
121 :      Chara,         -1,          0,         -1, 
122 :      Chara,         -1,          0,         -1, 
123 :      Chara,         -1,          0,         -1, 
124 :      Chara,         -1,          0,         -1, 
125 :      Chara,         -1,          0,         -1, 
126 :      Chara,         -1,          0,         -1, 
127 :      Chara,         -1,          0,         -1, 
128 :      Chara,         -1,          0,         -1, 
129 :      Chara,         -1,          0,         -1, 
130 :      Chara,         -1,          0,         -1, 
131 :      Chara,         -1,          0,         -1, 
132 :      Chara,         -1,          0,         -1, 
133 :      Chara,         -1,          0,         -1, 
134 :      Chara,         -1,          0,         -1, 
135 :      Chara,         -1,          0,         -1, 
136 :      Chara,         -1,          0,         -1, 
137 :      Chara,         -1,          0,         -1, 
138 :      Chara,         -1,          0,         -1, 
139 :      Chara,         -1,          0,         -1, 
140 :      Chara,         -1,          0,         -1, 
141 :      Chara,         -1,          0,         -1, 
142 :      Chara,         -1,          0,         -1, 
143 :      Chara,         -1,          0,         -1, 
144 :      Chara,         -1,          0,         -1, 
145 :      Chara,         -1,          0,         -1, 
146 :      Chara,         -1,          0,         -1, 
147 :      Chara,         -1,          0,         -1, 
148 :      Chara,         -1,          0,         -1, 
149 :      Chara,         -1,          0,         -1, 
150 :      Chara,         -1,          0,         -1, 
151 :      Chara,         -1,          0,         -1, 
152 :      Chara,         -1,          0,         -1, 
153 :      Chara,         -1,          0,         -1, 
154 :      Chara,         -1,          0,         -1, 
155 :      Chara,         -1,          0,         -1, 
156 :      Chara,         -1,          0,         -1, 
157 :      Chara,         -1,          0,         -1, 
158 :      Chara,         -1,          0,         -1, 
159 :      Chara,         -1,          0,         -1, 
160 :      Chara,         -1,          0,         -1, 
161 :      Chara,         -1,          0,         -1, 
162 :      Chara,         -1,          0,         -1, 
163 :      Chara,         -1,          0,         -1, 
164 :      Chara,         -1,          0,         -1, 
165 :      Chara,         -1,          0,         -1, 
166 :      Chara,         -1,          0,         -1, 
167 :      Chara,         -1,          0,         -1, 
168 :      Chara,         -1,          0,         -1, 
169 :      Chara,         -1,          0,         -1, 
170 :      Chara,         -1,          0,         -1, 
171 :      Chara,         -1,          0,         -1, 
172 :      Chara,         -1,          0,         -1, 
173 :      Chara,         -1,          0,         -1, 
174 :      Chara,         -1,          0,         -1, 
175 :      Chara,         -1,          0,         -1, 
176 :      Chara,         -1,          0,         -1, 
177 :      Chara,         -1,          0,         -1, 
178 :      Chara,         -1,          0,         -1, 
179 :      Chara,         -1,          0,         -1, 
180 :      Chara,         -1,          0,         -1, 
181 :      Chara,         -1,          0,         -1, 
182 :      Chara,         -1,          0,         -1, 
183 :      Chara,         -1,          0,         -1, 
184 :      Chara,         -1,          0,         -1, 
185 :      Chara,         -1,          0,         -1, 
186 :      Chara,         -1,          0,         -1, 
187 :      Chara,         -1,          0,         -1, 
188 :      Chara,         -1,          0,         -1, 
189 :      Chara,         -1,          0,         -1, 
190 :      Chara,         -1,          0,         -1, 
191 :      Chara,         -1,          0,         -1, 
192 :      Chara,         -1,          0,         -1, 
193 :      Chara,         -1,          0,         -1, 
194 :      Chara,         -1,          0,         -1, 
195 :      Chara,         -1,          0,         -1, 
196 :      Chara,         -1,          0,         -1, 
197 :      Chara,         -1,          0,         -1, 
198 :      Chara,         -1,          0,         -1, 
199 :      Chara,         -1,          0,         -1, 
200 :      Chara,         -1,          0,         -1, 
201 :      Chara,         -1,          0,         -1, 
202 :      Chara,         -1,          0,         -1, 
203 :      Chara,         -1,          0,         -1, 
204 :      Chara,         -1,          0,         -1, 
205 :      Chara,         -1,          0,         -1, 
206 :      Chara,         -1,          0,         -1, 
207 :      Chara,         -1,          0,         -1, 
208 :      Chara,         -1,          0,         -1, 
209 :      Chara,         -1,          0,         -1, 
210 :      Chara,         -1,          0,         -1, 
211 :      Chara,         -1,          0,         -1, 
212 :      Chara,         -1,          0,         -1, 
213 :      Chara,         -1,          0,         -1, 
214 :      Chara,         -1,          0,         -1, 
215 :      Chara,         -1,          0,         -1, 
216 :      Chara,         -1,          0,         -1, 
217 :      Chara,         -1,          0,         -1, 
218 :      Chara,         -1,          0,         -1, 
219 :      Chara,         -1,          0,         -1, 
220 :      Chara,         -1,          0,         -1, 
221 :      Chara,         -1,          0,         -1, 
222 :      Chara,         -1,          0,         -1, 
223 :      Chara,         -1,          0,         -1, 
224 :      Chara,         -1,          0,         -1, 
225 :      Chara,         -1,          0,         -1, 
226 :      Chara,         -1,          0,         -1, 
227 :      Chara,         -1,          0,         -1, 
228 :      Chara,         -1,          0,         -1, 
229 :      Chara,         -1,          0,         -1, 
230 :      Chara,         -1,          0,         -1, 
231 :      Chara,         -1,          0,         -1, 
232 :      Chara,         -1,          0,         -1, 
233 :      Chara,         -1,          0,         -1, 
234 :      Chara,         -1,          0,         -1, 
235 :      Chara,         -1,          0,         -1, 
236 :      Chara,         -1,          0,         -1, 
237 :      Chara,         -1,          0,         -1, 
238 :      Chara,         -1,          0,         -1, 
239 :      Chara,         -1,          0,         -1, 
240 :      Chara,         -1,          0,         -1, 
241 :      Chara,         -1,          0,         -1, 
242 :      Chara,         -1,          0,         -1, 
243 :      Chara,         -1,          0,         -1, 
244 :      Chara,         -1,          0,         -1, 
245 :      Chara,         -1,          0,         -1, 
246 :      Chara,         -1,          0,         -1, 
247 :      Chara,         -1,          0,         -1, 
248 :      Chara,         -1,          0,         -1, 
249 :      Chara,         -1,          0,         -1, 
250 :      Chara,         -1,          0,         -1, 
251 :      Chara,         -1,          0,         -1, 
252 :      Chara,         -1,          0,         -1, 
253 :      Chara,         -1,          0,         -1, 
254 :      Chara,         -1,          0,         -1, 
255 :      Chara,         -1,          0,         -1, 
256 :      Chara,         -1,          0,         -1, 
257 :      Chara,         -1,          0,         -1, 
258 :      Chara,         -1,          0,         -1, 
259 :      Chara,         -1,          0,         -1, 
260 :      Chara,         -1,          0,         -1, 
261 :      Chara,         -1,          0,         -1, 
