           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       7659,          0,          0, 
 1 :  unit_join,       7660,          0,          0, 
 2 : unit_leave,       7661,          0,          0, 
 3 : quest_join,       7662,          0,          0, 
 4 : guest_leave,       7663,          0,          0, 
 5 : party_union_num,       7664,          0,          0, 
 6 : party_unit_num,       7665,          0,          0, 
 7 : battle_leader_num,       7666,          0,          0, 
 8 : battle_unit_num,       7667,          0,          0, 
 9 : party_athlum_num,       7668,          0,          0, 
10 : equip_no_mainslot,       7669,          0,          0, 
11 : equip_list_empty,       7670,          0,          0, 
12 : equip_list_full,       7671,          0,          0, 
13 : equip_list_full2,       7672,          0,          0, 
14 : eq_overflow_wep_no_drop,       7673,          0,          0, 
15 : eq_overflow_acc_no_drop,       7674,          0,          0, 
16 : uboard_sp_formation,       7675,          0,          0, 
17 : uboard_no_union,       7676,          0,          0, 
18 : uboard_must_unit,       7677,          0,          0, 
19 : union_break,       7678,          0,          0, 
20 :  loca_open,       7679,          0,          0, 
21 :  area_open,       7680,          0,          0, 
22 : locamap_lock,       7681,          0,          0, 
23 : guilds_cant_employ,       7682,          0,          0, 
24 : guild2_cant_employ,       7683,          0,          0, 
25 : btl_lockup_conf,       7684,          0,          0, 
26 : rew_get_monster,       7685,          0,          0, 
27 : ttrl_SYS_010_00,       7686,          0,          0, 
28 : ttrl_SYS_010_01,       7687,          0,          0, 
29 : ttrl_SYS_020_00,       7688,          0,          0, 
30 : ttrl_SYS_020_01,       7689,          0,          0, 
31 : ttrl_SYS_020_02,       7690,          0,          0, 
32 : ttrl_SYS_030_00,       7691,          0,          0, 
33 : ttrl_SYS_040_00,       7692,          0,          0, 
34 : ttrl_SYS_050_00,       7693,          0,          0, 
35 : ttrl_SYS_060_00,       7694,          0,          0, 
36 : ttrl_SYS_060_01,       7695,          0,          0, 
37 : ttrl_SYS_080_00,       7696,          0,          0, 
38 : ttrl_SYS_080_01,       7697,          0,          0, 
39 : ttrl_SYS_080_02,       7698,          0,          0, 
40 : ttrl_SYS_090_00,       7699,          0,          0, 
41 : ttrl_SYS_100_00,       7700,          0,          0, 
42 : ttrl_SYS_100_01,       7701,          0,          0, 
43 : ttrl_SYS_100_02,       7702,          0,          0, 
44 : ttrl_SYS_100,       7703,          0,          0, 
45 : ttrl_SYS_100,       7704,          0,          0, 
46 : ttrl_SYS_070_00,       7705,          0,          0, 
47 : ttrl_SYS_110_00,       7706,          0,          0, 
48 : ttrl_SYS_120_00,       7707,          0,          0, 
49 : ttrl_SYS_120_01,       7708,          0,          0, 
50 : ttrl_SYS_120,       7709,          0,          0, 
51 : ttrl_SYS_120,       7710,          0,          0, 
52 : ttrl_SYS_120,       7711,          0,          0, 
53 : ttrl_SYS_120,       7712,          0,          0, 
54 : ttrl_SYS_120,       7713,          0,          0, 
55 : ttrl_SYS_120,       7714,          0,          0, 
56 : ttrl_MENU_formation_select,       7715,          0,          0, 
57 : ttrl_MENU_unit_place,       7716,          0,          0, 
58 : ttrl_MENU_unit_place,       7717,          0,          0, 
59 : ttrl_MENU_special_formation,       7718,          0,          0, 
60 : ttrl_MENU_worldmap,       7719,          0,          0, 
61 : ttrl_MENU_worldmap,       7720,          0,          0, 
62 : ttrl_MENU_worldmap,       7721,          0,          0, 
63 : ttrl_MENU_btlcommand,       7722,          0,          0, 
64 : ttrl_MENU_btlcommand,       7723,          0,          0, 
65 : ttrl_MENU_lockup,       7724,          0,          0, 
66 : ttrl_MENU_lockup,       7725,          0,          0, 
67 : ttrl_MENU_lockup,       7726,          0,          0, 
68 : ttrl_MENU_lockup,       7727,          0,          0, 
69 : ttrl_MENU_magicchance,       7728,          0,          0, 
70 : ttrl_MENU_captured_mons,       7729,          0,          0, 
71 : ttrl_MENU_captured_mons,       7730,          0,          0, 
72 : ttrl_MENU_party_share,       7731,          0,          0, 
73 : ttrl_MENU_party_share,       7732,          0,          0, 
74 : ttrl_BTL_target,       7733,          0,          0, 
75 : ttrl_BTL_target,       7734,          0,          0, 
76 : ttrl_BTL_battle,       7735,          0,          0, 
77 : ttrl_BTL_battle,       7736,          0,          0, 
78 : ttrl_BTL_battle,       7737,          0,          0, 
79 : ttrl_BTL_battle,       7738,          0,          0, 
80 : ttrl_BTL_battle,       7739,          0,          0, 
81 : ttrl_BTL_moral,       7740,          0,          0, 
82 : ttrl_BTL_moral,       7741,          0,          0, 
83 : ttrl_BTL_moral,       7742,          0,          0, 
84 : ttrl_BTL_moral,       7743,          0,          0, 
85 : ttrl_BTL_CT,       7744,          0,          0, 
86 : ttrl_BTL_CT,       7745,          0,          0, 
87 : ttrl_BTL_CT,       7746,          0,          0, 
88 : ttrl_BTL_CT,       7747,          0,          0, 
89 : ttrl_BTL_CT,       7748,          0,          0, 
90 : ttrl_BTL_CT,       7749,          0,          0, 
91 : ttrl_BTL_guest,       7750,          0,          0, 
92 : ttrl_BTL_guest,       7751,          0,          0, 
93 : ttrl_BTL_enemy_advantage,       7752,          0,          0, 
94 : ttrl_BTL_enemy_advantage,       7753,          0,          0, 
95 : ttrl_BTL_dead,       7754,          0,          0, 
96 : ttrl_BTL_dead,       7755,          0,          0, 
97 : ttrl_BTL_famble,       7756,          0,          0, 
98 : ttrl_BTL_famble,       7757,          0,          0, 
99 : ttrl_BTL_lockup_sideatk,       7758,          0,          0, 
100 : ttrl_BTL_lockup_sideatk,       7759,          0,          0, 
