           km_, km_eq_label,     km_exp,   km_level, km_phy_atk_base, km_phy_atk_now, km_phy_atk_battle, km_mgc_atk_base, km_mgc_atk_now, km_mgc_atk_battle, km_phy_guard_base, km_phy_guard_now, km_phy_guard_battle, km_mgc_guard_base, km_mgc_guard_now, km_mgc_guard_battle, km_phy_guard_ratio_base, km_phy_guard_ratio_now, km_phy_guard_ratio_battle, km_mgc_guard_ratio_base, km_mgc_guard_ratio_now, km_mgc_guard_ratio_battle, km_co_exec_ratio_base, km_co_exec_ratio_now, km_co_exec_ratio_battle, km_co_success_ratio_base, km_co_success_ratio_now, km_co_success_ratio_battle, km_cd_exec_ratio_base, km_cd_exec_ratio_now, km_cd_exec_ratio_battle, km_cd_success_ratio_base, km_cd_success_ratio_now, km_cd_success_ratio_battle, km_atk_attr_zan_base, km_atk_attr_zan_now, km_atk_attr_zan_battle, km_atk_attr_da_base, km_atk_attr_da_now, km_atk_attr_da_battle, km_atk_attr_syo_base, km_atk_attr_syo_now, km_atk_attr_syo_battle, km_atk_attr_kan_base, km_atk_attr_kan_now, km_atk_attr_kan_battle, km_atk_type_fire_base, km_atk_type_fire_now, km_atk_type_fire_battle, km_atk_type_thunder_base, km_atk_type_thunder_now, km_atk_type_thunder_battle, km_atk_type_ice_base, km_atk_type_ice_now, km_atk_type_ice_battle, km_atk_type_acid_base, km_atk_type_acid_now, km_atk_type_acid_battle, km_atk_type_poison_base, km_atk_type_poison_now, km_atk_type_poison_battle, km_sp01_base, km_sp01_now, km_sp01_battle, km_sp02_base, km_sp02_now, km_sp02_battle, km_sp03_base, km_sp03_now, km_sp03_battle, km_sp04_base, km_sp04_now, km_sp04_battle, km_sp05_base, km_sp05_now, km_sp05_battle, km_sp06_base, km_sp06_now, km_sp06_battle, km_sp07_base, km_sp07_now, km_sp07_battle, km_sp08_base, km_sp08_now, km_sp08_battle, km_sp09_base, km_sp09_now, km_sp09_battle, km_sp10_base, km_sp10_now, km_sp10_battle, km_sp11_base, km_sp11_now, km_sp11_battle, km_sp12_base, km_sp12_now, km_sp12_battle, km_sp13_base, km_sp13_now, km_sp13_battle, km_sp14_base, km_sp14_now, km_sp14_battle, km_sp15_base, km_sp15_now, km_sp15_battle, km_sp16_base, km_sp16_now, km_sp16_battle, km_menu_sort_id, km_list_top_mark, 
       sSlabel,     eSLONG,     eSLONG,     eSCHAR,    eSSHORT,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR,    eSSHORT,     eSCHAR,     eUCHAR,    eSSHORT,     eSCHAR,     eUCHAR,    eSSHORT,     eSCHAR,     eUCHAR,    eSSHORT,     eSCHAR,     eSCHAR,    eSSHORT,     eSCHAR,     eSCHAR,    eSSHORT,     eSCHAR,     eSCHAR,    eSSHORT,     eSCHAR,     eSCHAR,    eSSHORT,     eSCHAR,     eSCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR, 
 0 :   SLOT_001,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 1 :   SLOT_002,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 2 :   SLOT_003,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 3 :   SLOT_004,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 4 :   SLOT_005,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 5 :   SLOT_006,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 6 :   SLOT_007,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 7 :   SLOT_008,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0, 
 8 :   SLOT_009,    8323860,          0,          0,         48,         48,          0,         73,         73,          0,         18,         18,          0,         30,         30,          0,         12,         12,          0,          0,          0,          0,         25,          0,          0,         80,          0,          0,         40,          0,          0,         80,          0,          0,          0,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         63,          0, 
