           km_,      km_id,     km_num, km_get_flag, km_menu_sort_id, km_list_top_mark, 
       sSlabel,    eGLOBAL,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR, 
 0 : dougu_yakusou_1_01,    8978432,        100,          5,          0,          0, 
 1 : dougu_yakusou_1_02,    8978433,        100,          3,          1,          0, 
 2 : dougu_yakusou_1_03,    8978434,         98,          3,          2,          0, 
 3 : dougu_yakusou_1_04,    8978435,        100,          3,          3,          0, 
 4 : dougu_yakusou_1_05,    8978436,        100,          3,          4,          0, 
 5 : dougu_yakusou_1_06,    8978437,        100,          3,         28,          0, 
 6 : dougu_yakusou_2_01,    8978438,        100,          5,         28,          0, 
 7 : dougu_yakusou_2_02,    8978439,        100,          3,          7,          0, 
 8 : dougu_yakusou_2_03,    8978440,        100,          3,         27,          0, 
 9 : dougu_yakusou_2_04,    8978441,        100,          3,          9,          0, 
10 : dougu_potion_1_01,    8978442,        100,          3,         10,          0, 
11 : dougu_potion_1_02,    8978443,        100,          3,         11,          0, 
12 : dougu_potion_1_03,    8978444,        100,          3,         29,          0, 
13 : dougu_potion_2_01,    8978445,        100,          3,         13,          0, 
14 : dougu_potion_2_02,    8978446,        100,          3,         14,          0, 
15 : dougu_potion_2_03,    8978447,        100,          3,         15,          0, 
16 : dougu_potion_2_04,    8978448,        100,          3,         16,          0, 
17 : dougu_potion_2_05,    8978449,        100,          3,         30,          0, 
18 : dougu_potion_2_06,    8978450,        100,          3,         31,          0, 
19 : dougu_cream_1_01,    8978451,        100,          3,         19,          0, 
20 : dougu_cream_1_02,    8978452,        100,          3,         20,          0, 
21 : dougu_cream_1_03,    8978453,        100,          3,         21,          0, 
22 : dougu_cream_1_04,    8978454,        100,          3,         41,          0, 
23 : dougu_cream_2_01,    8978455,        100,          3,         23,          0, 
24 : dougu_cream_2_02,    8978456,        100,          3,         24,          0, 
25 : dougu_cream_2_03,    8978457,        100,          3,         25,          0, 
26 : dougu_cream_2_04,    8978458,        100,          3,         26,          0, 
27 : dougu_cream_2_05,    8978459,        100,          3,         27,          0, 
28 : dougu_cream_2_06,    8978460,        100,          3,         42,          0, 
29 : dougu_handhibom_1_01,    8978461,        100,          3,         29,          0, 
30 : dougu_handhibom_1_02,    8978462,        100,          3,         32,          0, 
31 : dougu_handhibom_1_03,    8978463,        100,          3,         33,          0, 
32 : dougu_handhibom_1_04,    8978464,        100,          3,         34,          0, 
33 : dougu_handhibom_1_05,    8978465,        100,          3,         35,          0, 
34 : dougu_handhibom_2_01,    8978466,        100,          3,         33,          0, 
35 : dougu_handhibom_2_02,    8978467,        100,          3,         36,          0, 
36 : dougu_handhibom_2_03,    8978468,        100,          3,         37,          0, 
37 : dougu_handhibom_2_04,    8978469,        100,          3,         38,          0, 
38 : dougu_handhibom_2_05,    8978470,        100,          3,         39,          0, 
39 : dougu_handhibom_2_06,    8978471,        100,          3,         40,          0, 
40 : dougu_scroll_1_01,    8978472,        100,          3,         43,          0, 
41 : dougu_scroll_1_02,    8978473,        100,          3,         44,          0, 
42 : dougu_scroll_1_03,    8978474,        100,          3,         45,          0, 
43 : dougu_scroll_1_04,    8978475,        100,          3,         46,          0, 
44 : dougu_scroll_2_01,    8978476,        100,          3,         47,          0, 
45 : dougu_scroll_2_02,    8978477,        100,          3,         48,          0, 
46 : dougu_scroll_2_03,    8978478,        100,          3,         49,          0, 
47 : dougu_scroll_2_04,    8978479,        100,          3,         50,          0, 
48 : dougu_scroll_2_05,    8978480,        100,          3,         51,          0, 
49 : dougu_scroll_2_06,    8978481,        100,          3,         52,          0, 
50 : dougu_spatk_1_01,    8978482,        100,          3,         53,          0, 
51 : dougu_spatk_1_02,    8978483,        100,          3,         54,          0, 
52 : dougu_spatk_1_03,    8978484,        100,          3,         55,          0, 
53 : dougu_spatk_2_01,    8978485,        100,          3,         56,          0, 
54 : dougu_spatk_2_02,    8978486,        100,          3,         51,          0, 
55 : dougu_spatk_2_03,    8978487,        100,          3,         57,          0, 
56 : dougu_spatk_2_04,    8978488,        100,          3,         58,          0, 
57 : dougu_spatk_2_05,    8978489,        100,          3,         59,          0, 
58 : QE0820_S_000,    8978490,          1,          3,         55,          0, 
59 : QE1020_S_000,    8978491,          1,          3,         56,          0, 
60 : mons_MF0010_100_clr0,    9109504,          0,          0,         -1,          0, 
61 : mons_MF0010_100_clr1,    9109505,          0,          0,         -1,          0, 
62 : mons_MF0010_100_clr2,    9109506,          0,          0,         -1,          0, 
63 : mons_MF0011_120_clr0,    9109507,          0,          0,         -1,          0, 
64 : mons_MF0011_120_clr1,    9109508,          0,          0,         -1,          0, 
65 : mons_MF0011_120_clr2,    9109509,          0,          0,         -1,          0, 
66 : mons_MF0010_NM_001,    9109510,          0,          0,         -1,          0, 
67 : mons_MF0010_NM_002,    9109511,          0,          0,         -1,          0, 
68 : mons_MF0010_NM_003,    9109512,          0,          0,         -1,          0, 
69 : mons_MF0010_NM_004,    9109513,          0,          0,         -1,          0, 
70 : mons_MF0010_NM_005,    9109514,          0,          0,         -1,          0, 
71 : mons_MF0010_NM_006,    9109515,          0,          0,         -1,          0, 
72 : mons_MF0010_NM_007,    9109516,          0,          0,         -1,          0, 
73 : mons_MF0010_NM_008,    9109517,          0,          0,         -1,          0, 
74 : mons_MG0010_100_clr0,    9109518,          0,          0,         -1,          0, 
75 : mons_MG0010_100_clr1,    9109519,          0,          0,         -1,          0, 
76 : mons_MG0010_100_clr2,    9109520,          0,          0,         -1,          0, 
77 : mons_MG0010_NM_001,    9109521,          0,          0,         -1,          0, 
78 : mons_MG0010_NM_002,    9109522,          0,          0,         -1,          0, 
79 : mons_MG0010_NM_003,    9109523,          0,          0,         -1,          0, 
80 : mons_MG0010_NM_004,    9109524,          0,          0,         -1,          0, 
81 : mons_MG0010_NM_005,    9109525,          0,          0,         -1,          0, 
82 : mons_MG0010_NM_006,    9109526,          0,          0,         -1,          0, 
83 : mons_MG0010_NM_007,    9109527,          0,          0,         -1,          0, 
84 : mons_MG0010_NM_008,    9109528,          0,          0,         -1,          0, 
85 : mons_MJ0010_100_clr0,    9109529,          0,          0,         -1,          0, 
86 : mons_MJ0010_100_clr1,    9109530,          0,          0,         -1,          0, 
87 : mons_MJ0010_100_clr2,    9109531,          0,          0,         -1,          0, 
88 : mons_MJ0011_120_clr0,    9109532,          0,          0,         -1,          0, 
89 : mons_MJ0011_120_clr1,    9109533,          0,          0,         -1,          0, 
90 : mons_MJ0011_120_clr2,    9109534,          0,          0,         -1,          0, 
91 : mons_MJ0010_NM_001,    9109535,          0,          0,         -1,          0, 
92 : mons_MJ0010_NM_002,    9109536,          0,          0,         -1,          0, 
93 : mons_MJ0010_NM_003,    9109537,          0,          0,         -1,          0, 
94 : mons_MJ0010_NM_004,    9109538,          0,          0,         -1,          0, 
95 : mons_MJ0010_NM_005,    9109539,          0,          0,         -1,          0, 
96 : mons_MJ0010_NM_006,    9109540,          0,          0,         -1,          0, 
97 : mons_MJ0010_NM_007,    9109541,          0,          0,         -1,          0, 
98 : mons_MJ0010_NM_008,    9109542,          0,          0,         -1,          0, 
99 : mons_MJ1010_100_clr0,    9109543,          0,          0,         -1,          0, 
100 : mons_MJ1010_100_clr1,    9109544,          0,          0,         -1,          0, 
101 : mons_MJ1010_100_clr2,    9109545,          0,          0,         -1,          0, 
102 : mons_MJ1011_120_clr0,    9109546,          0,          0,         -1,          0, 
103 : mons_MJ1011_120_clr1,    9109547,          0,          0,         -1,          0, 
104 : mons_MJ1011_120_clr2,    9109548,          0,          0,         -1,          0, 
105 : mons_MJ1010_NM_001,    9109549,          0,          0,         -1,          0, 
106 : mons_MJ1010_NM_002,    9109550,          0,          0,         -1,          0, 
107 : mons_MJ1010_NM_003,    9109551,          0,          0,         -1,          0, 
108 : mons_MJ1010_NM_004,    9109552,          0,          0,         -1,          0, 
109 : mons_MJ1010_NM_005,    9109553,          0,          0,         -1,          0, 
110 : mons_MJ1010_NM_006,    9109554,          0,          0,         -1,          0, 
111 : mons_MJ1010_NM_007,    9109555,          0,          0,         -1,          0, 
112 : mons_MJ1010_NM_008,    9109556,          0,          0,         -1,          0, 
113 : mons_MJ3010_100_clr0,    9109557,          0,          0,         -1,          0, 
114 : mons_MJ3010_100_clr1,    9109558,          0,          0,         -1,          0, 
115 : mons_MJ3010_100_clr2,    9109559,          0,          0,         -1,          0, 
116 : mons_MJ3011_120_clr0,    9109560,          0,          0,         -1,          0, 
117 : mons_MJ3011_120_clr1,    9109561,          0,          0,         -1,          0, 
118 : mons_MJ3011_120_clr2,    9109562,          0,          0,         -1,          0, 
119 : mons_MJ3010_NM_001,    9109563,          0,          0,         -1,          0, 
120 : mons_MJ3010_NM_002,    9109564,          0,          0,         -1,          0, 
121 : mons_MJ3010_NM_003,    9109565,          0,          0,         -1,          0, 
122 : mons_MJ3010_NM_004,    9109566,          0,          0,         -1,          0, 
123 : mons_MJ3010_NM_005,    9109567,          0,          0,         -1,          0, 
124 : mons_MJ3010_NM_006,    9109568,          0,          0,         -1,          0, 
125 : mons_MJ3010_NM_007,    9109569,          0,          0,         -1,          0, 
126 : mons_MJ3010_NM_008,    9109570,          0,          0,         -1,          0, 
127 : mons_MJ3020_100_clr0,    9109571,          0,          0,         -1,          0, 
128 : mons_MJ3020_100_clr1,    9109572,          0,          0,         -1,          0, 
129 : mons_MJ3020_100_clr2,    9109573,          0,          0,         -1,          0, 
130 : mons_MJ3021_120_clr0,    9109574,          0,          0,         -1,          0, 
131 : mons_MJ3021_120_clr1,    9109575,          0,          0,         -1,          0, 
132 : mons_MJ3021_120_clr2,    9109576,          0,          0,         -1,          0, 
133 : mons_MJ3020_NM_001,    9109577,          0,          0,         -1,          0, 
134 : mons_MJ3020_NM_002,    9109578,          0,          0,         -1,          0, 
135 : mons_MJ3020_NM_003,    9109579,          0,          0,         -1,          0, 
136 : mons_MJ3020_NM_004,    9109580,          0,          0,         -1,          0, 
137 : mons_MJ3020_NM_005,    9109581,          0,          0,         -1,          0, 
138 : mons_MJ3020_NM_006,    9109582,          0,          0,         -1,          0, 
139 : mons_MJ3020_NM_007,    9109583,          0,          0,         -1,          0, 
140 : mons_MJ3020_NM_008,    9109584,          0,          0,         -1,          0, 
141 : mons_MJ4010_100_clr0,    9109585,          0,          0,         -1,          0, 
142 : mons_MJ4010_100_clr1,    9109586,          0,          0,         -1,          0, 
143 : mons_MJ4010_100_clr2,    9109587,          0,          0,         -1,          0, 
144 : mons_MJ4011_120_clr0,    9109588,          0,          0,         -1,          0, 
145 : mons_MJ4011_120_clr1,    9109589,          0,          0,         -1,          0, 
146 : mons_MJ4011_120_clr2,    9109590,          0,          0,         -1,          0, 
147 : mons_MJ4010_NM_001,    9109591,          0,          0,         -1,          0, 
148 : mons_MJ4010_NM_002,    9109592,          0,          0,         -1,          0, 
149 : mons_MJ4010_NM_003,    9109593,          0,          0,         -1,          0, 
150 : mons_MJ4010_NM_004,    9109594,          0,          0,         -1,          0, 
151 : mons_MJ4010_NM_005,    9109595,          0,          0,         -1,          0, 
152 : mons_MJ4010_NM_006,    9109596,          0,          0,         -1,          0, 
153 : mons_MJ4010_NM_007,    9109597,          0,          0,         -1,          0, 
154 : mons_MJ4010_NM_008,    9109598,          0,          0,         -1,          0, 
155 : mons_MC0010_100_clr0,    9109599,          0,          1,         -1,          0, 
156 : mons_MC0010_100_clr1,    9109600,          0,          0,         -1,          0, 
157 : mons_MC0010_100_clr2,    9109601,          0,          0,         -1,          0, 
158 : mons_MC0011_120_clr0,    9109602,          0,          0,         -1,          0, 
159 : mons_MC0011_120_clr1,    9109603,          0,          0,         -1,          0, 
160 : mons_MC0011_120_clr2,    9109604,          0,          0,         -1,          0, 
161 : mons_MC0012_150_clr0,    9109605,          0,          0,         -1,          0, 
162 : mons_MC0012_150_clr1,    9109606,          0,          0,         -1,          0, 
163 : mons_MC0012_150_clr2,    9109607,          0,          0,         -1,          0, 
164 : mons_MC0010_NM_001,    9109608,          0,          0,         -1,          0, 
165 : mons_MC0010_NM_002,    9109609,          0,          0,         -1,          0, 
166 : mons_MC0010_NM_003,    9109610,          0,          0,         -1,          0, 
167 : mons_MC0010_NM_004,    9109611,          0,          0,         -1,          0, 
168 : mons_MC0010_NM_005,    9109612,          0,          0,         -1,          0, 
169 : mons_MC0010_NM_006,    9109613,          0,          0,         -1,          0, 
170 : mons_MC0010_NM_007,    9109614,          0,          0,         -1,          0, 
171 : mons_MC0010_NM_008,    9109615,          0,          0,         -1,          0, 
172 : mons_MC3010_100_clr0,    9109616,          0,          0,         -1,          0, 
173 : mons_MC3010_100_clr1,    9109617,          0,          0,         -1,          0, 
174 : mons_MC3010_100_clr2,    9109618,          0,          0,         -1,          0, 
175 : mons_MC3011_120_clr0,    9109619,          0,          0,         -1,          0, 
176 : mons_MC3011_120_clr1,    9109620,          0,          0,         -1,          0, 
177 : mons_MC3011_120_clr2,    9109621,          0,          0,         -1,          0, 
178 : mons_MC3010_NM_001,    9109622,          0,          0,         -1,          0, 
179 : mons_MC3010_NM_002,    9109623,          0,          0,         -1,          0, 
180 : mons_MC3010_NM_003,    9109624,          0,          0,         -1,          0, 
181 : mons_MC3010_NM_004,    9109625,          0,          0,         -1,          0, 
182 : mons_MC3010_NM_005,    9109626,          0,          0,         -1,          0, 
183 : mons_MC3010_NM_006,    9109627,          0,          0,         -1,          0, 
184 : mons_MC3010_NM_007,    9109628,          0,          0,         -1,          0, 
185 : mons_MC3010_NM_008,    9109629,          0,          0,         -1,          0, 
186 : mons_MC3020_100_clr0,    9109630,          0,          0,         -1,          0, 
187 : mons_MC3020_100_clr1,    9109631,          0,          0,         -1,          0, 
188 : mons_MC3020_100_clr2,    9109632,          0,          0,         -1,          0, 
189 : mons_MC3021_120_clr0,    9109633,          0,          0,         -1,          0, 
190 : mons_MC3021_120_clr1,    9109634,          0,          0,         -1,          0, 
191 : mons_MC3021_120_clr2,    9109635,          0,          0,         -1,          0, 
192 : mons_MC3020_NM_001,    9109636,          0,          0,         -1,          0, 
193 : mons_MC3020_NM_002,    9109637,          0,          0,         -1,          0, 
194 : mons_MC3020_NM_003,    9109638,          0,          0,         -1,          0, 
195 : mons_MC3020_NM_004,    9109639,          0,          0,         -1,          0, 
196 : mons_MC3020_NM_005,    9109640,          0,          0,         -1,          0, 
197 : mons_MC3020_NM_006,    9109641,          0,          0,         -1,          0, 
198 : mons_MC3020_NM_007,    9109642,          0,          0,         -1,          0, 
199 : mons_MC3020_NM_008,    9109643,          0,          0,         -1,          0, 
200 : mons_MD0010_100_clr0,    9109644,          0,          0,         -1,          0, 
201 : mons_MD0010_100_clr1,    9109645,          0,          0,         -1,          0, 
202 : mons_MD0010_100_clr2,    9109646,          0,          0,         -1,          0, 
203 : mons_MD0011_120_clr0,    9109647,          0,          0,         -1,          0, 
204 : mons_MD0011_120_clr1,    9109648,          0,          0,         -1,          0, 
205 : mons_MD0011_120_clr2,    9109649,          0,          0,         -1,          0, 
206 : mons_MD0012_150_clr0,    9109650,          0,          0,         -1,          0, 
207 : mons_MD0012_150_clr1,    9109651,          0,          0,         -1,          0, 
208 : mons_MD0012_150_clr2,    9109652,          0,          0,         -1,          0, 
209 : mons_MD0010_NM_001,    9109653,          0,          0,         -1,          0, 
210 : mons_MD0010_NM_002,    9109654,          0,          0,         -1,          0, 
211 : mons_MD0010_NM_003,    9109655,          0,          0,         -1,          0, 
212 : mons_MD0010_NM_004,    9109656,          0,          0,         -1,          0, 
213 : mons_MD0010_NM_005,    9109657,          0,          0,         -1,          0, 
214 : mons_MD0010_NM_006,    9109658,          0,          0,         -1,          0, 
215 : mons_MD0010_NM_007,    9109659,          0,          0,         -1,          0, 
216 : mons_MD0010_NM_008,    9109660,          0,          0,         -1,          0, 
217 : mons_MD1010_100_clr0,    9109661,          0,          0,         -1,          0, 
218 : mons_MD1010_100_clr1,    9109662,          0,          0,         -1,          0, 
219 : mons_MD1010_100_clr2,    9109663,          0,          0,         -1,          0, 
220 : mons_MD1011_120_clr0,    9109664,          0,          0,         -1,          0, 
221 : mons_MD1011_120_clr1,    9109665,          0,          0,         -1,          0, 
222 : mons_MD1011_120_clr2,    9109666,          0,          0,         -1,          0, 
223 : mons_MD1010_NM_001,    9109667,          0,          0,         -1,          0, 
224 : mons_MD1010_NM_002,    9109668,          0,          0,         -1,          0, 
225 : mons_MD1010_NM_003,    9109669,          0,          0,         -1,          0, 
226 : mons_MD1010_NM_004,    9109670,          0,          0,         -1,          0, 
227 : mons_MD1010_NM_005,    9109671,          0,          0,         -1,          0, 
228 : mons_MD1010_NM_006,    9109672,          0,          0,         -1,          0, 
229 : mons_MD1010_NM_007,    9109673,          0,          0,         -1,          0, 
230 : mons_MD1010_NM_008,    9109674,          0,          0,         -1,          0, 
231 : mons_MD1020_100_clr0,    9109675,          0,          0,         -1,          0, 
232 : mons_MD1020_100_clr1,    9109676,          0,          0,         -1,          0, 
233 : mons_MD1020_100_clr2,    9109677,          0,          0,         -1,          0, 
234 : mons_MD1021_120_clr0,    9109678,          0,          0,         -1,          0, 
235 : mons_MD1021_120_clr1,    9109679,          0,          0,         -1,          0, 
236 : mons_MD1021_120_clr2,    9109680,          0,          0,         -1,          0, 
237 : mons_MD1020_NM_001,    9109681,          0,          0,         -1,          0, 
238 : mons_MD1020_NM_002,    9109682,          0,          0,         -1,          0, 
239 : mons_MD1020_NM_003,    9109683,          0,          0,         -1,          0, 
240 : mons_MD1020_NM_004,    9109684,          0,          0,         -1,          0, 
241 : mons_MD1020_NM_005,    9109685,          0,          0,         -1,          0, 
242 : mons_MD1020_NM_006,    9109686,          0,          0,         -1,          0, 
243 : mons_MD1020_NM_007,    9109687,          0,          0,         -1,          0, 
244 : mons_MD1020_NM_008,    9109688,          0,          0,         -1,          0, 
245 : mons_MD2010_100_clr0,    9109689,          0,          0,         -1,          0, 
246 : mons_MD2010_100_clr1,    9109690,          0,          0,         -1,          0, 
247 : mons_MD2010_100_clr2,    9109691,          0,          1,         -1,          0, 
248 : mons_MD2011_120_clr0,    9109692,          0,          0,         -1,          0, 
249 : mons_MD2011_120_clr1,    9109693,          0,          0,         -1,          0, 
250 : mons_MD2011_120_clr2,    9109694,          0,          0,         -1,          0, 
251 : mons_MD2010_NM_001,    9109695,          0,          0,         -1,          0, 
252 : mons_MD2010_NM_002,    9109696,          0,          0,         -1,          0, 
253 : mons_MD2010_NM_003,    9109697,          0,          0,         -1,          0, 
254 : mons_MD2010_NM_004,    9109698,          0,          0,         -1,          0, 
255 : mons_MD2010_NM_005,    9109699,          0,          0,         -1,          0, 
