           km_, km_is_enable, km_is_enable_menu, km_union_type, km_name_id, km_name_type_id, km_jin_type, km_unit_id0, km_unit_id1, km_unit_id2, km_unit_id3, km_unit_id4, km_command, km_logic_target_union_id, km_last_command, km_target_union_id, km_sub_target_union_id, km_last_target_union_id, km_target_union_id_default, km_target_unit_array, km_logic_target_unit, km_targeted_count, km_logic_union_bit, km_logic_union_array, km_pre_command, km_pre_logic_target_union_id, km_pre_target_union_id, km_pre_sub_target_union_id, km_post_command, km_post_logic_target_union_id, km_post_target_union_id, km_post_sub_target_union_id, km_temp_command, km_temp_target_union_id, km_temp_sub_target_union_id,  km_lockup, km_lockup_release, km_lockup_situation, km_lockup_enable, km_lockup_max, km_last_mini_situation, km_lockup_pos_x, km_lockup_pos_y,   km_pos_x,   km_pos_y,   km_pos_z,   km_angle,  km_radius, km_center_pos_x, km_center_pos_y, km_navi_pos_x, km_navi_pos_y, km_navi_pos_z, km_navi_angle,  km_hp_now,  km_hp_max,  km_ap_now,  km_ap_max,  km_ap_add, km_ap_reservation, km_ap_forecast, km_ap_charge,  km_weight, km_tension, km_tension_old, km_tension_turn, km_tension_count, km_tension_hendo, km_tension_menu,     km_str,     km_mgc,     km_spd, km_phy_atk, km_mgc_atk, km_phy_def, km_mgc_def, km_turn_spd, km_turn_weight, km_move_spd, km_hp_base, km_ap_base, km_ap_charge_base,  km_hp_jin,  km_ap_jin, km_ap_charge_jin, km_is_turn_end, km_is_pre_turn_end, km_is_post_turn_end, km_total_damage, km_bad_status1, km_bat_status2, km_bad_status_time1, km_bat_status_time2, km_bad_status_time3, km_bad_status_time4, km_map_symbol_id, km_entry_turn, km_entry_monster_union_id, km_sort_id, km_fpp_gid,  km_fpp_cx,  km_fpp_cy,  km_fpp_bw,  km_fpp_bh, km_hase_lockup_center_x, km_hase_lockup_center_y, km_hase_lockup_angle, 
       sSlabel,     eUCHAR,     eUCHAR,    eSSHORT,     eSLONG,     eSLONG,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eSCHAR,     eSLONG,     eSLONG,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eSCHAR,     eSCHAR,    eSSHORT,     eSCHAR,     eSCHAR,     eSCHAR,    eSSHORT,    eSSHORT,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eUSHORT,    eUSHORT,     eUCHAR,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSCHAR,     eSCHAR,     eSCHAR,     eSLONG,     eULONG,     eULONG,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eSLONG,    eSSHORT,     eSLONG,    eSSHORT,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG, 
 0 : UNION_BATTLE_PC_001,          1,          1,          0,    2359301,          8,          0,          0,          1,          2,          3,          4,         -1,         -1,         -1,         -1,         -1,         -1,          9,          0,         -1,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,          9,         -1,         -1,         -1,          0,          1,          1,          0,         -1,         -1,        525,        300,          0,          0,        350,        525,        300,        525,        300,          0,      32768,       9999,       9999,        131,        999,          0,          0,        131,        131,         72,        255,          0,        255,         -1,          0,        255,        255,        255,        184,        149,        177,         39,         47,          0,          0,         22,       9999,        999,        999,       9999,        999,        999,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,         -1,          0,          0,          0,          0,        750,        750,          0,          0,          0, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          1,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1,         -1,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          2,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1,         -1,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          3,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          4,           ,           ,           ,          5,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         50,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0,          0,          0,          0,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , 
