           km_,  km_enable, km_union_type, km_name_type, km_name_type_id,  km_jin_id, km_jin_id_push, km_charcter_id0, km_charcter_id1, km_charcter_id2, km_charcter_id3, km_charcter_id4, km_hp_base,  km_hp_now, km_ap_base,  km_ap_now, km_ap_charge_base, km_ap_charge_now, km_weight_base, km_weight_now, km_tension_base, km_tension_now, km_str_base, km_str_now, km_mgc_base, km_mgc_now, km_spd_base, km_spd_now, km_phy_atk_base, km_phy_atk_now, km_mgc_atk_base, km_mgc_atk_now, km_phy_def_base, km_phy_def_now, km_mgc_def_base, km_mgc_def_now, km_hero_point00, km_hero_point01, km_hero_point02, km_hero_point03, km_hero_point04, km_hero_point05, km_hero_point06, km_hero_point07, km_hero_point08, km_hero_point09, km_hero_point10, km_hero_point11, km_hero_point12, km_menu_sort_id, km_isForceAdd, 
       sSlabel,     eSCHAR,     eSCHAR,     eSLONG,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR, 
 0 :  UNION_000,          1,          0,    2359301,          8,        182,        336,          0,        130,        260,        295,        299,       9999,       9999,        999,        999,        131,        131,         72,         72,        255,        255,        255,        255,        255,        255,        184,        184,        149,        149,        177,        177,         39,         39,         47,         47,          5,          0,          0,          5,          0,          1,          2,          1,          1,          5,          5,          5,          5,          0,          0, 
 1 :  UNION_001,          1,          0,    2359303,         11,        217,        336,          1,          3,         -1,        129,          5,       9999,       9999,        755,        755,         84,         84,         53,         53,        239,        239,        255,        255,        255,        255,        255,        255,        173,        173,        135,        135,         40,         40,         40,         40,          4,          0,          0,          4,          0,          1,          1,          1,          1,          4,          4,          4,          4,          1,          0, 
 2 :  UNION_002,          1,          0,    2359306,          9,        247,          0,        162,         -1,         -1,         65,        163,       7706,       7706,        733,        733,         72,         72,         35,         35,        150,        150,        255,        255,        255,        255,        157,        157,        191,        191,        180,        180,         39,         39,         45,         45,          3,          0,          0,          2,          1,          2,          0,          1,          0,          3,          3,          3,          3,          2,          0, 
 3 :  UNION_003,          1,          0,    2359312,         28,        217,          0,        228,         -1,         -1,        164,        225,       9999,       9999,        768,        768,         80,         80,         43,         43,        128,        128,        255,        255,        255,        255,        172,        172,        175,        175,        176,        176,         38,         38,         50,         50,          2,          1,          0,          2,          1,          2,          0,          0,          1,          3,          3,          3,          3,          3,          0, 
 4 :  UNION_004,          1,          0,    2359326,         18,        217,          0,        197,         -1,         -1,        294,        261,       6826,       6826,        731,        731,         80,         80,         44,         44,        133,        133,        255,        255,        255,        255,        174,        174,        136,        136,        156,        156,         28,         28,         43,         43,          2,          1,          0,          2,          1,          1,          1,          0,          1,          3,          3,          3,          3,          4,          0, 
 5 :  UNION_005,          0,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0, 
 6 :  UNION_006,          0,          0,          0,          0,         48,         48,         -1,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0, 
 7 :  UNION_007,          0,          0,          0,          0,        330,        331,         -1,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0, 

