           km_, km_unit_id, km_message_id,    km_name, km_mc_flag, 
       sSlabel,    eSSHORT,    eSSHORT,     eSLONG,     eUCHAR, 
 0 :     LOG_00,         -1,         -1,         -1,          0, 
 1 :     LOG_01,         -1,         -1,         -1,          0, 
 2 :     LOG_02,         -1,         -1,         -1,          0, 
 3 :     LOG_03,         -1,         -1,         -1,          0, 
 4 :     LOG_04,         -1,         -1,         -1,          0, 
 5 :     LOG_05,         -1,         -1,         -1,          0, 
 6 :     LOG_06,         -1,         -1,         -1,          0, 
 7 :     LOG_07,         -1,         -1,         -1,          0, 
 8 :     LOG_08,         -1,         -1,         -1,          0, 
 9 :     LOG_09,         -1,         -1,         -1,          0, 
10 :        Log,         -1,         -1,         -1,          0, 
11 :        Log,         -1,         -1,         -1,          0, 
12 :        Log,         -1,         -1,         -1,          0, 
13 :        Log,         -1,         -1,         -1,          0, 
14 :        Log,         -1,         -1,         -1,          0, 
15 :        Log,         -1,         -1,         -1,          0, 
16 :        Log,         -1,         -1,         -1,          0, 
17 :        Log,         -1,         -1,         -1,          0, 
18 :        Log,         -1,         -1,         -1,          0, 
19 :        Log,         -1,         -1,         -1,          0, 
20 :        Log,         -1,         -1,         -1,          0, 
21 :        Log,         -1,         -1,         -1,          0, 
22 :        Log,         -1,         -1,         -1,          0, 
23 :        Log,         -1,         -1,         -1,          0, 
24 :        Log,         -1,         -1,         -1,          0, 
25 :        Log,         -1,         -1,         -1,          0, 
26 :        Log,         -1,         -1,         -1,          0, 
27 :        Log,         -1,         -1,         -1,          0, 
28 :        Log,         -1,         -1,         -1,          0, 
29 :        Log,         -1,         -1,         -1,          0, 
30 :        Log,         -1,         -1,         -1,          0, 
31 :        Log,         -1,         -1,         -1,          0, 
32 :        Log,         -1,         -1,         -1,          0, 
33 :        Log,         -1,         -1,         -1,          0, 
34 :        Log,         -1,         -1,         -1,          0, 
35 :        Log,         -1,         -1,         -1,          0, 
36 :        Log,         -1,         -1,         -1,          0, 
37 :        Log,         -1,         -1,         -1,          0, 
38 :        Log,         -1,         -1,         -1,          0, 
39 :        Log,         -1,         -1,         -1,          0, 
40 :        Log,         -1,         -1,         -1,          0, 
41 :        Log,         -1,         -1,         -1,          0, 
42 :        Log,         -1,         -1,         -1,          0, 
43 :        Log,         -1,         -1,         -1,          0, 
44 :        Log,         -1,         -1,         -1,          0, 
45 :        Log,         -1,         -1,         -1,          0, 
46 :        Log,         -1,         -1,         -1,          0, 
47 :        Log,         -1,         -1,         -1,          0, 
48 :        Log,         -1,         -1,         -1,          0, 
49 :        Log,         -1,         -1,         -1,          0, 
50 :        Log,         -1,         -1,         -1,          0, 
51 :        Log,         -1,         -1,         -1,          0, 
52 :        Log,         -1,         -1,         -1,          0, 
53 :        Log,         -1,         -1,         -1,          0, 
54 :        Log,         -1,         -1,         -1,          0, 
55 :        Log,         -1,         -1,         -1,          0, 
56 :        Log,         -1,         -1,         -1,          0, 
57 :        Log,         -1,         -1,         -1,          0, 
58 :        Log,         -1,         -1,         -1,          0, 
59 :        Log,         -1,         -1,         -1,          0, 
60 :        Log,         -1,         -1,         -1,          0, 
61 :        Log,         -1,         -1,         -1,          0, 
62 :        Log,         -1,         -1,         -1,          0, 
63 :        Log,         -1,         -1,         -1,          0, 
64 :        Log,         -1,         -1,         -1,          0, 
65 :        Log,         -1,         -1,         -1,          0, 
66 :        Log,         -1,         -1,         -1,          0, 
67 :        Log,         -1,         -1,         -1,          0, 
68 :        Log,         -1,         -1,         -1,          0, 
69 :        Log,         -1,         -1,         -1,          0, 
70 :        Log,         -1,         -1,         -1,          0, 
71 :        Log,         -1,         -1,         -1,          0, 
72 :        Log,         -1,         -1,         -1,          0, 
73 :        Log,         -1,         -1,         -1,          0, 
74 :        Log,         -1,         -1,         -1,          0, 
75 :        Log,         -1,         -1,         -1,          0, 
76 :        Log,         -1,         -1,         -1,          0, 
77 :        Log,         -1,         -1,         -1,          0, 
78 :        Log,         -1,         -1,         -1,          0, 
79 :        Log,         -1,         -1,         -1,          0, 
80 :        Log,         -1,         -1,         -1,          0, 
81 :        Log,         -1,         -1,         -1,          0, 
82 :        Log,         -1,         -1,         -1,          0, 
83 :        Log,         -1,         -1,         -1,          0, 
84 :        Log,         -1,         -1,         -1,          0, 
85 :        Log,         -1,         -1,         -1,          0, 
86 :        Log,         -1,         -1,         -1,          0, 
87 :        Log,         -1,         -1,         -1,          0, 
88 :        Log,         -1,         -1,         -1,          0, 
89 :        Log,         -1,         -1,         -1,          0, 
90 :        Log,         -1,         -1,         -1,          0, 
91 :        Log,         -1,         -1,         -1,          0, 
92 :        Log,         -1,         -1,         -1,          0, 
93 :        Log,         -1,         -1,         -1,          0, 
94 :        Log,         -1,         -1,         -1,          0, 
95 :        Log,         -1,         -1,         -1,          0, 
96 :        Log,         -1,         -1,         -1,          0, 
97 :        Log,         -1,         -1,         -1,          0, 
98 :        Log,         -1,         -1,         -1,          0, 
99 :        Log,         -1,         -1,         -1,          0, 
100 :        Log,         -1,         -1,         -1,          0, 
101 :        Log,         -1,         -1,         -1,          0, 
102 :        Log,         -1,         -1,         -1,          0, 
103 :        Log,         -1,         -1,         -1,          0, 
104 :        Log,         -1,         -1,         -1,          0, 
105 :        Log,         -1,         -1,         -1,          0, 
106 :        Log,         -1,         -1,         -1,          0, 
107 :        Log,         -1,         -1,         -1,          0, 
108 :        Log,         -1,         -1,         -1,          0, 
109 :        Log,         -1,         -1,         -1,          0, 
110 :        Log,         -1,         -1,         -1,          0, 
111 :        Log,         -1,         -1,         -1,          0, 
112 :        Log,         -1,         -1,         -1,          0, 
113 :        Log,         -1,         -1,         -1,          0, 
114 :        Log,         -1,         -1,         -1,          0, 
115 :        Log,         -1,         -1,         -1,          0, 
116 :        Log,         -1,         -1,         -1,          0, 
117 :        Log,         -1,         -1,         -1,          0, 
118 :        Log,         -1,         -1,         -1,          0, 
119 :        Log,         -1,         -1,         -1,          0, 
120 :        Log,         -1,         -1,         -1,          0, 
121 :        Log,         -1,         -1,         -1,          0, 
122 :        Log,         -1,         -1,         -1,          0, 
123 :        Log,         -1,         -1,         -1,          0, 
124 :        Log,         -1,         -1,         -1,          0, 
125 :        Log,         -1,         -1,         -1,          0, 
126 :        Log,         -1,         -1,         -1,          0, 
127 :        Log,         -1,         -1,         -1,          0, 
128 :        Log,         -1,         -1,         -1,          0, 
129 :        Log,         -1,         -1,         -1,          0, 
130 :        Log,         -1,         -1,         -1,          0, 
131 :        Log,         -1,         -1,         -1,          0, 
132 :        Log,         -1,         -1,         -1,          0, 
133 :        Log,         -1,         -1,         -1,          0, 
134 :        Log,         -1,         -1,         -1,          0, 
135 :        Log,         -1,         -1,         -1,          0, 
136 :        Log,         -1,         -1,         -1,          0, 
137 :        Log,         -1,         -1,         -1,          0, 
138 :        Log,         -1,         -1,         -1,          0, 
139 :        Log,         -1,         -1,         -1,          0, 
140 :        Log,         -1,         -1,         -1,          0, 
141 :        Log,         -1,         -1,         -1,          0, 
142 :        Log,         -1,         -1,         -1,          0, 
143 :        Log,         -1,         -1,         -1,          0, 
144 :        Log,         -1,         -1,         -1,          0, 
145 :        Log,         -1,         -1,         -1,          0, 
146 :        Log,         -1,         -1,         -1,          0, 
147 :        Log,         -1,         -1,         -1,          0, 
148 :        Log,         -1,         -1,         -1,          0, 
149 :        Log,         -1,         -1,         -1,          0, 
150 :        Log,         -1,         -1,         -1,          0, 
151 :        Log,         -1,         -1,         -1,          0, 
152 :        Log,         -1,         -1,         -1,          0, 
153 :        Log,         -1,         -1,         -1,          0, 
154 :        Log,         -1,         -1,         -1,          0, 
155 :        Log,         -1,         -1,         -1,          0, 
156 :        Log,         -1,         -1,         -1,          0, 
157 :        Log,         -1,         -1,         -1,          0, 
158 :        Log,         -1,         -1,         -1,          0, 
159 :        Log,         -1,         -1,         -1,          0, 
160 :        Log,         -1,         -1,         -1,          0, 
161 :        Log,         -1,         -1,         -1,          0, 
162 :        Log,         -1,         -1,         -1,          0, 
163 :        Log,         -1,         -1,         -1,          0, 
164 :        Log,         -1,         -1,         -1,          0, 
165 :        Log,         -1,         -1,         -1,          0, 
166 :        Log,         -1,         -1,         -1,          0, 
167 :        Log,         -1,         -1,         -1,          0, 
168 :        Log,         -1,         -1,         -1,          0, 
169 :        Log,         -1,         -1,         -1,          0, 
170 :        Log,         -1,         -1,         -1,          0, 
171 :        Log,         -1,         -1,         -1,          0, 
172 :        Log,         -1,         -1,         -1,          0, 
173 :        Log,         -1,         -1,         -1,          0, 
174 :        Log,         -1,         -1,         -1,          0, 
175 :        Log,         -1,         -1,         -1,          0, 
176 :        Log,         -1,         -1,         -1,          0, 
177 :        Log,         -1,         -1,         -1,          0, 
178 :        Log,         -1,         -1,         -1,          0, 
179 :        Log,         -1,         -1,         -1,          0, 
180 :        Log,         -1,         -1,         -1,          0, 
181 :        Log,         -1,         -1,         -1,          0, 
182 :        Log,         -1,         -1,         -1,          0, 
183 :        Log,         -1,         -1,         -1,          0, 
184 :        Log,         -1,         -1,         -1,          0, 
185 :        Log,         -1,         -1,         -1,          0, 
186 :        Log,         -1,         -1,         -1,          0, 
187 :        Log,         -1,         -1,         -1,          0, 
188 :        Log,         -1,         -1,         -1,          0, 
189 :        Log,         -1,         -1,         -1,          0, 
190 :        Log,         -1,         -1,         -1,          0, 
191 :        Log,         -1,         -1,         -1,          0, 
192 :        Log,         -1,         -1,         -1,          0, 
193 :        Log,         -1,         -1,         -1,          0, 
194 :        Log,         -1,         -1,         -1,          0, 
195 :        Log,         -1,         -1,         -1,          0, 
196 :        Log,         -1,         -1,         -1,          0, 
197 :        Log,         -1,         -1,         -1,          0, 
198 :        Log,         -1,         -1,         -1,          0, 
199 :        Log,         -1,         -1,         -1,          0, 
200 :        Log,         -1,         -1,         -1,          0, 
201 :        Log,         -1,         -1,         -1,          0, 
202 :        Log,         -1,         -1,         -1,          0, 
203 :        Log,         -1,         -1,         -1,          0, 
204 :        Log,         -1,         -1,         -1,          0, 
205 :        Log,         -1,         -1,         -1,          0, 
206 :        Log,         -1,         -1,         -1,          0, 
207 :        Log,         -1,         -1,         -1,          0, 
208 :        Log,         -1,         -1,         -1,          0, 
209 :        Log,         -1,         -1,         -1,          0, 
210 :        Log,         -1,         -1,         -1,          0, 
211 :        Log,         -1,         -1,         -1,          0, 
212 :        Log,         -1,         -1,         -1,          0, 
213 :        Log,         -1,         -1,         -1,          0, 
214 :        Log,         -1,         -1,         -1,          0, 
215 :        Log,         -1,         -1,         -1,          0, 
216 :        Log,         -1,         -1,         -1,          0, 
217 :        Log,         -1,         -1,         -1,          0, 
218 :        Log,         -1,         -1,         -1,          0, 
219 :        Log,         -1,         -1,         -1,          0, 
220 :        Log,         -1,         -1,         -1,          0, 
221 :        Log,         -1,         -1,         -1,          0, 
222 :        Log,         -1,         -1,         -1,          0, 
223 :        Log,         -1,         -1,         -1,          0, 
224 :        Log,         -1,         -1,         -1,          0, 
225 :        Log,         -1,         -1,         -1,          0, 
226 :        Log,         -1,         -1,         -1,          0, 
227 :        Log,         -1,         -1,         -1,          0, 
228 :        Log,         -1,         -1,         -1,          0, 
229 :        Log,         -1,         -1,         -1,          0, 
230 :        Log,         -1,         -1,         -1,          0, 
231 :        Log,         -1,         -1,         -1,          0, 
232 :        Log,         -1,         -1,         -1,          0, 
233 :        Log,         -1,         -1,         -1,          0, 
234 :        Log,         -1,         -1,         -1,          0, 
235 :        Log,         -1,         -1,         -1,          0, 
236 :        Log,         -1,         -1,         -1,          0, 
237 :        Log,         -1,         -1,         -1,          0, 
238 :        Log,         -1,         -1,         -1,          0, 
239 :        Log,         -1,         -1,         -1,          0, 
240 :        Log,         -1,         -1,         -1,          0, 
241 :        Log,         -1,         -1,         -1,          0, 
242 :        Log,         -1,         -1,         -1,          0, 
243 :        Log,         -1,         -1,         -1,          0, 
244 :        Log,         -1,         -1,         -1,          0, 
245 :        Log,         -1,         -1,         -1,          0, 
246 :        Log,         -1,         -1,         -1,          0, 
247 :        Log,         -1,         -1,         -1,          0, 
248 :        Log,         -1,         -1,         -1,          0, 
249 :        Log,         -1,         -1,         -1,          0, 
250 :        Log,         -1,         -1,         -1,          0, 
251 :        Log,         -1,         -1,         -1,          0, 
252 :        Log,         -1,         -1,         -1,          0, 
253 :        Log,         -1,         -1,         -1,          0, 
254 :        Log,         -1,         -1,         -1,          0, 
255 :        Log,         -1,         -1,         -1,          0, 
256 :        Log,         -1,         -1,         -1,          0, 
257 :        Log,         -1,         -1,         -1,          0, 
258 :        Log,         -1,         -1,         -1,          0, 
259 :        Log,         -1,         -1,         -1,          0, 
260 :        Log,         -1,         -1,         -1,          0, 
261 :        Log,         -1,         -1,         -1,          0, 
262 :        Log,         -1,         -1,         -1,          0, 
263 :        Log,         -1,         -1,         -1,          0, 
264 :        Log,         -1,         -1,         -1,          0, 
265 :        Log,         -1,         -1,         -1,          0, 
266 :        Log,         -1,         -1,         -1,          0, 
267 :        Log,         -1,         -1,         -1,          0, 
268 :        Log,         -1,         -1,         -1,          0, 
269 :        Log,         -1,         -1,         -1,          0, 
270 :        Log,         -1,         -1,         -1,          0, 
271 :        Log,         -1,         -1,         -1,          0, 
272 :        Log,         -1,         -1,         -1,          0, 
273 :        Log,         -1,         -1,         -1,          0, 
274 :        Log,         -1,         -1,         -1,          0, 
275 :        Log,         -1,         -1,         -1,          0, 
276 :        Log,         -1,         -1,         -1,          0, 
277 :        Log,         -1,         -1,         -1,          0, 
278 :        Log,         -1,         -1,         -1,          0, 
279 :        Log,         -1,         -1,         -1,          0, 
280 :        Log,         -1,         -1,         -1,          0, 
281 :        Log,         -1,         -1,         -1,          0, 
282 :        Log,         -1,         -1,         -1,          0, 
283 :        Log,         -1,         -1,         -1,          0, 
284 :        Log,         -1,         -1,         -1,          0, 
285 :        Log,         -1,         -1,         -1,          0, 
286 :        Log,         -1,         -1,         -1,          0, 
287 :        Log,         -1,         -1,         -1,          0, 
288 :        Log,         -1,         -1,         -1,          0, 
289 :        Log,         -1,         -1,         -1,          0, 
290 :        Log,         -1,         -1,         -1,          0, 
291 :        Log,         -1,         -1,         -1,          0, 
292 :        Log,         -1,         -1,         -1,          0, 
293 :        Log,         -1,         -1,         -1,          0, 
294 :        Log,         -1,         -1,         -1,          0, 
295 :        Log,         -1,         -1,         -1,          0, 
296 :        Log,         -1,         -1,         -1,          0, 
297 :        Log,         -1,         -1,         -1,          0, 
298 :        Log,         -1,         -1,         -1,          0, 
299 :        Log,         -1,         -1,         -1,          0, 
300 :        Log,         -1,         -1,         -1,          0, 
301 :        Log,         -1,         -1,         -1,          0, 
302 :        Log,         -1,         -1,         -1,          0, 
303 :        Log,         -1,         -1,         -1,          0, 
304 :        Log,         -1,         -1,         -1,          0, 
305 :        Log,         -1,         -1,         -1,          0, 
306 :        Log,         -1,         -1,         -1,          0, 
307 :        Log,         -1,         -1,         -1,          0, 
308 :        Log,         -1,         -1,         -1,          0, 
309 :        Log,         -1,         -1,         -1,          0, 
310 :        Log,         -1,         -1,         -1,          0, 
311 :        Log,         -1,         -1,         -1,          0, 
312 :        Log,         -1,         -1,         -1,          0, 
313 :        Log,         -1,         -1,         -1,          0, 
314 :        Log,         -1,         -1,         -1,          0, 
315 :        Log,         -1,         -1,         -1,          0, 
316 :        Log,         -1,         -1,         -1,          0, 
317 :        Log,         -1,         -1,         -1,          0, 
318 :        Log,         -1,         -1,         -1,          0, 
319 :        Log,         -1,         -1,         -1,          0, 
320 :        Log,         -1,         -1,         -1,          0, 
321 :        Log,         -1,         -1,         -1,          0, 
322 :        Log,         -1,         -1,         -1,          0, 
323 :        Log,         -1,         -1,         -1,          0, 
324 :        Log,         -1,         -1,         -1,          0, 
325 :        Log,         -1,         -1,         -1,          0, 
326 :        Log,         -1,         -1,         -1,          0, 
327 :        Log,         -1,         -1,         -1,          0, 
328 :        Log,         -1,         -1,         -1,          0, 
329 :        Log,         -1,         -1,         -1,          0, 
330 :        Log,         -1,         -1,         -1,          0, 
331 :        Log,         -1,         -1,         -1,          0, 
332 :        Log,         -1,         -1,         -1,          0, 
333 :        Log,         -1,         -1,         -1,          0, 
