           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       8200,          0,          0, 
 1 :  parameter,       8201,          0,          0, 
 2 : skill_get_arts,       8202,          0,          0, 
 3 : skill_get_mgc,       8203,          0,          0, 
 4 : skill_get_itm,       8204,          0,          0, 
 5 : skill_get_way,       8205,          0,          0, 
 6 : skill_lvup_arts,       8206,          0,          0, 
 7 : skill_lvup_mgc,       8207,          0,          0, 
 8 : skill_lvup_itm,       8208,          0,          0, 
 9 : skill_last,       8209,          0,          0, 
10 : skill_get_pack_arts,       8210,          0,          0, 
11 : skill_get_pack_item,       8211,          0,          0, 
12 :    eq_lvup,       8212,          0,          0, 
13 : class_change,       8213,          0,          0, 

