           km_, km_action_id, km_category_sort_id, km_skill_sort_id, km_skill_growth_type, km_display_is_disp, km_display_is_last, km_display_reserve_0, km_display_reserve_1, km_display_reserve_2, km_display_reserve_3, km_display_reserve_4, km_display_reserve_5, 
       sSlabel,    eSSHORT,    eSSHORT,     eSLONG,     eUCHAR,      e8bit,      e8bit,      e8bit,      e8bit,      e8bit,      e8bit,      e8bit,      e8bit, 
 0 :     LOG_00,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 :     LOG_01,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 :     LOG_02,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 :     LOG_03,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 :     LOG_04,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 :     LOG_05,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 :     LOG_06,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 :     LOG_07,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 8 :     LOG_08,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 9 :     LOG_09,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
22 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
23 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
24 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
25 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
26 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
27 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
28 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
29 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
30 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
31 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
32 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
33 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
34 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
35 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
36 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
37 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
38 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
39 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
40 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
41 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
42 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
43 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
44 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
45 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
46 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
