           km_, km_sword_exp, km_sword_exp2, km_sword_lv_base, km_sword_lv_now, km_sword_lv_battle, km_katana_exp, km_katana_exp2, km_katana_lv_base, km_katana_lv_now, km_katana_lv_battle, km_axe_exp, km_axe_exp2, km_axe_lv_base, km_axe_lv_now, km_axe_lv_battle, km_hammer_exp, km_hammer_exp2, km_hammer_lv_base, km_hammer_lv_now, km_hammer_lv_battle, km_spear_exp, km_spear_exp2, km_spear_lv_base, km_spear_lv_now, km_spear_lv_battle, km_mece_exp, km_mece_exp2, km_mece_lv_base, km_mece_lv_now, km_mece_lv_battle, 
       sSlabel,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR, 
 0 : BtlFriRush,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 1 : david_nassau_s,       4744,          0,         30,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 2 : emma_honeywell_s,        121,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 3 :    plocter,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       3576,          0,         24,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 4 :      pagus,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         28,          0,          1,         -1,         -1, 
 5 :     torgal,       1575,          0,         12,         -1,         -1,          0,          0,         -1,         -1,         -1,        857,          0,          7,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 6 : david_nassau_s,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 7 : btl_pc_baulson,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       2035,          0,         15,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 8 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 9 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
10 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
11 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
12 : btl_free_npc,          0,          0,         -1,         -1,         -1,         24,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
13 : btl_free_npc_034,         25,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
14 : btl_free_npc_064,         23,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
15 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
16 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
17 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
