           km_, km_oh_oh_exp, km_oh_oh_exp2, km_oh_oh_lv_base, km_oh_oh_lv_now, km_oh_oh_lv_battle, km_oh_th_exp, km_oh_th_exp2, km_oh_th_lv_base, km_oh_th_lv_now, km_oh_th_lv_battle, km_oh_ww_exp, km_oh_ww_exp2, km_oh_ww_lv_base, km_oh_ww_lv_now, km_oh_ww_lv_battle, km_th_th_exp, km_th_th_exp2, km_th_th_lv_base, km_th_th_lv_now, km_th_th_lv_battle, km_s_fw_exp, km_s_fw_exp2, km_s_fw_lv_base, km_s_fw_lv_now, km_s_fw_lv_battle, km_s_oh_exp, km_s_oh_exp2, km_s_oh_lv_base, km_s_oh_lv_now, km_s_oh_lv_battle, km_s_th_exp, km_s_th_exp2, km_s_th_lv_base, km_s_th_lv_now, km_s_th_lv_battle, 
       sSlabel,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR, 
 0 : BtlFriRush,        472,          0,          7,         -1,         -1,          0,          0,         -1,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 1 : david_nassau_s,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 2 : emma_honeywell_s,         31,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,        381,          0,          7,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 3 :    plocter,         34,          0,          2,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 4 :      pagus,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       4188,          0,         27,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 5 :     torgal,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         36,          0,          2,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 6 : david_nassau_s,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 7 : btl_pc_baulson,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 8 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
 9 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
