           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       8214,          0,          0, 
 1 :   tips_001,       8215,          0,          0, 
 2 :   tips_002,       8216,          0,          0, 
 3 :   tips_003,       8217,          0,          0, 
 4 :   tips_004,       8218,          0,          0, 
 5 :   tips_005,       8219,          0,          0, 
 6 :   tips_006,       8220,          0,          0, 
 7 :   tips_007,       8221,          0,          0, 
 8 :   tips_008,       8222,          0,          0, 
 9 :   tips_009,       8223,          0,          0, 
10 :   tips_010,       8224,          0,          0, 
11 :   tips_011,       8225,          0,          0, 
12 :   tips_012,       8226,          0,          0, 
13 :   tips_013,       8227,          0,          0, 
14 :   tips_014,       8228,          0,          0, 
15 :   tips_015,       8229,          0,          0, 
16 :   tips_016,       8230,          0,          0, 
17 :   tips_017,       8231,          0,          0, 
18 :   tips_018,       8232,          0,          0, 
19 :   tips_019,       8233,          0,          0, 
20 :   tips_020,       8234,          0,          0, 
21 :   tips_021,       8235,          0,          0, 
22 :   tips_022,       8236,          0,          0, 
23 :   tips_023,       8237,          0,          0, 
24 :   tips_024,       8238,          0,          0, 
25 :   tips_025,       8239,          0,          0, 
26 :   tips_026,       8240,          0,          0, 
27 :   tips_027,       8241,          0,          0, 
28 :   tips_028,       8242,          0,          0, 
29 :   tips_029,       8243,          0,          0, 
30 :   tips_030,       8244,          0,          0, 
31 :   tips_031,       8245,          0,          0, 
32 :   tips_032,       8246,          0,          0, 
33 :   tips_033,       8247,          0,          0, 
34 :   tips_034,       8248,          0,          0, 
35 :   tips_035,       8249,          0,          0, 
36 :   tips_036,       8250,          0,          0, 
37 :   tips_037,       8251,          0,          0, 
38 :   tips_038,       8252,          0,          0, 
39 :   tips_039,       8253,          0,          0, 
40 :   tips_040,       8254,          0,          0, 
41 :   tips_041,       8255,          0,          0, 
42 :   tips_042,       8256,          0,          0, 
43 :   tips_043,       8257,          0,          0, 
44 :   tips_044,       8258,          0,          0, 
45 :   tips_045,       8259,          0,          0, 
46 :   tips_046,       8260,          0,          0, 
47 :   tips_047,       8261,          0,          0, 
48 :   tips_048,       8262,          0,          0, 
49 :   tips_049,       8263,          0,          0, 
50 :   tips_050,       8264,          0,          0, 
51 :   tips_051,       8265,          0,          0, 
52 :   tips_052,       8266,          0,          0, 
53 :   tips_053,       8267,          0,          0, 
54 :   tips_054,       8268,          0,          0, 
55 :   tips_055,       8269,          0,          0, 
56 :   tips_056,       8270,          0,          0, 
57 :   tips_057,       8271,          0,          0, 
58 :   tips_058,       8272,          0,          0, 
59 :   tips_059,       8273,          0,          0, 
60 :   tips_060,       8274,          0,          0, 
61 :   tips_061,       8275,          0,          0, 
62 :   tips_062,       8276,          0,          0, 
63 :   tips_063,       8277,          0,          0, 
64 :   tips_064,       8278,          0,          0, 
65 :   tips_065,       8279,          0,          0, 
66 :   tips_066,       8280,          0,          0, 
67 :   tips_067,       8281,          0,          0, 
68 :   tips_068,       8282,          0,          0, 
69 :   tips_069,       8283,          0,          0, 
70 :   tips_070,       8284,          0,          0, 
71 :   tips_071,       8285,          0,          0, 
72 :   tips_072,       8286,          0,          0, 
73 :   tips_073,       8287,          0,          0, 
74 :   tips_074,       8288,          0,          0, 
75 :   tips_075,       8289,          0,          0, 
76 :   tips_076,       8290,          0,          0, 
77 :   tips_077,       8291,          0,          0, 
78 :   tips_078,       8292,          0,          0, 
79 :   tips_079,       8293,          0,          0, 
80 :   tips_080,       8294,          0,          0, 
81 :   tips_081,       8295,          0,          0, 
82 :   tips_082,       8296,          0,          0, 
83 :   tips_083,       8297,          0,          0, 
84 :   tips_084,       8298,          0,          0, 
85 :   tips_085,       8299,          0,          0, 
86 :   tips_086,       8300,          0,          0, 
87 :   tips_087,       8301,          0,          0, 
88 :   tips_088,       8302,          0,          0, 
89 :   tips_089,       8303,          0,          0, 
90 :   tips_090,       8304,          0,          0, 
91 :   tips_091,       8305,          0,          0, 
92 :   tips_092,       8306,          0,          0, 
93 :   tips_093,       8307,          0,          0, 
94 :   tips_094,       8308,          0,          0, 
95 :   tips_095,       8309,          0,          0, 
96 :   tips_096,       8310,          0,          0, 
97 :   tips_097,       8311,          0,          0, 
98 :   tips_098,       8312,          0,          0, 
99 :   tips_099,       8313,          0,          0, 
100 :       tips,       8314,          0,          0, 
101 :       tips,       8315,          0,          0, 
102 :       tips,       8316,          0,          0, 
103 :       tips,       8317,          0,          0, 
104 :       tips,       8318,          0,          0, 
105 :       tips,       8319,          0,          0, 
106 :       tips,       8320,          0,          0, 
107 :       tips,       8321,          0,          0, 
108 :       tips,       8322,          0,          0, 
109 :       tips,       8323,          0,          0, 
110 :       tips,       8324,          0,          0, 
111 :       tips,       8325,          0,          0, 
112 :       tips,       8326,          0,          0, 
113 :       tips,       8327,          0,          0, 
114 :       tips,       8328,          0,          0, 
115 :       tips,       8329,          0,          0, 
116 :       tips,       8330,          0,          0, 
117 :       tips,       8331,          0,          0, 
118 :       tips,       8332,          0,          0, 
119 :       tips,       8333,          0,          0, 
120 :       tips,       8334,          0,          0, 
121 :       tips,       8335,          0,          0, 
122 :       tips,       8336,          0,          0, 
123 :       tips,       8337,          0,          0, 
124 :       tips,       8338,          0,          0, 
125 :       tips,       8339,          0,          0, 
126 :       tips,       8340,          0,          0, 
127 :       tips,       8341,          0,          0, 
128 :       tips,       8342,          0,          0, 
129 :    test_00,       8343,          0,          0, 
130 :    test_01,       8344,          0,          0, 
131 :    test_02,       8345,          0,          0, 
132 :    test_03,       8346,          0,          0, 
133 :    test_04,       8347,          0,          0, 

