           km_, km_is01_exp, km_is01_exp2, km_is01_lv, km_is02_exp, km_is02_exp2, km_is02_lv, km_is03_exp, km_is03_exp2, km_is03_lv, km_is04_exp, km_is04_exp2, km_is04_lv, km_is05_exp, km_is05_exp2, km_is05_lv, km_is06_exp, km_is06_exp2, km_is06_lv, km_is07_exp, km_is07_exp2, km_is07_lv, km_is08_exp, km_is08_exp2, km_is08_lv, km_is09_exp, km_is09_exp2, km_is09_lv, km_is10_exp, km_is10_exp2, km_is10_lv, km_is11_exp, km_is11_exp2, km_is11_lv, km_is12_exp, km_is12_exp2, km_is12_lv, km_is13_exp, km_is13_exp2, km_is13_lv, km_is14_exp, km_is14_exp2, km_is14_lv, km_is15_exp, km_is15_exp2, km_is15_lv, km_is16_exp, km_is16_exp2, km_is16_lv, 
       sSlabel,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR, 
 0 : BtlFriRush_item_yakusou,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 1 : BtlFriRush_item_potion,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 2 : BtlFriRush_item_nuri,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 3 : BtlFriRush_item_bakuyaku,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 4 : BtlFriRush_item_mahen,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 5 : BtlFriRush_item_special,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 6 : david_nassau_s_item_yakusou,        136,          0,          4,        797,          0,          5,          0,          0,          1,        124,          0,          3,         50,          0,          2,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 7 : david_nassau_s_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 8 : david_nassau_s_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
