           km_, km_ms01_exp, km_ms01_exp2, km_ms01_lv, km_ms02_exp, km_ms02_exp2, km_ms02_lv, km_ms03_exp, km_ms03_exp2, km_ms03_lv, km_ms04_exp, km_ms04_exp2, km_ms04_lv, km_ms05_exp, km_ms05_exp2, km_ms05_lv, km_ms06_exp, km_ms06_exp2, km_ms06_lv, km_ms07_exp, km_ms07_exp2, km_ms07_lv, km_ms08_exp, km_ms08_exp2, km_ms08_lv, km_ms09_exp, km_ms09_exp2, km_ms09_lv, km_ms10_exp, km_ms10_exp2, km_ms10_lv, km_ms11_exp, km_ms11_exp2, km_ms11_lv, km_ms12_exp, km_ms12_exp2, km_ms12_lv, km_ms13_exp, km_ms13_exp2, km_ms13_lv, km_ms14_exp, km_ms14_exp2, km_ms14_lv, km_ms15_exp, km_ms15_exp2, km_ms15_lv, km_ms16_exp, km_ms16_exp2, km_ms16_lv, 
       sSlabel,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR,     eULONG,     eULONG,     eSCHAR, 
 0 : BtlFriRush_magic_totsugeki,        399,          0,          5,        397,          0,          4,        203,          0,          3,        659,          0,          5,        659,          0,          5,        724,          0,          5,        736,          0,          5,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 1 : BtlFriRush_magic_sogeki,        581,          0,          5,        461,          0,          4,        165,          0,          2,        185,          0,          3,        106,          0,          2,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 2 : BtlFriRush_magic_kousaku,        399,          0,          5,        431,          0,          4,        599,          0,          5,        599,          0,          5,        659,          0,          5,        791,          0,          5,        797,          0,          5,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 3 : BtlFriRush_magic_kyujo,        495,          0,          5,        107,          0,          3,         83,          0,          3,        559,          0,          5,        148,          0,          3,        797,          0,          5,        188,          0,          3,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 4 : BtlFriRush_magic_senjutsu,        407,          0,          5,        603,          0,          5,        599,          0,          5,        599,          0,          5,        659,          0,          5,        724,          0,          5,        797,          0,          5,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 5 : BtlFriRush_magic_senryaku,        399,          0,          5,        306,          0,          3,        474,          0,          4,        357,          0,          3,          0,          0,         -1,          0,          0,         -1,        180,          0,          2,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 6 : BtlFriRush_magic_kinki,        659,          0,          5,          0,          0,          1,        797,          0,          5,        443,          0,          4,          0,          0,         -1,          0,          0,         -1,        225,          0,          3,        797,          0,          5,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 7 : david_nassau_s_magic_totsugeki,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 8 : david_nassau_s_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
 9 : david_nassau_s_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
10 : david_nassau_s_magic_kyujo,         69,          0,          3,          0,          0,         -1,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
