           km_, km_totsugeki_exp, km_totsugeki_exp2, km_totsugeki_lv_base, km_totsugeki_lv_now, km_totsugeki_lv_battle, km_totsugeki_use_flag, km_sogeki_exp, km_sogeki_exp2, km_sogeki_lv_base, km_sogeki_lv_now, km_sogeki_lv_battle, km_sogeki_use_flag, km_kousaku_exp, km_kousaku_exp2, km_kousaku_lv_base, km_kousaku_lv_now, km_kousaku_lv_battle, km_kousaku_use_flag, km_kyujo_exp, km_kyujo_exp2, km_kyujo_lv_base, km_kyujo_lv_now, km_kyujo_lv_battle, km_kyujo_use_flag, km_senjutsu_exp, km_senjutsu_exp2, km_senjutsu_lv_base, km_senjutsu_lv_now, km_senjutsu_lv_battle, km_senjutsu_use_flag, km_senryaku_exp, km_senryaku_exp2, km_senryaku_lv_base, km_senryaku_lv_now, km_senryaku_lv_battle, km_senryaku_use_flag, km_kinki_exp, km_kinki_exp2, km_kinki_lv_base, km_kinki_lv_now, km_kinki_lv_battle, km_kinki_use_flag, 
       sSlabel,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR,     eULONG,     eULONG,     eSCHAR,     eSCHAR,     eSCHAR,     eUCHAR, 
 0 : BtlFriRush,       3807,          0,         24,         -1,         -1,          0,       1009,          0,          8,         -1,         -1,          0,       4584,          0,         29,         -1,         -1,          0,       3518,          0,         24,         -1,         -1,          0,       5000,          0,         32,         -1,         -1,          0,       1462,          0,         14,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0, 
 1 : david_nassau_s,          1,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         72,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 2 : emma_honeywell_s,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        145,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 3 :    plocter,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 4 :      pagus,       2121,          0,         12,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,       1714,          0,         15,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 5 :     torgal,          0,          0,         -1,         -1,         -1,          0,          2,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        472,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 6 : david_nassau_s,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 7 : btl_pc_baulson,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 8 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         25,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
 9 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
10 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,         38,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
11 : btl_free_npc,         24,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
12 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
13 : btl_free_npc_034,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
14 : btl_free_npc_064,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
15 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
16 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
17 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
18 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
19 : btl_free_npc,         79,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
20 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         79,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
21 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
22 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
23 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
24 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
