           km_, km_preset_skill_type, km_btl_rank_min, km_btl_rank_max, km_check_num, km_growth_category, km_action_id_0, km_action_id_1, km_action_id_2, km_action_id_3, km_action_id_4, km_action_id_5, km_action_id_6, km_action_id_7, 
       sSlabel,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 :       null,        165,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 1 :          @,        165,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 2 :          @,        165,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 3 :          @,        165,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 4 :          @,        165,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 5 :          @,        165,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 6 :       RUSH,        166,          0,        255,          6,         21,       1883,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 7 :          @,        166,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 8 :          @,        166,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 9 :          @,        166,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
10 :          @,        166,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
11 :          @,        166,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
12 : emma_honeywell_s,        167,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
13 :          @,        167,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
14 :          @,        167,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
