           km_,      km_id, 
       sSlabel,     eUCHAR, 
 0 :  arts_null,          0, 
 1 :  arts_null,          0, 
 2 : arts_emma_honeywell_s,          0, 
 3 : arts_btl_pc_jorgen,          0, 
 4 : arts_btl_pc_jorgen,          0, 
 5 : arts_btl_pc_jorgen,          0, 
 6 : arts_btl_pc_jorgen,          0, 
 7 : arts_btl_pc_jorgen,          0, 
 8 : arts_btl_pc_jorgen,          0, 
 9 : arts_btl_pc_jorgen,          0, 
10 : arts_btl_pc_violet,          0, 
11 : arts_btl_pc_gabriel,          0, 
12 :  arts_emmy,          0, 
13 : arts_btl_pc_glenys,          0, 
14 : arts_jager,          0, 
15 : arts_david_nassau_s,          0, 
16 : arts_btl_pc_loki,          0, 
17 : arts_btl_pc_nora,          0, 
18 : arts_btl_pc_roberto,          0, 
19 : arts_btl_pc_khrynia,          0, 
20 : arts_btl_pc_rhagoh,          0, 
21 : arts_btl_pc_paris,          0, 
22 : arts_btl_pc_kate,          0, 
23 : arts_btl_pc_sheryl,          0, 
24 : arts_irina_sykes_s,          0, 
25 : arts_haruko,          0, 
26 : arts_plocter,          0, 
27 : arts_btl_pc_baulson,          0, 
28 : arts_btl_pc_gaou,          0, 
29 : arts_duke_of_ghor,          0, 
30 : arts_btl_pc_zolean,          0, 
31 : arts_btl_pc_yuniver,          0, 
32 : arts_btl_pc_sibal,          0, 
33 : arts_btl_pc_darien,          0, 
34 : arts_pagus,          0, 
35 : arts_btl_pc_maddox,          0, 
36 : arts_btl_pc_leshau,          0, 
37 : arts_torgal,          0, 
38 : arts_btl_pc_caedmon,          0, 
39 : arts_btl_pc_allan,          0, 
40 : arts_btl_pc_wyngale,          0, 
41 : arts_btl_pc_leucetius,          0, 
42 : arts_m_ohC,          0, 
43 : arts_m_ohB,          0, 
44 : arts_m_ohA,          0, 
45 : arts_m_ohS,          0, 
46 : arts_m_UNIQ_ohC,          0, 
47 : arts_m_UNIQ_ohB,          0, 
48 : arts_m_UNIQ_ohA,          0, 
49 : arts_m_UNIQ_ohS,          0, 
50 : arts_m_thC,          0, 
51 : arts_m_thB,          0, 
52 : arts_m_thA,          0, 
53 : arts_m_thS,          0, 
54 : arts_m_UNIQ_thC,          0, 
55 : arts_m_UNIQ_thB,          0, 
56 : arts_m_UNIQ_thA,          0, 
57 : arts_m_UNIQ_thS,          0, 
58 : arts_m_wwC,          0, 
59 : arts_m_wwB,          0, 
60 : arts_m_wwA,          0, 
61 : arts_m_wwS,          0, 
62 : arts_m_UNIQ_wwC,          0, 
63 : arts_m_UNIQ_wwB,          0, 
64 : arts_m_UNIQ_wwA,          0, 
65 : arts_m_UNIQ_wwS,          0, 
66 : arts_m_twC,          0, 
67 : arts_m_twB,          0, 
68 : arts_m_twA,          0, 
69 : arts_m_twS,          0, 
70 : arts_m_UNIQ_twC,          0, 
71 : arts_m_UNIQ_twB,          0, 
72 : arts_m_UNIQ_twA,          0, 
73 : arts_m_UNIQ_twS,          0, 
74 : arts_m_ohCthC,          0, 
75 : arts_m_ohBthC,          0, 
76 : arts_m_ohAthB,          0, 
77 : arts_m_ohSthA,          0, 
78 : arts_m_ohCwwC,          0, 
79 : arts_m_ohBwwC,          0, 
80 : arts_m_ohAwwB,          0, 
81 : arts_m_ohSwwA,          0, 
82 : arts_m_thCohC,          0, 
83 : arts_m_thBohC,          0, 
84 : arts_m_thAohB,          0, 
85 : arts_m_thSohA,          0, 
86 : arts_m_thCwwC,          0, 
87 : arts_m_thBwwC,          0, 
88 : arts_m_thAwwB,          0, 
89 : arts_m_thSwwA,          0, 
90 : arts_m_wwCohC,          0, 
91 : arts_m_wwBohC,          0, 
92 : arts_m_wwAohB,          0, 
93 : arts_m_wwSohA,          0, 
94 : arts_m_wwCthC,          0, 
95 : arts_m_wwBthC,          0, 
96 : arts_m_wwAthB,          0, 
97 : arts_m_wwSthA,          0, 
98 :   mgc_null,          0, 
99 : mgc_emma_honeywell_s,          0, 
100 : mgc_btl_pc_jorgen,          0, 
101 : mgc_btl_pc_jorgen,          0, 
102 : mgc_btl_pc_jorgen,          0, 
103 : mgc_btl_pc_jorgen,          0, 
104 : mgc_btl_pc_jorgen,          0, 
105 : mgc_btl_pc_jorgen,          0, 
106 : mgc_btl_pc_jorgen,          0, 
107 : mgc_btl_pc_violet,          0, 
108 : mgc_btl_pc_gabriel,          0, 
109 :   mgc_emmy,          0, 
110 : mgc_btl_pc_glenys,          0, 
111 :  mgc_jager,          0, 
112 : mgc_david_nassau_s,          0, 
113 : mgc_btl_pc_loki,          0, 
114 : mgc_btl_pc_nora,          0, 
115 : mgc_btl_pc_roberto,          0, 
116 : mgc_btl_pc_khrynia,          0, 
117 : mgc_btl_pc_rhagoh,          0, 
118 : mgc_btl_pc_paris,          0, 
119 : mgc_btl_pc_kate,          0, 
120 : mgc_btl_pc_sheryl,          0, 
121 : mgc_irina_sykes_s,          0, 
122 : mgc_haruko,          0, 
123 : mgc_plocter,          0, 
124 : mgc_btl_pc_baulson,          0, 
125 : mgc_btl_pc_gaou,          0, 
126 : mgc_duke_of_ghor,          0, 
127 : mgc_btl_pc_zolean,          0, 
128 : mgc_btl_pc_yuniver,          0, 
129 : mgc_btl_pc_sibal,          0, 
130 : mgc_btl_pc_darien,          0, 
131 :  mgc_pagus,          0, 
132 : mgc_btl_pc_maddox,          0, 
133 : mgc_btl_pc_leshau,          0, 
134 : mgc_torgal,          0, 
135 : mgc_btl_pc_caedmon,          0, 
136 : mgc_btl_pc_allan,          0, 
137 : mgc_btl_pc_wyngale,          0, 
138 : mgc_btl_pc_leucetius,          0, 
139 :  mgc_totuC,          0, 
140 :  mgc_totuB,          0, 
141 :  mgc_totuA,          0, 
142 :  mgc_totuS,          0, 
143 : mgc_sogekiC,          0, 
144 : mgc_sogekiB,          0, 
145 : mgc_sogekiA,          0, 
146 : mgc_sogekiS,          0, 
147 : mgc_kousakuC,          0, 
148 : mgc_kousakuB,          0, 
149 : mgc_kousakuA,          0, 
150 : mgc_kousakuS,          0, 
151 : mgc_kyujyoC,          0, 
152 : mgc_kyujyoB,          0, 
153 : mgc_kyujyoA,          0, 
154 : mgc_kyujyoS,          0, 
155 : mgc_totuBkousakuB,          0, 
156 : mgc_totuAkousakuA,          0, 
157 : mgc_totuAsogekiA,          0, 
158 : mgc_totuSsogekiS,          0, 
159 : mgc_kyujoStotsusoA,          0, 
160 : mgc_senryakuBsenjutsuC,          0, 
161 : mgc_sogekiAkousakuA,          0, 
162 : mgc_kyujyoAkousakuA,          0, 
163 : mgc_senjyutuSkyujyoS,          0, 
164 : mgc_senryakuSkousakuS,          0, 
165 :  item_null,          0, 
166 :  item_rush,          0, 
167 : item_emma_honeywell_s,          0, 
168 : item_btl_pc_jorgen,          0, 
169 : item_btl_pc_jorgen,          0, 
170 : item_btl_pc_jorgen,          0, 
171 : item_btl_pc_jorgen,          0, 
172 : item_btl_pc_jorgen,          0, 
173 : item_btl_pc_jorgen,          0, 
174 : item_btl_pc_jorgen,          0, 
