           km_,   km_chara, km_mons_count_id, km_mons_rare, km_mons_boss, km_shield_weapon_chg, km_chara_class, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise, km_item_money, km_item_surely, km_eqlv_surely, km_item_surely_num, km_item_normal1, km_eqlv_normal1, km_item_normal1_num, km_item_normal2, km_eqlv_normal2, km_item_normal2_num, km_item_rare, km_eqlv_rare, km_item_rare_num, km_item_veryrare, km_eqlv_veryrare, km_item_veryrare_num, km_item_tuika1, km_eqlv_tuika1, km_item_tuika1_num, km_item_tuika1_odd, km_item_tuika1_getd, km_item_tuika2, km_eqlv_tuika2, km_item_tuika2_num, km_item_tuika2_odd, km_item_tuika2_getd, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eSCHAR,    eSSHORT,    eSSHORT,     eSCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eUSHORT,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,    eGLOBAL,     eSCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eGLOBAL,     eSCHAR,     eUCHAR,     eUCHAR,    eSSHORT, 
 0 : YFD_00_E000_00_v0,        540,          5,          0,          0,          0,        350,        156,         38,          7,         18,         14,         15,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,         10,          5,         20,         10,          5,          5,         10,         -1,         -1,         -1,       1466,          0,         21,         -1,         -1,         -1,         -1,        196,       4715,         -1,         -1,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,        255,         -1,         -1,         -1,        255,        255,         -1, 
 1 : YFD_00_E000_00_v1,        545,          8,          0,          0,          0,        350,        180,         38,          7,         19,         14,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,         10,          5,         20,         10,          5,          5,         10,         -1,         -1,         -1,       1477,          0,         21,         -1,         -1,         -1,         -1,        200,       4725,         -1,         -1,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,         -1,         -1,        255,        255,         -1,         -1,         -1,        255,        255,         -1, 
 2 : RBC_00_E00_v0,        638,         97,          0,          0,          0,        357,        113,         28,          5,         18,         14,         17,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,         10,          5,         10,          5,         20,         -1,         -1,         -1,       1381,          0,         34,         -1,         -1,         -1,         -1,        296,       4959,         -1,         -1,       1059,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044565,         99,          1,    9044566,         99,          1,    8978432,         99,          1,    9109599,         99,          1,    9044569,         99,          1,         30,        233,    9044570,         99,          1,         15,        263, 
 3 : RBC_00_E00_v1,        641,         97,          0,          0,          0,        357,        113,         28,          5,         18,         14,         17,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,         10,          5,         10,          5,         20,         -1,         -1,         -1,       1381,          0,         34,         -1,         -1,         -1,         -1,        296,       4959,         -1,         -1,       1059,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044565,         99,          2,    9044566,         99,          2,    9109599,         99,          1,    8978432,         99,          2,    9044569,         99,          1,         30,        233,    9044570,         99,          1,         15,        263, 
 4 : RBC_00_E00_v2,        644,         97,          0,          0,          0,        357,        113,         28,          5,         18,         14,         17,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,         10,          5,         10,          5,         20,         -1,         -1,         -1,       1381,          0,         34,         -1,         -1,         -1,         -1,        296,       4959,         -1,         -1,       1059,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044565,         99,          3,    9044566,         99,          3,    9109599,         99,          1,    8978432,         99,          3,    9044569,         99,          1,         30,        233,    9044570,         99,          1,         15,        263, 
 5 : RBC_00_E01_v0,        728,        173,          0,          0,          0,        363,        121,         30,          6,         17,         11,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,          5,         10,          5,         20,         10,         -1,         -1,         -1,       1381,          0,         48,         -1,         -1,         -1,         -1,        328,       5132,         -1,         -1,       1527,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044623,         99,          1,    9044624,         99,          1,    8978432,         99,          1,    9109689,         99,          1,    9044627,         99,          1,         30,        239,    9044628,         99,          1,         15,        269, 
 6 : RBC_00_E01_v1,        731,        173,          0,          0,          0,        363,        121,         30,          6,         17,         11,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,          5,         10,          5,         20,         10,         -1,         -1,         -1,       1381,          0,         48,         -1,         -1,         -1,         -1,        328,       5132,         -1,         -1,       1527,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044623,         99,          2,    9044624,         99,          2,    9109689,         99,          1,    8978432,         99,          2,    9044627,         99,          1,         30,        239,    9044628,         99,          1,         15,        269, 
 7 : RBC_00_E02_v0,        596,         58,          0,          0,          0,        354,        399,         79,         15,         20,         19,         14,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1397,          0,         28,         -1,         -1,         -1,         -1,        268,       4844,         -1,         -1,        830,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044535,         99,          1,    8978438,         99,          1,    9109557,         99,          1,    9044536,         99,          1,    9044539,         99,          1,         30,        230,    9044540,         99,          1,         15,        260, 
 8 : RBC_00_E02_v1,        599,         61,          0,          0,          0,        354,        399,         79,         15,         20,         19,         14,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1412,          0,         28,         -1,         -1,         -1,         -1,        273,       4852,         -1,         -1,        830,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044535,         99,          2,    8978438,         99,          2,    9109557,         99,          1,    9044536,         99,          2,    9044539,         99,          1,         30,        230,    9044540,         99,          1,         15,        260, 
