           km_,   km_chara,   km_param, km_party_lock, km_party_guest, km_not_reserve, km_sort_id, km_chara_class, km_base_lv, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_eq_accessories_sp, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise,   km_money,  km_item_1, km_item_1_num,  km_item_2, km_item_2_num,  km_item_3, km_item_3_num,  km_item_4, km_item_4_num,  km_item_5, km_item_5_num,  km_item_6, km_item_6_num,  km_item_7, km_item_7_num,  km_item_8, km_item_8_num, km_aim_weapon, km_aim_accessory_01, km_aim_accessory_02, km_open_heikin, km_open_phy, km_open_mgc, km_end_of_the_rainbow, km_lootmes, km_ptalk_count, km_ptalk_mes, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,    eUSHORT,    eSSHORT,     eUCHAR,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eSCHAR,    eSSHORT,    eSSHORT,     eSCHAR,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eUSHORT,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eGLOBAL,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : BtlFriRush,          0,          0,          1,          0,          0,          1,          0,          2,        284,         23,          3,         26,         24,         18,         54,         17,         45,          0,          2,         56,        110,         11,         65,        119,         17,         71,        125,         29,         83,        137,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         20,         20,         20,         20,         20,         20,         20,         20,          0,         98,        166,          0,          0,          0,         -1,         -1,         -1,         -1,    8913112,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        800,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
 1 : david_nassau_s,          2,          1,          1,          0,          0,          3,        114,          7,        362,         22,          3,         25,         23,         19,         58,         17,         65,          0,          2,         56,        110,         11,         65,        119,         17,         71,        125,         29,         83,        137,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,         20,         10,         10,          5,          5,         15,        112,        180,        111,          0,          0,       1020,          0,       1234,         -1,    8913114,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       6000,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        123,         84,         87,          1,          0,          0,         36,          1,          0,          0, 
 2 : emma_honeywell_s,          3,          2,          1,          0,          0,          4,          1,          5,        337,         27,          4,         27,         22,         21,         93,         22,         60,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         20,         10,         10,          5,          2,         99,        167,          1,          0,          2,          2,          0,       1316,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4030,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         78,          0,          3,          1,          0,          0,         29,          2,          1,          1, 
 3 :    plocter,          5,          3,          1,          0,          0,          6,          1,          5,        414,         25,          4,         26,         16,         15,         72,         19,         63,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         26,        123,        191,        441,          0,          1,         -1,         -1,       1266,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3820,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        471,        108,        111,          1,          0,          0,         25,          4,          2,          2, 
 4 :      pagus,          6,          4,          1,          0,          0,          7,        181,          5,        307,         29,          4,         18,         26,         16,         75,         19,         54,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,         34,        131,        199,        785,          0,          3,         -1,         -1,       1174,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1850,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        804,        156,        159,          1,          0,          0,         35,          5,          3,          3, 
 5 :     torgal,          7,          5,          1,          0,          0,          8,          1,          5,        389,         23,          3,         26,         24,         16,         63,         23,         59,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         20,         20,         20,         20,         37,        134,        202,          3,          0,          4,          3,          0,       1291,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3570,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        861,        174,        177,          1,          0,          0,         34,          6,          4,          4, 
 6 : david_nassau_s,         15,          6,          1,          0,          0,          3,        114,          5,        362,         22,          3,         24,         21,         19,         58,         22,         45,          0,          2,         56,        110,         11,         65,        119,         17,         71,        125,         29,         83,        137,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,         20,         10,         10,          5,          5,         15,        112,        180,        111,          0,          0,       1020,          0,       1234,         -1,    8913114,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        123,         84,         87,          1,          0,          0,         36,          1,          0,          0, 
 7 : btl_pc_baulson,         30,          7,          0,          0,          0,        100,          0,          6,        355,         31,          5,         25,         16,         16,        165,         15,         52,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         27,        124,        192,        722,          0,          3,         -1,         -1,       1234,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1670,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        738,        114,        117,          1,          0,          0,         31,         22,          5,          5, 
 8 : btl_free_npc,        183,          8,          0,          0,          0,        200,        180,          4,        272,         20,          3,         17,         24,         18,        131,         22,         30,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        151,        165,        710,          0,          3,         -1,         -1,       1174,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1180,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        687,        210,        213,          1,          1,          1,         28,         38,         45,         51, 
