           km_,   km_namen, km_isEnemy, 
       sSlabel,    eSSHORT,     eUCHAR, 
 0 :     mitras,          1,          0, 
 1 :      yamas,          2,          0, 
 2 :     ksitis,          3,          0, 
 3 :    sovanis,          4,          0, 
 4 : mons_category_type_001,          5,          1, 
 5 : mons_category_type_002,          6,          1, 
 6 : mons_category_type_003,          7,          1, 
 7 : mons_category_type_004,          8,          1, 
 8 : mons_category_type_005,          9,          1, 
 9 : mons_category_type_006,         10,          1, 
10 : mons_category_type_007,         11,          1, 
11 : mons_category_type_008,         12,          1, 
12 : mons_category_type_009,         13,          1, 
13 : mons_category_type_010,         14,          1, 
14 : mons_category_type_011,         15,          1, 
15 : mons_category_type_012,         16,          1, 
16 : mons_category_type_013,         17,          1, 
17 : mons_breed_type_001,         18,          1, 
18 : mons_breed_type_002,         19,          1, 
19 : mons_breed_type_003,         20,          1, 
20 : mons_breed_type_004,         21,          1, 
21 : mons_breed_type_005,         22,          1, 
22 : mons_breed_type_006,         23,          1, 
23 : mons_breed_type_007,         24,          1, 
24 : mons_breed_type_008,         25,          1, 
25 : mons_breed_type_009,         26,          1, 
26 : mons_breed_type_010,         27,          1, 
27 : mons_breed_type_011,         28,          1, 
28 : mons_breed_type_012,         29,          1, 
29 : mons_breed_type_013,         30,          1, 
30 : mons_breed_type_014,         31,          1, 
31 : mons_breed_type_015,         32,          1, 
32 : mons_breed_type_016,         33,          1, 
33 : mons_breed_type_017,         34,          1, 
34 : mons_breed_type_018,         35,          1, 
35 : mons_breed_type_019,         36,          1, 
36 : mons_breed_type_020,         37,          1, 
37 : mons_breed_type_021,         38,          1, 
38 : mons_breed_type_022,         39,          1, 
39 : mons_breed_type_023,         40,          1, 
40 : mons_breed_type_024,         41,          1, 
41 : mons_breed_type_025,         42,          1, 
42 : mons_breed_type_026,         43,          1, 
43 : mons_breed_type_027,         44,          1, 
44 : mons_breed_type_028,         45,          1, 
45 : mons_breed_type_029,         46,          1, 
46 : mons_breed_type_030,         47,          1, 
47 : mons_breed_type_031,         48,          1, 
48 : mons_breed_type_032,         49,          1, 
49 : mons_breed_type_033,         50,          1, 

