           km_,   km_namen,    km_help, km_namen_suffix, km_StrNo_SkeletalMesh, km_material_id, km_StrNo_AnimSet_b, km_StrNo_AnimTree_b, km_StrNo_AnimSet_f, km_StrNo_AnimTree_f, km_trax_battle_basic, km_StrNo_sp_staus_pkgname00, km_StrNo_sp_dead_pkgname00, km_StrNo_seb_move, km_StrNo_seb_effect, km_ja_inter, km_StrNo_seb_actorvoice, km_StrNo_voice_cue_prefix, km_btl_voice_chara, km_menu_voice_id, km_blood_type, km_build_id, km_variation_id,    km_df_h,    km_df_m,    km_df_l,    km_lodh, km_chara_hit, km_model_collision_x, km_model_collision_y, km_model_collision_z, km_chara_camera_hit, km_figure_camera_size, km_camera_hit_on, km_z_offset, km_mot_guard_type, km_mot_dead_type, km_mot_sidemove_type, km_ragdoll, km_mot_movespeed_walk, km_mot_movespeed_run, km_mot_movespeed_rev, km_global_breed_category, km_global_breed, km_multi_lockup, km_move_style, km_mode_vibration, km_move_speed_battle_w, km_move_speed_battle_r, km_face_id, km_emblem_id, km_emblem_mat,     km_sex, km_friend_type, km_collision_weight, km_hp_gauge_announce, km_use_shadow, km_model_no_hide, km_nikusitsu, km_shield_count, km_pop_offset, km_on_leader, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT,    eString,     eUCHAR,    eString,    eString,    eString,    eString,     eUCHAR,    eString,    eString,    eString,    eString,     eUCHAR,    eString,    eString,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eUSHORT,    eUSHORT,    eUSHORT,    eUSHORT,     eUCHAR,    eUSHORT,    eUSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eSCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eUSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eUSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : rush_sykes_s,          5,          1,          8,      62598,          0,      62599,      62600,      62601,      62602,          0,      62603,      62604,      62605,      62606,          1,      62607,      62608,          0,          1,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          1,          0,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
 1 : irina_sykes_s,          6,          2,         46,      62609,          0,      62610,      62611,      62612,      62613,          0,      62614,      62615,      62616,      62617,          1,      62618,      62619,          1,         11,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          2,          1,          0,          0,          1,        500,          0,          0,          0,          0,          0,          0,          1, 
 2 : david_nassau_s,          7,          3,         11,      62620,          0,      62621,      62622,      62623,      62624,          0,      62625,      62626,      62627,      62628,          1,      62629,      62630,          2,          2,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          5,          2,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
 3 : emma_honeywell_s,          8,          4,          9,      62631,          0,      62632,      62633,      62634,      62635,          0,      62636,      62637,      62638,      62639,          1,      62640,      62641,          3,          4,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          3,          5,          0,          1,          1,        600,          0,          0,          0,          0,          0,          0,          1, 
 4 :       emmy,         10,          6,          9,      62642,          0,      62643,      62644,      62645,      62646,          0,      62647,      62648,      62649,      62650,          1,      62651,      62652,          4,          3,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          4,          5,          0,          1,          1,        600,          0,          0,          0,          0,          0,          0,          1, 
 5 :    plocter,         11,          7,          9,      62653,          0,      62654,      62655,      62656,      62657,          0,      62658,      62659,      62660,      62661,          1,      62662,      62663,          5,         30,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         10,          6,          0,          0,          1,       2400,          0,          0,          0,          0,          0,          0,          1, 
 6 :      pagus,         12,          8,          9,      62664,          0,      62665,      62666,      62667,      62668,          0,      62669,      62670,      62671,      62672,          1,      62673,      62674,          6,         25,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         11,          3,          0,          0,          1,        400,          0,          0,          0,          0,          0,          0,          1, 
 7 :     torgal,         13,          9,          9,      62675,          0,      62676,      62677,      62678,      62679,          0,      62680,      62681,      62682,      62683,          1,      62684,      62685,          7,         20,          1,          0,          0,          0,        400,        200,         20,          1,         45,        204,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          3,          1,          0,          0,          2,          6,         12,          4,          0,          0,          1,       1000,          0,          0,          0,          0,          0,          0,          1, 
 8 : duke_of_ghor,         14,         10,         55,      62686,          0,      62687,      62688,      62689,      62690,          0,      62691,      62692,      62693,      62694,          1,      62695,      62696,          8,         31,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,          9,         20,          0,          0,          1,       2400,          0,          0,          0,          0,          0,          0,          1, 
