           km_,   km_namen, km_class_ancestry, km_class_rank, km_class_type, km_class_lv, km_class_rankup,      km_hp,      km_ap,     km_spd, km_mgcskill_07, km_sp_ctrl_15, km_sp_ctrl_14, km_sp_ctrl_13, km_sp_ctrl_12, km_sp_ctrl_11, km_sp_ctrl_10, km_sp_ctrl_9, km_sp_ctrl_8, km_sp_ctrl_7, km_sp_ctrl_6, km_sp_ctrl_5, km_sp_ctrl_4, km_sp_ctrl_3, km_sp_ctrl_2, km_sp_ctrl_1, km_sp_ctrl_0,     km_str,     km_mgc, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcc_cnt, km_mgcc_threshold, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_class_bonus_1, km_class_bonus_2, km_class_bonus_3, km_class_bonus_4, km_logic_target_union, km_logic_target_unit, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : class_fighter_type_A_001,          1,          1,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         50,         -1,         36,       2943, 
 1 : class_fighter_type_A_002,          2,          1,          1,          1,          2,          1,        312,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         50,         -1,         36,       2943, 
 2 : class_fighter_type_A_003,          3,          1,          1,          1,          3,          1,        336,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         28,         50,         -1,         36,       2943, 
 3 : class_fighter_type_A_004,          4,          1,          1,          1,          4,          1,        360,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         28,         50,         -1,         36,       2943, 
 4 : class_fighter_type_A_005,          5,          1,          1,          1,          5,          1,        396,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,         29,         50,         -1,         36,       2943, 
 5 : class_fighter_type_A_006,          6,          1,          1,          1,          6,          1,        432,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         30,         50,         -1,         36,       2943, 
 6 : class_fighter_type_B_001,          7,          1,          2,          2,          1,          0,        372,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         29,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,         -1,         50,        691,         56,       2943, 
 7 : class_fighter_type_B_002,          8,          1,          2,          2,          2,          0,        384,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,          1,         50,        691,         56,       2943, 
 8 : class_fighter_type_B_003,          9,          1,          2,          2,          3,          1,        408,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         29,          1,         50,        691,         56,       2943, 
 9 : class_fighter_type_B_004,         10,          1,          2,          2,          4,          1,        444,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          2,         50,        691,         56,       2943, 
10 : class_fighter_type_B_005,         11,          1,          2,          2,          5,          1,        480,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          3,         50,        691,         56,       2948, 
11 : class_fighter_type_B_006,         12,          1,          2,          2,          6,          1,        540,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          4,         50,        691,         56,       2948, 
12 : class_fighter_type_C_001,         13,          1,          2,          3,          1,          0,        372,          0,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         29,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         38,         -1,         50,        689,         44,       2948, 
13 : class_fighter_type_C_002,         14,          1,          2,          3,          2,          0,        384,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         38,         33,         50,        689,         44,       2948, 
14 : class_fighter_type_C_003,         15,          1,          2,          3,          3,          1,        408,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,         33,         50,        689,         44,       2948, 
15 : class_fighter_type_C_004,         16,          1,          2,          3,          4,          1,        444,          0,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         34,         50,        689,         44,       2948, 
16 : class_fighter_type_C_005,         17,          1,          2,          3,          5,          1,        480,          0,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         38,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41,         35,         50,        689,         44,       2948, 
17 : class_fighter_type_C_006,         18,          1,          2,          3,          6,          1,        540,          0,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         42,         36,         50,        689,         44,       2948, 
18 : class_fighter_type_D_001,         19,          1,          2,          4,          1,          0,        372,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         29,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         50,        698,         56,       3166, 
19 : class_fighter_type_D_002,         20,          1,          2,          4,          2,          0,        384,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         19,         50,        698,         56,       3166, 
20 : class_fighter_type_D_003,         21,          1,          2,          4,          3,          1,        408,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         19,         50,        698,         56,       3166, 
21 : class_fighter_type_D_004,         22,          1,          2,          4,          4,          1,        444,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,         20,         50,        698,         56,       3166, 
22 : class_fighter_type_D_005,         23,          1,          2,          4,          5,          1,        480,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         38,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         21,         50,        698,         56,       3166, 
23 : class_fighter_type_D_006,         24,          1,          2,          4,          6,          1,        540,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         22,         50,        698,         56,       3166, 
24 : class_fighter_type_E_001,         25,          1,          3,          5,          1,          0,        456,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         86,         -1,         50,        697,         56,       2955, 
25 : class_fighter_type_E_002,         26,          1,          3,          5,          2,          0,        480,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         86,          1,         50,        697,         56,       2955, 
26 : class_fighter_type_E_003,         27,          1,          3,          5,          3,          1,        504,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         87,          1,         50,        697,         56,       2955, 
27 : class_fighter_type_E_004,         28,          1,          3,          5,          4,          1,        540,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         88,          2,         50,        697,         56,       2955, 
28 : class_fighter_type_E_005,         29,          1,          3,          5,          5,          1,        600,          0,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         89,          3,         50,        697,         56,       2955, 
29 : class_fighter_type_E_006,         30,          1,          3,          5,          6,          1,        672,          0,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         90,          4,         50,        697,         56,       2955, 
30 : class_fighter_type_F_001,         31,          1,          3,          6,          1,          0,        456,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         91,         -1,         50,        697,         56,       2955, 
31 : class_fighter_type_F_002,         32,          1,          3,          6,          2,          0,        480,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         91,         10,         50,        697,         56,       2955, 
32 : class_fighter_type_F_003,         33,          1,          3,          6,          3,          1,        504,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         92,         10,         50,        697,         56,       2955, 
33 : class_fighter_type_F_004,         34,          1,          3,          6,          4,          1,        540,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         93,         11,         50,        697,         56,       2955, 
34 : class_fighter_type_F_005,         35,          1,          3,          6,          5,          1,        600,          0,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         94,         12,         50,        697,         56,       2955, 
