           km_,   km_namen,    km_icon, km_StrNo_material,  km_hero01,  km_hero02,  km_hero03,  km_hero04,  km_hero05,  km_hero06,  km_hero07,  km_hero08,  km_hero09,  km_hero10,  km_hero11,  km_hero12,  km_hero13, 
       sSlabel,    eSSHORT,     eUCHAR,    eString,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : emblem_01_mat,          1,          1,      82893,          1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
 1 : emblem_01_mat,          1,          1,      82894,          1,          0,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
 2 : emblem_02_mat,          2,          2,      82895,          1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
 3 : emblem_11_mat,         11,         11,      82896,          1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          1,          1,          1, 
 4 : emblem_11_mat,         11,         11,      82897,          1,          0,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
 5 : emblem_12_mat,         12,         12,      82898,          1,          0,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
 6 : emblem_12_mat,         12,         12,      82899,          1,          0,          0,          1,          0,          0,          1,          0,          0,          1,          1,          1,          1, 
 7 : emblem_17_mat,         17,         17,      82900,          1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
 8 : emblem_18_mat,         18,         18,      82901,          1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          1,          1,          1, 
 9 : emblem_19_mat,         19,         19,      82902,          1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
10 : emblem_20_mat,         20,         20,      82903,          1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
11 : emblem_21_mat,         21,         21,      82904,          1,          0,          0,          1,          0,          0,          1,          0,          0,          1,          1,          1,          1, 
12 : emblem_21_mat,         21,         21,      82905,          1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          1,          1,          1, 
13 : emblem_22_mat,         22,         22,      82906,          1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          1,          1,          1, 
14 : emblem_22_mat,         22,         22,      82907,          1,          0,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
15 : emblem_23_mat,         23,         23,      82908,          1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
16 : emblem_24_mat,         24,         24,      82909,          1,          0,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
17 : emblem_25_mat,         25,         25,      82910,          1,          0,          0,          1,          0,          0,          1,          0,          0,          1,          1,          1,          1, 
18 : emblem_25_mat,         25,         25,      82911,          1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          1,          1,          1, 
19 : emblem_26_mat,         26,         26,      82912,          1,          0,          0,          1,          0,          0,          1,          0,          0,          1,          1,          1,          1, 
20 : emblem_04_mat,          4,          4,      82913,          1,          0,          0,          1,          0,          0,          1,          0,          0,          1,          1,          1,          1, 
21 : emblem_05_mat,          5,          5,      82914,          1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
22 : emblem_06_mat,          6,          6,      82915,          1,          0,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
23 : emblem_35_mat,         35,         35,      82916,          1,          0,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
24 : emblem_36_mat,         36,         36,      82917,          1,          0,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
25 : emblem_37_mat,         37,         37,      82918,          1,          0,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
