           km_,    km_type, km_butsu_ac,  km_mgc_ac,      km_hp,      km_ap,     km_str,     km_mys,     km_spd,     km_unq, km_butsu_at,  km_mgc_at, 
       sSlabel,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : emma_honeywell_s_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
 1 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
 2 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
 3 : emma_honeywell_s_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
 4 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 : btl_pc_jorgen_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
 7 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
 8 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
 9 : btl_pc_jorgen_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
10 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : btl_pc_violet_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
13 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
14 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
15 : btl_pc_violet_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
16 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : btl_pc_gabriel_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
19 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
20 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
21 : btl_pc_gabriel_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
22 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
23 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
24 :    emmy_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
25 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
26 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
27 :    emmy_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
28 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
29 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
30 : btl_pc_glenys_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
31 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
32 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
33 : btl_pc_glenys_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
34 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
35 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
36 : btl_pc_roberto_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
37 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
38 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
39 : btl_pc_roberto_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
40 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
41 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
42 :   jager_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
43 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
44 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
45 :   jager_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
46 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
47 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
48 : btl_pc_rhagoh_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
49 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
50 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
51 : btl_pc_rhagoh_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
52 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
53 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
54 : btl_pc_paris_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
55 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
56 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
57 : btl_pc_paris_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
58 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
59 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
60 : btl_pc_kate_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
61 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
62 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
63 : btl_pc_kate_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
64 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
65 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
66 : btl_pc_sheryl_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
67 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
68 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
69 : btl_pc_sheryl_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
70 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
71 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
72 : irina_sykes_s_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
73 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
74 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
75 : irina_sykes_s_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
76 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
77 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
78 :  haruko_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
79 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
80 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
81 :  haruko_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
82 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
83 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
84 : david_nassau_s_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
85 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
86 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
87 : david_nassau_s_02,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
88 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
89 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
90 : btl_pc_loki_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
91 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
92 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
93 : btl_pc_loki_02,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
94 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
95 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
96 : btl_pc_nora_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
97 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
98 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
99 : btl_pc_nora_02,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
100 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
101 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
102 : btl_pc_khrynia_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
103 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
104 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
105 : btl_pc_khrynia_02,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
