           km_,     km_lv1, km_lv1para,     km_lv2, km_lv2para,     km_lv3, km_lv3para,     km_lv4, km_lv4para,     km_lv5, km_lv5para,     km_lv6, km_lv6para,     km_lv7, km_lv7para,     km_lv8, km_lv8para,     km_lv9, km_lv9para,    km_lv10, km_lv10para,    km_lv11, km_lv11para,    km_lv12, km_lv12para,    km_lv13, km_lv13para,    km_lv14, km_lv14para,    km_lv15, km_lv15para,    km_lv16, km_lv16para,    km_lv17, km_lv17para,    km_lv18, km_lv18para,    km_lv19, km_lv19para,    km_lv20, km_lv20para,    km_lv21, km_lv21para,    km_lv22, km_lv22para,    km_lv23, km_lv23para,    km_lv24, km_lv24para,    km_lv25, km_lv25para,    km_lv26, km_lv26para,    km_lv27, km_lv27para,    km_lv28, km_lv28para,    km_lv29, km_lv29para,    km_lv30, km_lv30para,    km_lv31, km_lv31para,    km_lv32, km_lv32para,    km_lv33, km_lv33para,    km_lv34, km_lv34para,    km_lv35, km_lv35para,    km_lv36, km_lv36para,    km_lv37, km_lv37para,    km_lv38, km_lv38para,    km_lv39, km_lv39para,    km_lv40, km_lv40para,    km_lv41, km_lv41para,    km_lv42, km_lv42para,    km_lv43, km_lv43para,    km_lv44, km_lv44para,    km_lv45, km_lv45para,    km_lv46, km_lv46para,    km_lv47, km_lv47para,    km_lv48, km_lv48para,    km_lv49, km_lv49para,    km_lv50, km_lv50para,    km_lv51, km_lv51para,    km_lv52, km_lv52para,    km_lv53, km_lv53para,    km_lv54, km_lv54para,    km_lv55, km_lv55para,    km_lv56, km_lv56para,    km_lv57, km_lv57para,    km_lv58, km_lv58para,    km_lv59, km_lv59para,    km_lv60, km_lv60para,    km_lv61, km_lv61para,    km_lv62, km_lv62para,    km_lv63, km_lv63para,    km_lv64, km_lv64para,    km_lv65, km_lv65para,    km_lv66, km_lv66para,    km_lv67, km_lv67para,    km_lv68, km_lv68para,    km_lv69, km_lv69para,    km_lv70, km_lv70para,    km_lv71, km_lv71para,    km_lv72, km_lv72para,    km_lv73, km_lv73para,    km_lv74, km_lv74para,    km_lv75, km_lv75para,    km_lv76, km_lv76para,    km_lv77, km_lv77para,    km_lv78, km_lv78para,    km_lv79, km_lv79para,    km_lv80, km_lv80para,    km_lv81, km_lv81para,    km_lv82, km_lv82para,    km_lv83, km_lv83para,    km_lv84, km_lv84para,    km_lv85, km_lv85para,    km_lv86, km_lv86para,    km_lv87, km_lv87para,    km_lv88, km_lv88para,    km_lv89, km_lv89para,    km_lv90, km_lv90para,    km_lv91, km_lv91para,    km_lv92, km_lv92para,    km_lv93, km_lv93para,    km_lv94, km_lv94para,    km_lv95, km_lv95para,    km_lv96, km_lv96para,    km_lv97, km_lv97para,    km_lv98, km_lv98para,    km_lv99, km_lv99para,   km_lv100, km_lv100para, 
       sSlabel,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT,     eULONG,    eUSHORT, 
 0 : HP_001_pc_fighter,          0,          0,        152,         19,        304,         19,        456,         19,        608,         19,        760,         19,        912,         19,       1064,         19,       1216,         19,       1368,         19,       1520,         19,       1672,         19,       1824,         19,       1976,         19,       2128,         19,       2280,         19,       2432,         19,       2584,         19,       2736,         19,       2888,         19,       3040,         19,       3192,         19,       3344,         19,       3496,         19,       3648,         19,       3800,         19,       3952,         19,       4104,         19,       4256,         19,       4408,         19,       4560,         19,       4712,         19,       4864,         19,       5016,         19,       5168,         19,       5320,         19,       5472,         19,       5624,         19,       5776,         19,       5928,         19,       6080,         19,       6232,         19,       6384,         19,       6536,         19,       6688,         19,       6840,         19,       6992,         19,       7144,         19,       7296,         19,       7448,         19,       7600,         19,       7752,         19,       7904,         19,       8056,         19,       8208,         19,       8360,         19,       8512,         19,       8664,         19,       8816,         19,       8968,         19,       9120,         19,       9272,         19,       9424,         19,       9576,         19,       9728,         19,       9880,         19,      10032,         19,      10184,         19,      10336,         19,      10488,         19,      10640,         19,      10792,         19,      10944,         19,      11096,         19,      11248,         19,      11400,         19,      11552,         19,      11704,         19,      11856,         19,      12008,         19,      12160,         19,      12312,         19,      12464,         19,      12616,         19,      12768,         19,      12920,         19,      13072,         19,      13224,         19,      13376,         19,      13528,         19,      13680,         19,      13832,         19,      13984,         19,      14136,         19,      14288,         19,      14440,         19,      14592,         19,      14744,         19,      14896,         19,      15048,         19, 
 1 : HP_001_pc_mage,          0,          0,        168,         15,        336,         15,        504,         15,        672,         15,        840,         15,       1008,         15,       1176,         15,       1344,         15,       1512,         15,       1680,         15,       1848,         15,       2016,         15,       2184,         15,       2352,         15,       2520,         15,       2688,         15,       2856,         15,       3024,         15,       3192,         15,       3360,         15,       3528,         15,       3696,         15,       3864,         15,       4032,         15,       4200,         15,       4368,         15,       4536,         15,       4704,         15,       4872,         15,       5040,         15,       5208,         15,       5376,         15,       5544,         15,       5712,         15,       5880,         15,       6048,         15,       6216,         15,       6384,         15,       6552,         15,       6720,         15,       6888,         15,       7056,         15,       7224,         15,       7392,         15,       7560,         15,       7728,         15,       7896,         15,       8064,         15,       8232,         15,       8400,         15,       8568,         15,       8736,         15,       8904,         15,       9072,         15,       9240,         15,       9408,         15,       9576,         15,       9744,         15,       9912,         15,      10080,         15,      10248,         15,      10416,         15,      10584,         15,      10752,         15,      10920,         15,      11088,         15,      11256,         15,      11424,         15,      11592,         15,      11760,         15,      11928,         15,      12096,         15,      12264,         15,      12432,         15,      12600,         15,      12768,         15,      12936,         15,      13104,         15,      13272,         15,      13440,         15,      13608,         15,      13776,         15,      13944,         15,      14112,         15,      14280,         15,      14448,         15,      14616,         15,      14784,         15,      14952,         15,      15120,         15,      15288,         15,      15456,         15,      15624,         15,      15792,         15,      15960,         15,      16128,         15,      16296,         15,      16464,         15,      16632,         15, 
 2 : HP_001_pc_normal,          0,          0,        160,         17,        320,         17,        480,         17,        640,         17,        800,         17,        960,         17,       1120,         17,       1280,         17,       1440,         17,       1600,         17,       1760,         17,       1920,         17,       2080,         17,       2240,         17,       2400,         17,       2560,         17,       2720,         17,       2880,         17,       3040,         17,       3200,         17,       3360,         17,       3520,         17,       3680,         17,       3840,         17,       4000,         17,       4160,         17,       4320,         17,       4480,         17,       4640,         17,       4800,         17,       4960,         17,       5120,         17,       5280,         17,       5440,         17,       5600,         17,       5760,         17,       5920,         17,       6080,         17,       6240,         17,       6400,         17,       6560,         17,       6720,         17,       6880,         17,       7040,         17,       7200,         17,       7360,         17,       7520,         17,       7680,         17,       7840,         17,       8000,         17,       8160,         17,       8320,         17,       8480,         17,       8640,         17,       8800,         17,       8960,         17,       9120,         17,       9280,         17,       9440,         17,       9600,         17,       9760,         17,       9920,         17,      10080,         17,      10240,         17,      10400,         17,      10560,         17,      10720,         17,      10880,         17,      11040,         17,      11200,         17,      11360,         17,      11520,         17,      11680,         17,      11840,         17,      12000,         17,      12160,         17,      12320,         17,      12480,         17,      12640,         17,      12800,         17,      12960,         17,      13120,         17,      13280,         17,      13440,         17,      13600,         17,      13760,         17,      13920,         17,      14080,         17,      14240,         17,      14400,         17,      14560,         17,      14720,         17,      14880,         17,      15040,         17,      15200,         17,      15360,         17,      15520,         17,      15680,         17,      15840,         17, 
 3 : HP_001_mons_fighter,          0,          0,        160,         60,        320,         60,        480,         60,        640,         60,        800,         60,        960,         60,       1120,         60,       1280,         60,       1440,         60,       1600,         60,       1760,         60,       1920,         60,       2080,         60,       2240,         60,       2400,         60,       2560,         60,       2720,         60,       2880,         60,       3040,         50,       3200,         50,       3360,         50,       3520,         50,       3680,         50,       3840,         50,       4000,         50,       4160,         50,       4320,         50,       4480,         50,       4640,         50,       4800,         50,       4960,         50,       5120,         50,       5280,         50,       5440,         40,       5600,         40,       5760,         40,       5920,         40,       6080,         40,       6240,         40,       6400,         40,       6560,         40,       6720,         40,       6880,         40,       7040,         40,       7200,         40,       7360,         40,       7520,         40,       7680,         40,       7840,         30,       8000,         30,       8160,         30,       8320,         30,       8480,         30,       8640,         30,       8800,         30,       8960,         30,       9120,         30,       9280,         30,       9440,         30,       9600,         30,       9760,         30,       9920,         30,      10080,         30,      10240,         30,      10400,         20,      10560,         20,      10720,         20,      10880,         20,      11040,         20,      11200,         20,      11360,         20,      11520,         20,      11680,         20,      11840,         20,      12000,         20,      12160,         20,      12320,         20,      12480,         20,      12640,         10,      12800,         10,      12960,         10,      13120,         10,      13280,         10,      13440,         10,      13600,         10,      13760,         10,      13920,         10,      14080,         10,      14240,         10,      14400,         10,      14560,         10,      14720,         10,      14880,         10,      15040,         10,      15200,          6,      15360,          6,      15520,          6,      15680,          6,      15840,          6, 
 4 : HP_001_mons_mage,          0,          0,        160,         50,        320,         50,        480,         50,        640,         50,        800,         50,        960,         50,       1120,         50,       1280,         50,       1440,         50,       1600,         50,       1760,         50,       1920,         50,       2080,         50,       2240,         50,       2400,         50,       2560,         50,       2720,         50,       2880,         50,       3040,         50,       3200,         50,       3360,         50,       3520,         50,       3680,         50,       3840,         50,       4000,         50,       4160,         50,       4320,         50,       4480,         50,       4640,         50,       4800,         50,       4960,         50,       5120,         50,       5280,         50,       5440,         40,       5600,         40,       5760,         40,       5920,         40,       6080,         40,       6240,         40,       6400,         40,       6560,         40,       6720,         40,       6880,         40,       7040,         40,       7200,         40,       7360,         40,       7520,         40,       7680,         40,       7840,         30,       8000,         30,       8160,         30,       8320,         30,       8480,         30,       8640,         30,       8800,         30,       8960,         30,       9120,         30,       9280,         30,       9440,         30,       9600,         30,       9760,         30,       9920,         30,      10080,         30,      10240,         30,      10400,         20,      10560,         20,      10720,         20,      10880,         20,      11040,         20,      11200,         20,      11360,         20,      11520,         20,      11680,         20,      11840,         20,      12000,         20,      12160,         20,      12320,         20,      12480,         20,      12640,         10,      12800,         10,      12960,         10,      13120,         10,      13280,         10,      13440,         10,      13600,         10,      13760,         10,      13920,         10,      14080,         10,      14240,         10,      14400,         10,      14560,         10,      14720,         10,      14880,         10,      15040,         10,      15200,          6,      15360,          6,      15520,          6,      15680,          6,      15840,          6, 
 5 : HP_001_mons_normal,          0,          0,        160,         55,        320,         55,        480,         55,        640,         55,        800,         55,        960,         55,       1120,         55,       1280,         55,       1440,         55,       1600,         55,       1760,         55,       1920,         55,       2080,         55,       2240,         55,       2400,         55,       2560,         55,       2720,         55,       2880,         55,       3040,         50,       3200,         50,       3360,         50,       3520,         50,       3680,         50,       3840,         50,       4000,         50,       4160,         50,       4320,         50,       4480,         50,       4640,         50,       4800,         50,       4960,         50,       5120,         50,       5280,         50,       5440,         40,       5600,         40,       5760,         40,       5920,         40,       6080,         40,       6240,         40,       6400,         40,       6560,         40,       6720,         40,       6880,         40,       7040,         40,       7200,         40,       7360,         40,       7520,         40,       7680,         40,       7840,         30,       8000,         30,       8160,         30,       8320,         30,       8480,         30,       8640,         30,       8800,         30,       8960,         30,       9120,         30,       9280,         30,       9440,         30,       9600,         30,       9760,         30,       9920,         30,      10080,         30,      10240,         30,      10400,         20,      10560,         20,      10720,         20,      10880,         20,      11040,         20,      11200,         20,      11360,         20,      11520,         20,      11680,         20,      11840,         20,      12000,         20,      12160,         20,      12320,         20,      12480,         20,      12640,         10,      12800,         10,      12960,         10,      13120,         10,      13280,         10,      13440,         10,      13600,         10,      13760,         10,      13920,         10,      14080,         10,      14240,         10,      14400,         10,      14560,         10,      14720,         10,      14880,         10,      15040,         10,      15200,          6,      15360,          6,      15520,          6,      15680,          6,      15840,          6, 
 6 : HP_001_mons_boss_fighter,          0,          0,        160,         60,        320,         60,        480,         60,        640,         60,        800,         60,        960,         60,       1120,         60,       1280,         60,       1440,         50,       1600,         50,       1760,         50,       1920,         50,       2080,         50,       2240,         50,       2400,         50,       2560,         50,       2720,         50,       2880,         50,       3040,         50,       3200,         50,       3360,         50,       3520,         50,       3680,         50,       3840,         50,       4000,         50,       4160,         50,       4320,         50,       4480,         50,       4640,         40,       4800,         40,       4960,         40,       5120,         40,       5280,         40,       5440,         40,       5600,         40,       5760,         40,       5920,         40,       6080,         40,       6240,         40,       6400,         40,       6560,         40,       6720,         40,       6880,         40,       7040,         40,       7200,         40,       7360,         40,       7520,         40,       7680,         40,       7840,         30,       8000,         30,       8160,         30,       8320,         30,       8480,         30,       8640,         30,       8800,         30,       8960,         30,       9120,         30,       9280,         30,       9440,         30,       9600,         30,       9760,         30,       9920,         30,      10080,         30,      10240,         30,      10400,         30,      10560,         30,      10720,         30,      10880,         30,      11040,         30,      11200,         30,      11360,         30,      11520,         30,      11680,         30,      11840,         20,      12000,         20,      12160,         20,      12320,         20,      12480,         20,      12640,         20,      12800,         20,      12960,         20,      13120,         20,      13280,         20,      13440,         20,      13600,         20,      13760,         20,      13920,         20,      14080,         20,      14240,         20,      14400,         20,      14560,         20,      14720,         20,      14880,         20,      15040,         10,      15200,         10,      15360,         10,      15520,         10,      15680,         10,      15840,         10, 
 7 : HP_001_mons_boss_mage,          0,          0,        160,         50,        320,         50,        480,         50,        640,         50,        800,         50,        960,         50,       1120,         50,       1280,         50,       1440,         50,       1600,         50,       1760,         50,       1920,         50,       2080,         50,       2240,         50,       2400,         50,       2560,         50,       2720,         50,       2880,         50,       3040,         50,       3200,         50,       3360,         50,       3520,         50,       3680,         50,       3840,         50,       4000,         50,       4160,         50,       4320,         50,       4480,         50,       4640,         40,       4800,         40,       4960,         40,       5120,         40,       5280,         40,       5440,         40,       5600,         40,       5760,         40,       5920,         40,       6080,         40,       6240,         40,       6400,         40,       6560,         40,       6720,         40,       6880,         40,       7040,         40,       7200,         40,       7360,         40,       7520,         40,       7680,         40,       7840,         30,       8000,         30,       8160,         30,       8320,         30,       8480,         30,       8640,         30,       8800,         30,       8960,         30,       9120,         30,       9280,         30,       9440,         30,       9600,         30,       9760,         30,       9920,         30,      10080,         30,      10240,         30,      10400,         30,      10560,         30,      10720,         30,      10880,         30,      11040,         30,      11200,         30,      11360,         30,      11520,         30,      11680,         30,      11840,         20,      12000,         20,      12160,         20,      12320,         20,      12480,         20,      12640,         20,      12800,         20,      12960,         20,      13120,         20,      13280,         20,      13440,         20,      13600,         20,      13760,         20,      13920,         20,      14080,         20,      14240,         20,      14400,         20,      14560,         20,      14720,         20,      14880,         20,      15040,         10,      15200,         10,      15360,         10,      15520,         10,      15680,         10,      15840,         10, 
 8 : HP_001_mons_boss_normal,          0,          0,        160,         55,        320,         55,        480,         55,        640,         55,        800,         55,        960,         55,       1120,         55,       1280,         55,       1440,         50,       1600,         50,       1760,         50,       1920,         50,       2080,         50,       2240,         50,       2400,         50,       2560,         50,       2720,         50,       2880,         50,       3040,         50,       3200,         50,       3360,         50,       3520,         50,       3680,         50,       3840,         50,       4000,         50,       4160,         50,       4320,         50,       4480,         50,       4640,         40,       4800,         40,       4960,         40,       5120,         40,       5280,         40,       5440,         40,       5600,         40,       5760,         40,       5920,         40,       6080,         40,       6240,         40,       6400,         40,       6560,         40,       6720,         40,       6880,         40,       7040,         40,       7200,         40,       7360,         40,       7520,         40,       7680,         40,       7840,         30,       8000,         30,       8160,         30,       8320,         30,       8480,         30,       8640,         30,       8800,         30,       8960,         30,       9120,         30,       9280,         30,       9440,         30,       9600,         30,       9760,         30,       9920,         30,      10080,         30,      10240,         30,      10400,         30,      10560,         30,      10720,         30,      10880,         30,      11040,         30,      11200,         30,      11360,         30,      11520,         30,      11680,         30,      11840,         20,      12000,         20,      12160,         20,      12320,         20,      12480,         20,      12640,         20,      12800,         20,      12960,         20,      13120,         20,      13280,         20,      13440,         20,      13600,         20,      13760,         20,      13920,         20,      14080,         20,      14240,         20,      14400,         20,      14560,         20,      14720,         20,      14880,         20,      15040,         10,      15200,         10,      15360,         10,      15520,         10,      15680,         10,      15840,         10, 
