           km_, km_sozai_release, km_sozai_odds, km_soubi_release, km_soubi_odds, km_kunren_release, km_kunren_odds, km_soudan_release, km_soudan_odds, 
       sSlabel,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : david_nassau_s,          4,         55,          2,         90,          8,         35,          1,        100, 
 1 : emma_honeywell_s,          4,         55,          2,         90,          8,         35,          1,        100, 
 2 :    plocter,          4,         55,          2,         90,          8,         35,          1,        100, 
 3 :      pagus,          4,         55,          2,         90,          8,         35,          1,        100, 
 4 :     torgal,          4,         55,          2,         90,          8,         35,          1,        100, 
 5 : btl_pc_baulson,          4,         55,          2,         90,          8,         35,          1,        100, 
 6 : btl_pc_loki,          4,         55,          2,         90,          8,         35,          1,        100, 
 7 : btl_pc_jorgen,          4,         55,          2,         90,          8,         35,          1,        100, 
 8 : btl_pc_violet,          4,         55,          2,         90,          8,         35,          1,        100, 
 9 : btl_pc_gabriel,          4,         55,          2,         90,          8,         35,          1,        100, 
10 : btl_pc_caedmon,          4,         55,          2,         90,          8,         35,          1,        100, 
11 : btl_pc_nora,          4,         55,          2,         90,          8,         35,          1,        100, 
12 : btl_pc_maddox,          4,         55,          2,         90,          8,         35,          1,        100, 
13 : btl_pc_leshau,          4,         55,          2,         90,          8,         35,          1,        100, 
14 : btl_pc_rhagoh,          4,         55,          2,         90,          8,         35,          1,        100, 
15 :       emmy,          4,         55,          2,         90,          8,         35,          1,        100, 
16 : btl_pc_darien,          4,         55,          2,         90,          8,         35,          1,        100, 
17 : btl_pc_glenys,          4,         55,          2,         90,          8,         35,          1,        100, 
18 : btl_pc_roberto,          4,         55,          2,         90,          8,         35,          1,        100, 
19 : btl_pc_gaou,          4,         55,          2,         90,          8,         35,          1,        100, 
20 : btl_pc_paris,          4,         55,          2,         90,          8,         35,          1,        100, 
21 : btl_pc_allan,          4,         55,          2,         90,          8,         35,          1,        100, 
22 : btl_pc_kate,          4,         55,          2,         90,          8,         35,          1,        100, 
23 : btl_pc_sheryl,          4,         55,          2,         90,          8,         35,          1,        100, 
24 :      jager,          4,         55,          2,         90,          8,         35,          1,        100, 
25 : btl_pc_zolean,          4,         55,          2,         90,          8,         35,          1,        100, 
26 : irina_sykes_s,          4,         55,          2,         90,          8,         35,          1,        100, 
27 : btl_pc_sibal,          4,         55,          2,         90,          8,         35,          1,        100, 
28 : btl_pc_yuniver,          4,         55,          2,         90,          8,         35,          1,        100, 
29 :     haruko,          4,         55,          2,         90,          8,         35,          1,        100, 
30 : duke_of_ghor,          4,         55,          2,         90,          8,         35,          1,        100, 
31 : btl_pc_khrynia,          4,         55,          2,         90,          8,         35,          1,        100, 
32 : btl_pc_wyngale,          4,         55,          2,         90,          8,         35,          1,        100, 
33 : btl_pc_leucetius,          4,         55,          2,         90,          8,         35,          1,        100, 
34 : btl_7th_01,          4,         55,          2,         90,          8,         35,          1,        100, 
35 : btl_7th_02,          4,         55,          2,         90,          8,         35,          1,        100, 
36 : btl_7th_03,          4,         55,          2,         90,          8,         35,          1,        100, 
37 : btl_7th_04,          4,         55,          2,         90,          8,         35,          1,        100, 
38 : btl_7th_05,          4,         55,          2,         90,          8,         35,          1,        100, 
39 : btl_7th_06,          4,         55,          2,         90,          8,         35,          1,        100, 
40 : btl_7th_07,          4,         55,          2,         90,          8,         35,          1,        100, 
41 : multi_male_astomia,          0,          0,          2,         90,          0,          0,          0,          0, 
42 : multi_male_normal,          0,          0,          2,         90,          0,          0,          0,          0, 
43 : multi_male_normal,          0,          0,          2,         90,          0,          0,          0,          0, 
44 : multi_male_normal,          0,          0,          2,         90,          0,          0,          0,          0, 
45 : multi_male_normal,          0,          0,          2,         90,          0,          0,          0,          0, 
46 : multi_female_astomia,          0,          0,          2,         90,          0,          0,          0,          0, 
47 : multi_female_normal,          0,          0,          2,         90,          0,          0,          0,          0, 
48 : multi_female_normal,          0,          0,          2,         90,          0,          0,          0,          0, 
49 : multi_female_normal,          0,          0,          2,         90,          0,          0,          0,          0, 
50 : multi_female_normal,          0,          0,          2,         90,          0,          0,          0,          0, 

