           km_,   km_ms_lv, km_needxp_eqsukill_oh_oh, km_needxp_eqsukill_oh_th, km_needxp_eqsukill_oh_ww, km_needxp_eqsukill_th_th, km_needxp_eqsukill_s_fw, km_needxp_eqsukill_s_oh, km_needxp_eqsukill_s_th, km_needxp_artsskill_sword, km_needxp_artsskill_katana, km_needxp_artsskill_axe, km_needxp_artsskill_mace, km_needxp_artsskill_spear, km_needxp_artsskill_staff, km_needxp_mgcskill_01, km_needxp_mgcskill_02, km_needxp_mgcskill_03, km_needxp_mgcskill_04, km_needxp_mgcskill_05, km_needxp_mgcskill_06, km_needxp_mgcskill_07, km_needxp_itemskill_01, km_needxp_itemskill_02, km_needxp_itemskill_03, km_needxp_itemskill_04, km_needxp_itemskill_05, km_needxp_itemskill_06, 
       sSlabel,     eUCHAR,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG, 
 0 :       lv01,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 :       lv02,          2,         30,         30,         30,         30,         30,         30,         30,        140,        140,        140,        140,        140,        140,         45,         45,         45,         20,         20,         20,         20,         20,         20,          8,         20,         20,         20, 
 2 :       lv03,          3,         67,         67,         67,         67,         67,         67,         67,        280,        280,        280,        280,        280,        280,        157,        157,        157,         70,         70,         70,         70,         70,         70,         16,         70,         70,         70, 
 3 :       lv04,          4,        120,        120,        120,        120,        120,        120,        120,        420,        420,        420,        420,        420,        420,        236,        236,        236,        105,        105,        105,        105,        105,        105,        105,        105,        105,        105, 
 4 :       lv05,          5,        187,        187,        187,        187,        187,        187,        187,        560,        560,        560,        560,        560,        560,        337,        337,        337,        150,        150,        150,        150,        150,        150,        150,        150,        150,        150, 
 5 :       lv06,          6,        270,        270,        270,        270,        270,        270,        270,        700,        700,        700,        700,        700,        700,        585,        585,        585,        260,        260,        260,        260,        260,        260,        260,        260,        260,        260, 
 6 :       lv07,          7,        367,        367,        367,        367,        367,        367,        367,        840,        840,        840,        840,        840,        840,        731,        731,        731,        325,        325,        325,        325,        325,        325,        325,        325,        325,        325, 
 7 :       lv08,          8,        480,        480,        480,        480,        480,        480,        480,        980,        980,        980,        980,        980,        980,        900,        900,        900,        400,        400,        400,        400,        400,        400,        400,        400,        400,        400, 
 8 :       lv09,          9,        607,        607,        607,        607,        607,        607,        607,       1120,       1120,       1120,       1120,       1120,       1120,       1282,       1282,       1282,        570,        570,        570,        570,        570,        570,        570,        570,        570,        570, 
 9 :       lv10,         10,        750,        750,        750,        750,        750,        750,        750,       1260,       1260,       1260,       1260,       1260,       1260,       1496,       1496,       1496,        665,        665,        665,        665,        665,        665,        665,        665,        665,        665, 
10 :       lv11,         11,        907,        907,        907,        907,        907,        907,        907,       1400,       1400,       1400,       1400,       1400,       1400,       1732,       1732,       1732,        770,        770,        770,        770,        770,        770,        770,        770,        770,        770, 
