           km_, km_material_count, km_equip_count, km_training_count, km_advise_count, km_advise_01, km_advise_02, km_advise_03, km_advise_04, 
       sSlabel,     eUCHAR,     eUCHAR,     eSCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : BtlFriRush,          0,          0,         -1,          0,          0,          0,          0,          0, 
 1 : irina_sykes_s,          0,          0,         -1,          0,          0,          0,          1,          0, 
 2 : david_nassau_s,          3,          0,         -1,          0,          1,          1,          1,          1, 
 3 : emma_honeywell_s,          3,          1,         -1,          0,          0,          0,          0,          0, 
 4 :       emmy,          0,          0,         -1,          0,          1,          1,          1,          1, 
 5 :    plocter,          0,          0,         -1,          0,          1,          1,          1,          1, 
 6 :      pagus,          0,          0,         -1,          0,          0,          0,          0,          0, 
 7 :     torgal,          0,          0,         -1,          0,          1,          1,          1,          1, 
 8 : duke_of_ghor,          0,          0,         -1,          0,          0,          0,          0,          0, 
 9 :     haruko,          0,          0,         -1,          0,          0,          0,          0,          0, 
10 :      jager,          0,          0,         -1,          0,          1,          1,          1,          1, 
11 : btl_pc_gabriel,          0,          0,         -1,          0,          0,          0,          0,          0, 
12 : btl_pc_jorgen,          3,          0,         -1,          0,          0,          0,          1,          0, 
13 : btl_pc_roberto,          0,          0,         -1,          0,          0,          0,          0,          0, 
14 : btl_pc_loki,          0,          0,         -1,          0,          0,          0,          0,          0, 
15 : btl_pc_paris,          0,          0,         -1,          0,          0,          0,          0,          0, 
16 : btl_pc_rhagoh,          0,          0,         -1,          0,          0,          0,          0,          0, 
17 : btl_pc_glenys,          0,          0,         -1,          0,          1,          1,          1,          1, 
18 : btl_pc_violet,          0,          0,         -1,          0,          0,          0,          0,          0, 
19 : btl_pc_nora,          0,          0,         -1,          0,          0,          0,          0,          0, 
20 : btl_pc_khrynia,          0,          0,         -1,          0,          0,          0,          0,          0, 
21 : btl_pc_kate,          0,          0,         -1,          0,          0,          0,          0,          0, 
22 : btl_pc_sheryl,          0,          0,         -1,          0,          0,          0,          0,          0, 
23 : btl_pc_baulson,          0,          0,         -1,          0,          0,          0,          1,          0, 
24 : btl_pc_gaou,          0,          0,         -1,          0,          1,          1,          1,          1, 
25 : btl_pc_zolean,          0,          0,         -1,          0,          1,          1,          1,          1, 
26 : btl_pc_yuniver,          2,          0,         -1,          0,          1,          0,          1,          0, 
27 : btl_pc_darien,          0,          0,         -1,          0,          1,          1,          1,          1, 
28 : btl_pc_sibal,          0,          0,         -1,          0,          1,          0,          1,          0, 
29 : btl_pc_leshau,          0,          0,         -1,          0,          0,          0,          0,          0, 
30 : btl_pc_maddox,          0,          0,         -1,          0,          1,          1,          1,          1, 
31 : btl_pc_allan,          0,          0,         -1,          0,          1,          1,          1,          1, 
32 : btl_pc_caedmon,          0,          0,         -1,          0,          1,          1,          1,          1, 
33 : btl_pc_leucetius,          0,          0,         -1,          0,          0,          0,          0,          0, 
34 : btl_pc_wyngale,          0,          0,         -1,          0,          0,          0,          1,          0, 
35 : btl_7th_01,          0,          0,         -1,          0,          0,          0,          0,          0, 
36 : btl_7th_02,          0,          0,         -1,          0,          0,          0,          0,          0, 
37 : btl_7th_03,          0,          0,         -1,          0,          0,          0,          0,          0, 
38 : btl_7th_04,          0,          0,         -1,          0,          0,          0,          0,          0, 
39 : btl_7th_05,          0,          0,         -1,          0,          0,          0,          0,          0, 
40 : btl_7th_06,          0,          0,         -1,          0,          0,          0,          0,          0, 
41 : btl_7th_07,          0,          0,         -1,          0,          0,          0,          0,          0, 
42 : multi_male_astomia,          0,          0,         -1,          0,          0,          0,          0,          0, 
43 : multi_male_normal,          0,          0,         -1,          0,          0,          0,          0,          0, 
44 : multi_male_normal,          0,          0,         -1,          0,          0,          0,          0,          0, 
45 : multi_male_normal,          0,          0,         -1,          0,          0,          0,          0,          0, 
46 : multi_male_normal,          0,          0,         -1,          0,          0,          0,          0,          0, 
47 : multi_female_astomia,          0,          0,         -1,          0,          0,          0,          0,          0, 
48 : multi_female_normal,          0,          0,          0,          1,          0,          0,          0,          0, 
49 : multi_female_normal,          0,          0,         -1,          0,          0,          0,          0,          0, 
50 : multi_female_normal,          0,          0,         -1,          0,          0,          0,          0,          0, 
51 : multi_female_normal,          0,          0,         -1,          0,          0,          0,          0,          0, 

