           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       8404,       8405,       8406,       8407,          0,          0, 
 1 : type_attack_01,       8408,       8409,       8410,       8411,          0,          0, 
 2 : type_item_01,       8412,       8413,       8414,       8415,          0,          0, 
 3 : type_item_02,       8416,       8417,       8418,       8419,          0,          0, 
 4 : type_item_03,       8420,       8421,       8422,       8423,          0,          0, 
 5 : type_item_04,       8424,       8425,       8426,       8427,          0,          0, 
 6 : type_item_05,       8428,       8429,       8430,       8431,          0,          0, 
 7 : type_item_06,       8432,       8433,       8434,       8435,          0,          0, 
 8 : type_magic_01,       8436,       8437,       8438,       8439,          0,          0, 
 9 : type_magic_02,       8440,       8441,       8442,       8443,          0,          0, 
10 : type_magic_03,       8444,       8445,       8446,       8447,          0,          0, 
11 : type_magic_04,       8448,       8449,       8450,       8451,          0,          0, 
12 : type_magic_05,       8452,       8453,       8454,       8455,          0,          0, 
13 : type_magic_06,       8456,       8457,       8458,       8459,          0,          0, 
14 : type_magic_07,       8460,       8461,       8462,       8463,          0,          0, 
15 : type_arts_01,       8464,       8465,       8466,       8467,          0,          0, 
16 : type_arts_02,       8468,       8469,       8470,       8471,          0,          0, 
17 : type_arts_03,       8472,       8473,       8474,       8475,          0,          0, 
18 : type_arts_04,       8476,       8477,       8478,       8479,          0,          0, 
19 : type_arts_05,       8480,       8481,       8482,       8483,          0,          0, 
20 : type_arts_06,       8484,       8485,       8486,       8487,          0,          0, 
21 : type_arts_07,       8488,       8489,       8490,       8491,          0,          0, 
22 : type_arts_08,       8492,       8493,       8494,       8495,          0,          0, 
23 : type_arts_09,       8496,       8497,       8498,       8499,          0,          0, 
24 : type_monsact_01,       8500,       8501,       8502,       8503,          0,          0, 
25 : type_monsact_02,       8504,       8505,       8506,       8507,          0,          0, 
26 : type_ex_01,       8508,       8509,       8510,       8511,          0,          0, 
27 : type_ex_02,       8512,       8513,       8514,       8515,          0,          0, 

