           km_, km_unit_id, km_character, km_talk_type, km_advise_type, km_target_eq_work, km_aim_eq_slot, km_aim_eq_cast, km_start_msg, km_embed_text, km_default_pos, km_sel_msg_1, km_reaction_msg_1, km_sel_msg_2, km_reaction_msg_2, km_sel_msg_3, km_reaction_msg_3, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eSLONG,    eSSHORT,     eSCHAR,    eSSHORT,     eSLONG,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 :    TALK_01,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 1 :    TALK_02,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 2 :    TALK_03,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 3 :    TALK_04,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 4 :    TALK_05,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 5 :    TALK_06,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 6 :    TALK_07,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 7 :    TALK_08,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 8 :    TALK_09,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
 9 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
10 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
11 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
12 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
13 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
14 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
15 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
16 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
17 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
18 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
19 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
20 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
21 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
22 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
23 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
24 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
25 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
26 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
27 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
28 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 
29 :       TALK,         -1,         -1,          0,          0,         -1,         -1,         -1,         -1,         -1,          0,         -1,         -1,         -1,         -1,         -1,         -1, 

