           km_, km_btl_rank_dif, km_param_hpap_exp_scenario, km_param_others_exp_scenario, km_skill_category_exp_scenario, km_skill_exp_scenario, km_skill_dir_exp_scenario, km_param_hpap_exp_guild, km_param_others_exp_guild, km_skill_category_exp_guild, km_skill_exp_guild, km_skill_dir_exp_guild, 
       sSlabel,     eUCHAR,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG, 
 0 : rank_dif_000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 : rank_dif_001,          1,         15,         15,          1,          0,          0,         15,         15,          1,          0,          0, 
 2 : rank_dif_002,          2,         30,         30,          2,          1,          1,         30,         30,          2,          1,          1, 
 3 : rank_dif_003,          3,         45,         45,          3,          2,          2,         45,         45,          3,          2,          2, 
 4 : rank_dif_004,          4,         60,         60,          5,          3,          3,         60,         60,          5,          3,          3, 
 5 : rank_dif_005,          5,         75,         75,          6,          3,          3,         75,         75,          6,          3,          3, 
 6 : rank_dif_006,          6,         90,         90,          7,          4,          4,         90,         90,          7,          4,          4, 
 7 : rank_dif_007,          7,        105,        105,          8,          5,          5,        105,        105,          8,          5,          5, 
 8 : rank_dif_008,          8,        120,        120,         10,          6,          6,        120,        120,         10,          6,          6, 
 9 : rank_dif_009,          9,        135,        135,         11,          6,          6,        135,        135,         11,          6,          6, 
10 : rank_dif_010,         10,        150,        150,         12,          7,          7,        150,        150,         12,          7,          7, 
11 : rank_dif_011,         11,        165,        165,         13,          8,          8,        165,        165,         13,          8,          8, 
12 : rank_dif_012,         12,        180,        180,         15,          9,          9,        180,        180,         15,          9,          9, 
13 : rank_dif_013,         13,        195,        195,         16,          9,          9,        195,        195,         16,          9,          9, 
14 : rank_dif_014,         14,        210,        210,         17,         10,         10,        210,        210,         17,         10,         10, 
15 : rank_dif_015,         15,        225,        225,         18,         11,         11,        225,        225,         18,         11,         11, 
16 : rank_dif_016,         16,        240,        240,         20,         12,         12,        240,        240,         20,         12,         12, 
17 : rank_dif_017,         17,        255,        255,         21,         12,         12,        255,        255,         21,         12,         12, 
18 : rank_dif_018,         18,        270,        270,         22,         13,         13,        270,        270,         22,         13,         13, 
19 : rank_dif_019,         19,        285,        285,         23,         14,         14,        285,        285,         23,         14,         14, 
20 : rank_dif_020,         20,        300,        300,         25,         15,         15,        300,        300,         25,         15,         15, 
21 : rank_dif_021,         21,        315,        315,         26,         15,         15,        315,        315,         26,         15,         15, 
22 : rank_dif_022,         22,        330,        330,         27,         16,         16,        330,        330,         27,         16,         16, 
23 : rank_dif_023,         23,        345,        345,         28,         17,         17,        345,        345,         28,         17,         17, 
24 : rank_dif_024,         24,        360,        360,         30,         18,         18,        360,        360,         30,         18,         18, 
25 : rank_dif_025,         25,        375,        375,         31,         18,         18,        375,        375,         31,         18,         18, 
26 : rank_dif_026,         26,        390,        390,         32,         19,         19,        390,        390,         32,         19,         19, 
27 : rank_dif_027,         27,        405,        405,         33,         20,         20,        405,        405,         33,         20,         20, 
28 : rank_dif_028,         28,        420,        420,         35,         21,         21,        420,        420,         35,         21,         21, 
29 : rank_dif_029,         29,        435,        435,         36,         21,         21,        435,        435,         36,         21,         21, 
30 : rank_dif_030,         30,        450,        450,         37,         22,         22,        450,        450,         37,         22,         22, 
31 : rank_dif_031,         31,        465,        465,         38,         23,         23,        465,        465,         38,         23,         23, 
32 : rank_dif_032,         32,        480,        480,         40,         24,         24,        480,        480,         40,         24,         24, 
33 : rank_dif_033,         33,        495,        495,         41,         24,         24,        495,        495,         41,         24,         24, 
34 : rank_dif_034,         34,        510,        510,         42,         25,         25,        510,        510,         42,         25,         25, 
35 : rank_dif_035,         35,        525,        525,         43,         26,         26,        525,        525,         43,         26,         26, 
36 : rank_dif_036,         36,        540,        540,         45,         27,         27,        540,        540,         45,         27,         27, 
