           km_, km_StrNo_pkg_name, 
       sSlabel,    eString, 
 0 : material_unit_emblem,      83015, 
 1 : model_monster_weapon,      83016, 
 2 : Encount01inout,      83017, 
 3 : TRAX_Resident_01_00,      83018, 
 4 : TRAX_Resident_01_01,      83019, 
 5 : TRAX_Resident_01_02,      83020, 
 6 : TRAX_Resident_01_03,      83021, 
 7 : TRAX_Resident_01_04,      83022, 
 8 : TRAX_Resident_01_06,      83023, 
 9 : TRAX_Resident_02,      83024, 
10 : TRAX_Resident_03_00,      83025, 
11 : TRAX_Resident_03_01,      83026, 
12 : TRAX_Resident_03_02,      83027, 
13 : TRAX_Resident_03_03,      83028, 
14 : TRAX_Resident_03_04,      83029, 
15 : TRAX_Resident_03_05,      83030, 
16 : TRAX_Resident_03_06,      83031, 
17 : TRAX_Resident_04_00,      83032, 
18 : TRAX_Resident_04_01,      83033, 
19 : TRAX_Resident_04_02,      83034, 
20 : TRAX_Resident_04_03,      83035, 
21 : TRAX_Resident_04_04,      83036, 
22 : TRAX_Resident_04_05,      83037, 
23 : TRAX_Resident_04_06,      83038, 
24 : TRAX_Resident_05_01,      83039, 
25 : TRAX_Resident_05_02,      83040, 
26 : TRAX_Resident_05_03,      83041, 
27 : TRAX_Resident_05_04,      83042, 
28 : TRAX_Resident_05_05,      83043, 
29 : TRAX_Resident_05_06,      83044, 
30 : SE_Resident_00,      83045, 

