           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       8516,       8517,       8518,       8519,          0,          0, 
 1 :  btl_alive,       8520,       8521,       8522,       8523,          0,          0, 
 2 :   btl_move,       8524,       8525,       8526,       8527,          0,          0, 
 3 : btl_protect,       8528,       8529,       8530,       8531,          0,          0, 
 4 : btl_waiting,       8532,       8533,       8534,       8535,          0,          0, 
 5 : btl_mc_none,       8536,       8537,       8538,       8539,          0,          0, 
 6 : btl_unknown,       8540,       8541,       8542,       8543,          0,          0, 
 7 :   btl_none,       8544,       8545,       8546,       8547,          0,          0, 
 8 : btl_ap_absence,       8548,       8549,       8550,       8551,          0,          0, 
 9 : btl_component_absence,       8552,       8553,       8554,       8555,          0,          0, 
10 : btl_escape,       8556,       8557,       8558,       8559,          0,          0, 
11 : btl_unit_st_01,       8560,       8561,       8562,       8563,          0,          0, 
12 : btl_unit_st_02,       8564,       8565,       8566,       8567,          0,          0, 
13 : btl_unit_st_03,       8568,       8569,       8570,       8571,          0,          0, 
14 : btl_unit_st_04,       8572,       8573,       8574,       8575,          0,          0, 
15 : btl_union_st_01,       8576,       8577,       8578,       8579,          0,          0, 
16 : btl_union_st_02,       8580,       8581,       8582,       8583,          0,          0, 
17 : btl_union_st_03,       8584,       8585,       8586,       8587,          0,          0, 
18 : btl_union_st_04,       8588,       8589,       8590,       8591,          0,          0, 
19 : btl_union_st_05,       8592,       8593,       8594,       8595,          0,          0, 
20 : btl_union_st_06,       8596,       8597,       8598,       8599,          0,          0, 
21 : btl_union_st_07,       8600,       8601,       8602,       8603,          0,          0, 
22 : btl_union_st_08,       8604,       8605,       8606,       8607,          0,          0, 
23 : btl_union_st_09,       8608,       8609,       8610,       8611,          0,          0, 
24 : btl_union_st,       8612,       8613,       8614,       8615,          0,          0, 
25 : btl_union_st,       8616,       8617,       8618,       8619,          0,          0, 
26 : btl_union_st,       8620,       8621,       8622,       8623,          0,          0, 
27 : btl_union_st_reset,       8624,       8625,       8626,       8627,          0,          0, 
28 : btl_union_st_reset,       8628,       8629,       8630,       8631,          0,          0, 
29 : ex_gae_bolg,       8632,       8633,       8634,       8635,          0,          0, 
30 : Rush_Act_EX01,       8636,       8637,       8638,       8639,          0,          0, 
31 :    tatakau,       8640,       8641,       8642,       8643,          0,          0, 
32 : arts_skill_oh_oh_nagiharai_base_lv1,       8644,       8645,       8646,       8647,          0,          0, 
33 : arts_skill_oh_oh_nagiharai_base_lv2,       8648,       8649,       8650,       8651,          0,          0, 
34 : arts_skill_oh_oh_nagiharai_base_lv3,       8652,       8653,       8654,       8655,          0,          0, 
35 : arts_skill_oh_oh_nagiharai_base_lv4,       8656,       8657,       8658,       8659,          0,          0, 
36 : arts_skill_oh_oh_nagiharai_base_lv5,       8660,       8661,       8662,       8663,          0,          0, 
37 : arts_skill_oh_oh_nagiharai_speed1_lv1,       8664,       8665,       8666,       8667,          0,          0, 
38 : arts_skill_oh_oh_nagiharai_speed1_lv2,       8668,       8669,       8670,       8671,          0,          0, 
39 : arts_skill_oh_oh_nagiharai_speed1_lv3,       8672,       8673,       8674,       8675,          0,          0, 
40 : arts_skill_oh_oh_nagiharai_speed1_lv4,       8676,       8677,       8678,       8679,          0,          0, 
41 : arts_skill_oh_oh_nagiharai_speed1_lv5,       8680,       8681,       8682,       8683,          0,          0, 
42 : arts_skill_oh_oh_nagiharai_speed2_lv1,       8684,       8685,       8686,       8687,          0,          0, 
43 : arts_skill_oh_oh_nagiharai_speed2_lv2,       8688,       8689,       8690,       8691,          0,          0, 
44 : arts_skill_oh_oh_nagiharai_speed2_lv3,       8692,       8693,       8694,       8695,          0,          0, 
45 : arts_skill_oh_oh_nagiharai_speed2_lv4,       8696,       8697,       8698,       8699,          0,          0, 
46 : arts_skill_oh_oh_nagiharai_speed2_lv5,       8700,       8701,       8702,       8703,          0,          0, 
47 : arts_skill_oh_oh_nagiharai_power1_lv1,       8704,       8705,       8706,       8707,          0,          0, 
48 : arts_skill_oh_oh_nagiharai_power1_lv2,       8708,       8709,       8710,       8711,          0,          0, 
