           km_,  km_btlcmd, km_btlcmd_src, km_list_ctrl,  km_unitid, km_actionid, km_message_id, km_wait_time, km_prePoisonDamage, km_prePoisonMsg, km_trax_id, km_hase_time, km_padding, 
       sSlabel,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG, 
 0 :       None,         -1,         -1,          0,          0,   85458955,      29025,       1451,        726,          0,      65537,        931,          0, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         20, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,  322968836, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,  419437333, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,    5253200, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,   16842752, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,      65793, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,   16843009, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,    9044265, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          2, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,    9044341, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,    9044237, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,         -1, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,       8704, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,       2600, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,        256, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0, 
          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,          0, 

