           km_, km_CasterUnitId, km_TargetUnitId, km_CasterUnionId, km_TargetUnionId, km_ActionId,   km_CueId, km_ResponseCueId,   km_Timer, 
       sSlabel,     eSCHAR,     eSCHAR,     eSCHAR,     eSCHAR,    eSSHORT,    eSSHORT,    eSSHORT,     eSLONG, 
 0 : RESPONSE_00,          0,          0,          0,          0,          0,          0,          0,         -1, 
 1 : RESPONSE_01,          0,          0,          0,          0,          0,          0,          0,         -1, 
 2 : RESPONSE_02,          0,          0,          0,          0,          0,          0,          0,         -1, 
 3 : RESPONSE_03,          0,          0,          0,          0,          0,          0,          0,         -1, 
 4 : RESPONSE_04,          0,          0,          0,          0,          0,          0,          0,         -1, 
 5 : RESPONSE_05,          0,          0,          0,          0,          0,          0,          0,         -1, 
 6 : RESPONSE_06,          0,          0,          0,          0,          0,          0,          0,         -1, 
 7 : RESPONSE_07,          0,          0,          0,          0,          0,          0,          0,         -1, 
 8 : RESPONSE_08,          0,          0,          0,          0,          0,          0,          0,         -1, 
 9 : RESPONSE_09,          0,          0,          0,          0,          0,          0,          0,         -1, 
10 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
11 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
12 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
13 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
14 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
15 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
16 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
17 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
18 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
19 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
20 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
21 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
22 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
23 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
24 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
25 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
26 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
27 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
28 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
29 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
30 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
31 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
32 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
33 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
34 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
35 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
36 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
37 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
38 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
39 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
40 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
41 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
42 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
43 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
44 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
45 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
46 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
47 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
48 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
49 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
50 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
51 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
52 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
53 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
54 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
55 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
56 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
57 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
58 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
59 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
60 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
61 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
62 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
63 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
64 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
65 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
66 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
67 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
68 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
69 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
70 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
71 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
72 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
73 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
74 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
75 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
76 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
77 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
78 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
79 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
80 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
81 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
82 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
83 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
84 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
85 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
86 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
87 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
88 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
89 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
90 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
91 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
92 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
93 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
94 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
95 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
96 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
97 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
98 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
99 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
100 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
101 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
102 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
103 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
104 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
105 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
106 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
107 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
108 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
109 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
110 :   Response,          0,          0,          0,          0,          0,          0,          0,         -1, 
