           km_,    km_unit,  km_add_hp,  km_add_ap, km_add_str, km_add_mgc, km_add_spd, 
       sSlabel,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : duke_of_ghor,        297,          0,          0,          5,          0,          0, 
 1 :     haruko,        296,          0,          0,          0,          5,          0, 
 2 :      jager,        228,          0,          0,          0,          0,          5, 
 3 : btl_pc_gabriel,         71,          0,          0,          0,          0,          5, 
 4 : btl_pc_roberto,        165,          0,          0,          0,          5,          0, 
 5 : btl_pc_loki,         35,          0,          0,          0,          0,          5, 
 6 : btl_pc_paris,        224,         20,          0,          0,          0,          0, 
 7 : btl_pc_rhagoh,        132,          0,          0,          0,          5,          0, 
 8 : btl_pc_glenys,        164,          0,         20,          0,          0,          0, 
 9 : btl_pc_violet,         70,          0,          0,          0,          3,          0, 
10 : btl_pc_nora,        101,         20,          0,          0,          0,          0, 
11 : btl_pc_khrynia,        298,          0,         15,          3,          3,          0, 
12 : btl_pc_kate,        226,          0,          0,          8,          0,          0, 
13 : btl_pc_sheryl,        227,          0,          0,          0,          8,          0, 
14 : btl_pc_baulson,          7,         15,          0,          0,          0,          0, 
15 : btl_pc_gaou,        197,          0,          0,          8,          0,          0, 
16 : btl_pc_zolean,        260,          0,          0,          0,          0,          8, 
17 : btl_pc_yuniver,        295,          0,          0,          0,          5,          0, 
18 : btl_pc_darien,        163,         20,          0,          0,          0,          0, 
19 : btl_pc_sibal,        294,          0,         20,          0,          0,          0, 
20 : btl_pc_leshau,        131,         20,         15,          8,          8,          8, 
21 : btl_pc_maddox,        130,          0,          0,          3,          5,          0, 
22 : btl_pc_allan,        225,          0,         15,          0,          0,          0, 
23 : btl_pc_caedmon,         72,          0,          0,         10,         10,         10, 
24 : btl_pc_leucetius,        335,         20,          0,          3,          3,          0, 
25 : btl_pc_wyngale,        299,          0,         15,          0,          0,          3, 
26 : btl_pc_jorgen_class1,         63,          0,          0,          5,          0,          0, 
27 : btl_pc_jorgen_class2,         64,          0,          0,          0,          5,          0, 
28 : btl_pc_jorgen_class3,         65,          0,          0,          0,          0,          5, 
29 : btl_pc_jorgen_class4,         66,          0,         15,          0,          0,          0, 
30 : btl_pc_jorgen_class5,         67,         20,          0,          3,          0,          0, 
31 : btl_pc_jorgen_class6,         68,          0,         15,          0,          3,          0, 
32 : btl_pc_jorgen_class7,         69,         25,          0,          0,          0,          0, 

