           km_, km_moral_unit, km_moral_union, km_moral_team, 
       sSlabel,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : damage_0x0000,          5,          0,          0, 
 1 : damage_0x0100,         -5,          0,          0, 
 2 : arts_0x0200,         10,          0,          0, 
 3 : arts_0x0201,         10,          0,          0, 
 4 : arts_0x0202,         10,          0,          0, 
 5 : arts_0x0203,          0,      -1000,        100, 
 6 : arts_0x0204,          0,          0,        200, 
 7 : arts_0x0205,          0,          0,         25, 
 8 : arts_0x0206,          0,      -1000,        100, 
 9 : arts_0x0300,        -10,          0,          0, 
10 : arts_0x0301,        -10,          0,          0, 
11 : arts_0x0302,        -10,          0,          0, 
12 : arts_0x0303,       -100,          0,          0, 
13 : arts_0x0304,          0,          0,       -300, 
14 : arts_0x0305,          0,          0,        -25, 
15 : arts_0x0306,       -100,          0,          0, 
16 : chit_0x0400,         20,          0,          0, 
17 : chit_0x0500,        -50,          0,          0, 
18 : ct1_0x0800,          5,          0,          0, 
19 : ct1_0x0801,         10,          0,          0, 
20 : ct1_0x0802,         15,          0,          0, 
21 : ct1_0x0803,         20,          0,          0, 
22 : ct1_0x0900,          0,          0,          0, 
23 : ct1_0x0901,         -5,          0,          0, 
24 : ct1_0x0902,        -10,          0,          0, 
25 : ct1_0x0903,        -15,          0,          0, 
26 : ct2_0x0a00,         20,          0,          0, 
27 : ct2_0x0b00,          0,          0,          0, 
28 : unit_kill_0x0c00,          0,         30,         30, 
29 : unit_kill_0x0d00,          0,        -30,        -30, 
30 : union_kill_0x0e00,          0,         50,         50, 
31 : union_kill_0x0f00,          0,       -100,        -50, 
32 : enc1_0x1000,          0,          0,          0, 
33 : enc1_0x1100,          0,          0,       -300, 
34 : enc2_0x1200,          0,          0,        200, 
35 : enc2_0x1300,          0,          0,       -200, 
36 : lockup_0x1400,          0,         40,          0, 
37 : lockup_0x1401,          0,         80,         50, 
38 : lockup_0x1402,          0,        120,         70, 
39 : lockup_0x1403,          0,        150,         90, 
40 : lockup_0x1404,          0,         80,         50, 
41 : lockup_0x1405,          0,        130,        120, 
42 : lockup_0x1500,          0,        -40,          0, 
43 : lockup_0x1501,          0,        -80,        -50, 
44 : lockup_0x1502,          0,       -120,        -70, 
45 : lockup_0x1503,          0,       -150,        -90, 
46 : lockup_0x1504,          0,        -80,        -50, 
47 : lockup_0x1505,          0,       -130,       -120, 
48 : nakama_0x1600,          0,          0,         40, 
49 : nakama_0x1700,          0,          0,        -80, 

