           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,        928,          0,          0, 
 1 : cant_target_01,        929,          0,          0, 
 2 : cant_target_02,        930,          0,          0, 
 3 : bad_status_01,        931,          0,          0, 
 4 : bad_status_02,        932,          0,          0, 
 5 : approach_01,        933,          0,          0, 
 6 : waiting_01,        934,          0,          0, 
 7 : waiting_02,        935,          0,          0, 
 8 : waiting_03,        936,          0,          0, 
 9 : waiting_04,        937,          0,          0, 
10 : waiting_05,        938,          0,          0, 
11 : defence_01,        939,          0,          0, 
12 : defence_02,        940,          0,          0, 
13 :    heal_01,        941,          0,          0, 
14 :    heal_02,        942,          0,          0, 
15 :    heal_03,        943,          0,          0, 
16 :    heal_04,        944,          0,          0, 
17 :    heal_05,        945,          0,          0, 
18 :    heal_06,        946,          0,          0, 
19 :    heal_07,        947,          0,          0, 
20 :    heal_08,        948,          0,          0, 
21 :    heal_09,        949,          0,          0, 
22 :       heal,        950,          0,          0, 
23 : atk_normal_01,        951,          0,          0, 
24 : atk_normal_02,        952,          0,          0, 
25 : atk_normal_03,        953,          0,          0, 
26 : atk_normal_04,        954,          0,          0, 
27 : atk_normal_05,        955,          0,          0, 
28 : atk_normal_06,        956,          0,          0, 
29 : atk_normal_07,        957,          0,          0, 
30 : atk_normal_08,        958,          0,          0, 
31 : atk_normal_09,        959,          0,          0, 
32 : atk_normal,        960,          0,          0, 
33 : atk_full_01,        961,          0,          0, 
34 : atk_full_02,        962,          0,          0, 
35 : atk_full_03,        963,          0,          0, 
36 : atk_type_01,        964,          0,          0, 
37 : atk_type_02,        965,          0,          0, 
38 : atk_type_03,        966,          0,          0, 
39 : atk_type_04,        967,          0,          0, 
40 : atk_type_05,        968,          0,          0, 
41 : atk_type_06,        969,          0,          0, 
42 : atk_type_07,        970,          0,          0, 
43 : atk_type_08,        971,          0,          0, 
44 : atk_type_09,        972,          0,          0, 
45 :   atk_type,        973,          0,          0, 
46 :   atk_type,        974,          0,          0, 
47 :   atk_type,        975,          0,          0, 
48 :   atk_type,        976,          0,          0, 
49 : atk_long_01,        977,          0,          0, 
50 : atk_long_02,        978,          0,          0, 
51 : atk_target_01,        979,          0,          0, 
52 : atk_target_02,        980,          0,          0, 
53 : atk_target_03,        981,          0,          0, 
54 : atk_target_04,        982,          0,          0, 
55 : atk_position_01,        983,          0,          0, 
56 : atk_position_02,        984,          0,          0, 
57 : atk_situation_01,        985,          0,          0, 
58 : atk_situation_02,        986,          0,          0, 
59 : atk_situation_03,        987,          0,          0, 
60 : atk_fuzzy_01,        988,          0,          0, 
61 :  ex_act_01,        989,          0,          0, 
62 :  ex_act_02,        990,          0,          0, 
63 :  ex_act_03,        991,          0,          0, 
64 :  ex_act_04,        992,          0,          0, 
65 :  ex_act_05,        993,          0,          0, 
66 :  ex_act_06,        994,          0,          0, 
67 : sp_act_1_01,        995,          0,          0, 
68 : sp_act_1_02,        996,          0,          0, 
69 : sp_act_1_03,        997,          0,          0, 
70 : sp_act_1_04,        998,          0,          0, 
71 : sp_act_1_05,        999,          0,          0, 
72 : sp_act_1_06,       1000,          0,          0, 
73 : sp_act_1_07,       1001,          0,          0, 
74 : sp_act_2_01,       1002,          0,          0, 
75 : sp_act_2_02,       1003,          0,          0, 
76 : sp_act_2_03,       1004,          0,          0, 
77 : sp_act_2_04,       1005,          0,          0, 
78 : sp_act_2_05,       1006,          0,          0, 
79 : sp_act_3_01,       1007,          0,          0, 
80 : sp_act_3_02,       1008,          0,          0, 
81 : sp_act_3_03,       1009,          0,          0, 
82 : sp_act_3_04,       1010,          0,          0, 
83 : sp_act_3_05,       1011,          0,          0, 
84 : sp_act_3_06,       1012,          0,          0, 
85 : sp_act_3_07,       1013,          0,          0, 
86 :  summon_01,       1014,          0,          0, 
87 :  summon_02,       1015,          0,          0, 
88 :  summon_03,       1016,          0,          0, 
89 :      ev_01,       1017,          0,          0, 
90 :      ev_02,       1018,          0,          0, 
91 :   ev_03_01,       1019,          0,          0, 
92 :   ev_03_02,       1020,          0,          0, 
93 :   ev_03_03,       1021,          0,          0, 
94 :   ev_03_04,       1022,          0,          0, 
95 :   ev_03_05,       1023,          0,          0, 
96 :   ev_04_01,       1024,          0,          0, 
97 :   ev_04_02,       1025,          0,          0, 
98 : auto_melee,       1026,          0,          0, 
99 : auto_melee_side,       1027,          0,          0, 
100 : auto_melee_back,       1028,          0,          0, 
101 :  auto_long,       1029,          0,          0, 
102 : auto_long_subtarget,       1030,          0,          0, 
103 :  auto_wait,       1031,          0,          0, 
104 : auto_wait_l,       1032,          0,          0, 
105 :       None,       1033,          0,          0, 
106 :       heal,       1034,          0,          0, 
107 : btl_winsp_01,       1035,          0,          0, 
108 : btl_winsp_02,       1036,          0,          0, 
109 : btl_winsp_03,       1037,          0,          0, 
110 : btl_winsp_04,       1038,          0,          0, 
111 : btl_winsp_05,       1039,          0,          0, 
112 : btl_winsp_06,       1040,          0,          0, 
113 : btl_winsp_07,       1041,          0,          0, 
114 : btl_winsp_08,       1042,          0,          0, 

