           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      17936,      17937,      17938,      17939,          0,          0, 
 1 : cant_target_01,      17940,      17941,      17942,      17943,          0,          0, 
 2 : cant_target_02,      17944,      17945,      17946,      17947,          0,          0, 
 3 : bad_status_01,      17948,      17949,      17950,      17951,          0,          0, 
 4 : bad_status_02,      17952,      17953,      17954,      17955,          0,          0, 
 5 : approach_01,      17956,      17957,      17958,      17959,          0,          0, 
 6 : waiting_01,      17960,      17961,      17962,      17963,          0,          0, 
 7 : waiting_02,      17964,      17965,      17966,      17967,          0,          0, 
 8 : waiting_03,      17968,      17969,      17970,      17971,          0,          0, 
 9 : waiting_04,      17972,      17973,      17974,      17975,          0,          0, 
10 : waiting_05,      17976,      17977,      17978,      17979,          0,          0, 
11 : defence_01,      17980,      17981,      17982,      17983,          0,          0, 
12 : defence_02,      17984,      17985,      17986,      17987,          0,          0, 
13 :    heal_01,      17988,      17989,      17990,      17991,          0,          0, 
14 :    heal_02,      17992,      17993,      17994,      17995,          0,          0, 
15 :    heal_03,      17996,      17997,      17998,      17999,          0,          0, 
16 :    heal_04,      18000,      18001,      18002,      18003,          0,          0, 
17 :    heal_05,      18004,      18005,      18006,      18007,          0,          0, 
18 :    heal_06,      18008,      18009,      18010,      18011,          0,          0, 
19 :    heal_07,      18012,      18013,      18014,      18015,          0,          0, 
20 :    heal_08,      18016,      18017,      18018,      18019,          0,          0, 
21 :    heal_09,      18020,      18021,      18022,      18023,          0,          0, 
22 :       heal,      18024,      18025,      18026,      18027,          0,          0, 
23 : atk_normal_01,      18028,      18029,      18030,      18031,          0,          0, 
24 : atk_normal_02,      18032,      18033,      18034,      18035,          0,          0, 
25 : atk_normal_03,      18036,      18037,      18038,      18039,          0,          0, 
26 : atk_normal_04,      18040,      18041,      18042,      18043,          0,          0, 
27 : atk_normal_05,      18044,      18045,      18046,      18047,          0,          0, 
28 : atk_normal_06,      18048,      18049,      18050,      18051,          0,          0, 
29 : atk_normal_07,      18052,      18053,      18054,      18055,          0,          0, 
30 : atk_normal_08,      18056,      18057,      18058,      18059,          0,          0, 
31 : atk_normal_09,      18060,      18061,      18062,      18063,          0,          0, 
32 : atk_normal,      18064,      18065,      18066,      18067,          0,          0, 
33 : atk_full_01,      18068,      18069,      18070,      18071,          0,          0, 
34 : atk_full_02,      18072,      18073,      18074,      18075,          0,          0, 
35 : atk_full_03,      18076,      18077,      18078,      18079,          0,          0, 
36 : atk_type_01,      18080,      18081,      18082,      18083,          0,          0, 
37 : atk_type_02,      18084,      18085,      18086,      18087,          0,          0, 
38 : atk_type_03,      18088,      18089,      18090,      18091,          0,          0, 
39 : atk_type_04,      18092,      18093,      18094,      18095,          0,          0, 
40 : atk_type_05,      18096,      18097,      18098,      18099,          0,          0, 
