           km_, km_difference,  km_offset, 
       sSlabel,     eSCHAR,     eSCHAR, 
 0 :    dif_000,          0,        100, 
 1 : dif_plus001,          1,        100, 
 2 : dif_plus002,          2,        100, 
 3 : dif_plus003,          3,        105, 
 4 : dif_plus004,          4,        105, 
 5 : dif_plus005,          5,        105, 
 6 : dif_plus006,          6,        105, 
 7 : dif_plus007,          7,        105, 
 8 : dif_plus008,          8,        105, 
 9 : dif_plus009,          9,        106, 
10 : dif_plus010,         10,        107, 
11 : dif_plus011,         11,        108, 
12 : dif_plus012,         12,        109, 
13 : dif_plus013,         13,        110, 
14 : dif_plus014,         14,        111, 
15 : dif_plus015,         15,        112, 
16 : dif_plus016,         16,        113, 
17 : dif_plus017,         17,        114, 
18 : dif_plus018,         18,        115, 
19 : dif_plus019,         19,        116, 
20 : dif_plus020,         20,        117, 
21 : dif_plus021,         21,        118, 
22 : dif_plus022,         22,        119, 
23 : dif_plus023,         23,        120, 
24 : dif_plus024,         24,        121, 
25 : dif_plus025,         25,        122, 
26 : dif_plus026,         26,        123, 
27 : dif_plus027,         27,        124, 
28 : dif_plus028,         28,        125, 
29 : dif_plus029,         29,        126, 
30 : dif_plus030,         30,        127, 
31 : dif_plus031,         31,        127, 
32 : dif_plus032,         32,        127, 
33 : dif_plus033,         33,        127, 
34 : dif_plus034,         34,        127, 
35 : dif_plus035,         35,        127, 
36 : dif_plus036,         36,        127, 
37 : dif_plus037,         37,        127, 
38 : dif_plus038,         38,        127, 
39 : dif_plus039,         39,        127, 
40 : dif_plus040,         40,        127, 
41 : dif_plus041,         41,        127, 
42 : dif_plus042,         42,        127, 
43 : dif_plus043,         43,        127, 
44 : dif_plus044,         44,        127, 
45 : dif_plus045,         45,        127, 
46 : dif_plus046,         46,        127, 
47 : dif_plus047,         47,        127, 
48 : dif_plus048,         48,        127, 
49 : dif_plus049,         49,        127, 
50 : dif_plus050,         50,        127, 
51 : dif_plus051,         51,        127, 
52 : dif_plus052,         52,        127, 
53 : dif_plus053,         53,        127, 
54 : dif_plus054,         54,        127, 
55 : dif_plus055,         55,        127, 
56 : dif_plus056,         56,        127, 
57 : dif_plus057,         57,        127, 
58 : dif_plus058,         58,        127, 
59 : dif_plus059,         59,        127, 
60 : dif_plus060,         60,        127, 
61 : dif_plus061,         61,        127, 
62 : dif_plus062,         62,        127, 
63 : dif_plus063,         63,        127, 
64 : dif_plus064,         64,        127, 
65 : dif_plus065,         65,        127, 
66 : dif_plus066,         66,        127, 
67 : dif_plus067,         67,        127, 
68 : dif_plus068,         68,        127, 
69 : dif_plus069,         69,        127, 
70 : dif_plus070,         70,        127, 
71 : dif_plus071,         71,        127, 
72 : dif_plus072,         72,        127, 
73 : dif_plus073,         73,        127, 
74 : dif_plus074,         74,        127, 
75 : dif_plus075,         75,        127, 
76 : dif_plus076,         76,        127, 
77 : dif_plus077,         77,        127, 
78 : dif_plus078,         78,        127, 
79 : dif_plus079,         79,        127, 
80 : dif_plus080,         80,        127, 
81 : dif_plus081,         81,        127, 
82 : dif_plus082,         82,        127, 
83 : dif_plus083,         83,        127, 
84 : dif_plus084,         84,        127, 
85 : dif_plus085,         85,        127, 
86 : dif_plus086,         86,        127, 
87 : dif_plus087,         87,        127, 
88 : dif_plus088,         88,        127, 
89 : dif_plus089,         89,        127, 
90 : dif_plus090,         90,        127, 
91 : dif_plus091,         91,        127, 
92 : dif_plus092,         92,        127, 
93 : dif_plus093,         93,        127, 
94 : dif_plus094,         94,        127, 
95 : dif_plus095,         95,        127, 
96 : dif_plus096,         96,        127, 
97 : dif_plus097,         97,        127, 
98 : dif_plus098,         98,        127, 
99 : dif_plus099,         99,        127, 
100 : dif_plus100,        100,        127, 
101 : dif_plus101,        101,        127, 
102 : dif_plus102,        102,        127, 
103 : dif_plus103,        103,        127, 
104 : dif_plus104,        104,        127, 
105 : dif_plus105,        105,        127, 
106 : dif_plus106,        106,        127, 
107 : dif_plus107,        107,        127, 
108 : dif_plus108,        108,        127, 
109 : dif_plus109,        109,        127, 
110 : dif_plus110,        110,        127, 
111 : dif_plus111,        111,        127, 
112 : dif_plus112,        112,        127, 
113 : dif_plus113,        113,        127, 
114 : dif_plus114,        114,        127, 
115 : dif_plus115,        115,        127, 
116 : dif_plus116,        116,        127, 
117 : dif_plus117,        117,        127, 
118 : dif_plus118,        118,        127, 
119 : dif_plus119,        119,        127, 
120 : dif_plus120,        120,        127, 
121 : dif_plus121,        121,        127, 
122 : dif_plus122,        122,        127, 
123 : dif_plus123,        123,        127, 
124 : dif_plus124,        124,        127, 
125 : dif_plus125,        125,        127, 
126 : dif_plus126,        126,        127, 
127 : dif_plus127,        127,        127, 

