           km_, km_difference,  km_offset, 
       sSlabel,    eUSHORT,     eULONG, 
 0 : dif_margin_000,          0,        100, 
 1 : dif_margin_000_099,        100,         70, 
 2 : dif_margin_100,        200,         70, 
 3 : dif_margin_200,        300,         60, 
 4 : dif_margin_300,        400,         50, 
 5 : dif_margin_400,        500,         50, 
 6 : dif_margin_500,        600,         40, 
 7 : dif_margin_600,        700,         40, 
 8 : dif_margin_700,        800,         30, 
 9 : dif_margin_800,        900,         20, 
10 : dif_margin_900,       1000,         10, 

