           km_, km_difference,  km_offset, 
       sSlabel,     eUCHAR,     eULONG, 
 0 : dif_margin_00,          0,        100, 
 1 : dif_margin_01,          1,        100, 
 2 : dif_margin_02,          2,        100, 
 3 : dif_margin_03,          3,        105, 
 4 : dif_margin_04,          4,        110, 
 5 : dif_margin_05,          5,        115, 
 6 : dif_margin_06,          6,        120, 
 7 : dif_margin_07,          7,        125, 
 8 : dif_margin_08,          8,        130, 
 9 : dif_margin_09,          9,        130, 
10 : dif_margin,         10,        130, 

