           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      18396,      18397,      18398,      18399,          0,          0, 
 1 : freefight_type_A_001,      18400,      18401,      18402,      18403,          0,          0, 
 2 : freefight_type_A_002,      18404,      18405,      18406,      18407,          0,          0, 
 3 : freefight_type_A_003,      18408,      18409,      18410,      18411,          0,          0, 
 4 : freefight_type_B_001,      18412,      18413,      18414,      18415,          0,          0, 
 5 : freefight_type_B_002,      18416,      18417,      18418,      18419,          0,          0, 
 6 : freefight_type_B_003,      18420,      18421,      18422,      18423,          0,          0, 
 7 : freefight_type_C_001,      18424,      18425,      18426,      18427,          0,          0, 
 8 : freefight_type_C_002,      18428,      18429,      18430,      18431,          0,          0, 
 9 : freefight_type_C_003,      18432,      18433,      18434,      18435,          0,          0, 
10 : freefight_type_D_001,      18436,      18437,      18438,      18439,          0,          0, 
11 : freefight_type_D_002,      18440,      18441,      18442,      18443,          0,          0, 
12 : freefight_type_D_003,      18444,      18445,      18446,      18447,          0,          0, 
13 : freefight_type_E_001,      18448,      18449,      18450,      18451,          0,          0, 
14 : freefight_type_E_002,      18452,      18453,      18454,      18455,          0,          0, 
15 : freefight_type_E_003,      18456,      18457,      18458,      18459,          0,          0, 
16 : freefight_type_F_001,      18460,      18461,      18462,      18463,          0,          0, 
17 : freefight_type_F_002,      18464,      18465,      18466,      18467,          0,          0, 
18 : freefight_type_F_003,      18468,      18469,      18470,      18471,          0,          0, 
19 : freefight_type_G_001,      18472,      18473,      18474,      18475,          0,          0, 
20 : freefight_type_G_002,      18476,      18477,      18478,      18479,          0,          0, 
21 : freefight_type_G_003,      18480,      18481,      18482,      18483,          0,          0, 
22 : freefight_type_H_001,      18484,      18485,      18486,      18487,          0,          0, 
23 : freefight_type_H_002,      18488,      18489,      18490,      18491,          0,          0, 
24 : freefight_type_H_003,      18492,      18493,      18494,      18495,          0,          0, 
25 : freefight_type_I_001,      18496,      18497,      18498,      18499,          0,          0, 
26 : freefight_type_I_002,      18500,      18501,      18502,      18503,          0,          0, 
27 : freefight_type_I_003,      18504,      18505,      18506,      18507,          0,          0, 
28 : freefight_type_J_001,      18508,      18509,      18510,      18511,          0,          0, 
29 : freefight_type_J_002,      18512,      18513,      18514,      18515,          0,          0, 
30 : freefight_type_J_003,      18516,      18517,      18518,      18519,          0,          0, 
31 : freefight_type_K_001,      18520,      18521,      18522,      18523,          0,          0, 
32 : freefight_type_K_002,      18524,      18525,      18526,      18527,          0,          0, 
33 : freefight_type_K_003,      18528,      18529,      18530,      18531,          0,          0, 
34 : freefight_type_L_001,      18532,      18533,      18534,      18535,          0,          0, 
35 : freefight_type_L_002,      18536,      18537,      18538,      18539,          0,          0, 
