           km_,      km_id, 
       sSlabel,    eSSHORT, 
 0 :     unique,          0, 
 1 :    fighter,          1, 
 2 : free_fighter,          2, 
 3 :     ranger,          3, 
 4 :       monk,          4, 
 5 :   swordman,          5, 
 6 :    samurai,          6, 
 7 :    breaker,          7, 
 8 : axe_master,          8, 
 9 :     lancer,          9, 
10 : rune_maiden,         10, 
11 :    warrior,         11, 
12 :     fencer,         12, 
13 :   guardian,         13, 
14 :  gradiater,         14, 
15 : holy_order,         15, 
16 :      Scout,         16, 
17 :   wanderer,         17, 
18 :     hunter,         18, 
19 :   assassin,         19, 
20 :       bird,         20, 
21 :      thief,         21, 
22 :  alchemist,         22, 
23 : misty_knight,         23, 
24 :     knight,         24, 
25 :      saint,         25, 
26 :    paradin,         26, 
27 : terror_knight,         27, 
28 :     silent,         28, 
29 :      ninja,         29, 
30 :      druid,         30, 
31 :     mystic,         31, 
32 :       mage,         32, 
33 :   sorcerer,         33, 
34 :    assault,         34, 
35 :      snipe,         35, 
36 :   specials,         36, 
37 :     Healer,         37, 
38 :     bishop,         38, 
39 :     wizard,         39, 
40 :    bookman,         40, 
41 :       sage,         41, 
42 :   wizardly,         42, 
43 :  commander,         43, 
44 :    warlock,         44, 

